type,source_path,library_path,matched_script,classification_reason,format,bytes,sha256
other,binance_tsla.png,outputs/charts/by-type/other/root/binance_tsla.png,,no reliable type signal,png,217378,b7879078e0d563a9863644041c573af4ec240ff589daf53ec3af76d5c62a97e1
other,chains.png,outputs/charts/by-type/other/root/chains.png,charts/app_revenue_by_chain_monthly.py,no reliable type signal,png,202592,69743a178da800b8941f17a57ef9aaddc017c7fbc7b4b51cb1b4c94e27a1cab9
pie-donut,outputs/charts/21shares/aum/twentyone_shares_aum.png,outputs/charts/by-type/pie-donut/generated/21shares/aum/twentyone_shares_aum.png,charts/twentyone_shares_aum.py,matched donut|pie_chart|\.pie\(,png,134612,3e6ee391e2e7b53b41b6852da67ea2b803678442318a4ee231db1f34f150367c
pie-donut,outputs/charts/21shares/aum/twentyone_shares_aum.svg,outputs/charts/by-type/pie-donut/generated/21shares/aum/twentyone_shares_aum.svg,charts/twentyone_shares_aum.py,matched donut|pie_chart|\.pie\(,svg,42030,91ce92c7601e77b69dea9f08350729c1c193689d0b9fda71710ba2fff60fb031
other,outputs/charts/Group 1991501171.svg,outputs/charts/by-type/other/generated/Group 1991501171.svg,charts/dz_rtt_improvement.py,no reliable type signal,svg,99105,f8b0b43e6082c9324d40ff5ba819411559300f4997cb559b1e887d865e1904ee
area,outputs/charts/amazon/revenue/amazon_revenue_milestones.png,outputs/charts/by-type/area/generated/amazon/revenue/amazon_revenue_milestones.png,charts/amazon_revenue_milestones.py,script uses fill_between,png,143634,d1e8e1086f553d8cf3f05ba041edc6032bfad8561448afd07577a000315c2914
area,outputs/charts/amazon/revenue/amazon_revenue_milestones.svg,outputs/charts/by-type/area/generated/amazon/revenue/amazon_revenue_milestones.svg,charts/amazon_revenue_milestones.py,script uses fill_between,svg,68243,c5b97abbdf5910eb221e25d7461c90e5711d52ba12ce7093019ee7e6602443f3
area,outputs/charts/apriori/tvl/apriori_tvl_trend.png,outputs/charts/by-type/area/generated/apriori/tvl/apriori_tvl_trend.png,charts/apriori_tvl_trend.py,script uses fill_between,png,55343,1ddc0b19212009e5852e5b81fa3eb96be8fdb18f98a41026599ba57ac3c74eff
area,outputs/charts/apriori/tvl/apriori_tvl_trend.svg,outputs/charts/by-type/area/generated/apriori/tvl/apriori_tvl_trend.svg,charts/apriori_tvl_trend.py,script uses fill_between,svg,28510,f2d2f99531c2f747543016ea696f1d0afec48b8d8d6b955f93e6812f52cc6f3f
line,outputs/charts/asia-cex/listings/asia_cex_liquidity_survival.png,outputs/charts/by-type/line/generated/asia-cex/listings/asia_cex_liquidity_survival.png,charts/asia_cex_liquidity_survival.py,script uses plot,png,85420,6f7de5b6e37465a0fe536130e90a03357fd602b34e0d29f0aee996921e6b0900
