week,upbit,bithumb,binance,coinbase
0,100,100,100,100
1,89.53,86.68,99.36,99.71
2,68.16,71.51,96.35,99.43
3,67.42,68.04,88.81,95.13
4,57.06,57.34,85.57,95.66
5,48.59,55.28,81.72,90.7
6,50.57,54.19,75.7,89.24
7,47.4,51.26,69.72,86.05
8,47.95,49.01,65.14,85.34
9,44.91,47.44,64.89,82.01
10,45.45,45.14,62.99,80.53
11,46.01,45.27,60.85,79.82
12,47.85,44.7,60,78.08
13,47.24,43.39,64.52,75.84
14,41.36,44.09,61.29,77.37
15,37.65,40.87,58.63,74.92
16,39.13,42.73,57.91,74.3
17,40.62,42.52,54.87,72.27
18,40.76,40.24,59.27,71.88
19,39.35,41.37,55.11,70.31
20,39.35,40.77,56.09,72.33
21,36.36,35.22,54.98,69.94
22,40.52,38.74,50.92,72.78
23,43.42,40.36,50.37,70.65
24,37.09,39.88,51.3,70.82
25,40.27,43.64,52.04,69.97
26,41.22,44.38,51.31,72.82
27,43.15,43.73,51.52,70.85
28,38.62,40.74,50.76,70.75
29,39.31,40.06,47.33,68.37
30,37.93,38.24,48.28,69.39
31,40.28,37.78,46.74,65.98
32,37.76,38.85,46.74,65.16
33,34.97,35.99,50.19,66.67
34,32.86,36.98,47.69,66.9
35,39.57,38.39,48.46,66.79
36,37.5,40.07,47.08,66.18
37,38.81,39.93,51.97,60.44
38,35.34,43.52,48.03,61.76
39,38.28,39.53,46.61,63.81
40,38.52,40.48,47.37,62.64
41,37.17,41.84,46.53,62.98
42,40.74,39.43,47.92,64.86
43,38.68,40.58,46.61,60.31
44,40,39.78,49.57,59.61
45,40.38,38.83,44.93,59.44
46,42.31,40.07,47.11,60.73
47,47.06,42.22,47.53,59.92
48,47.52,38.66,44.59,58.2
49,47.47,39.33,44.8,60.49
50,47.96,43.77,43.84,64.29
51,42.71,40.53,43.58,64.1
52,38.95,39.54,45.41,60.78
