week,upbit_med,upbit_p25,upbit_p75,bithumb_med,binance_med,coinbase_med
0,191176223,11247216,536744401,40364727,252248226,8073610
1,66988825,4297837,180767023,10514219,164611245,9435182
2,44053657,5093284,147063104,6977191,149658923,6809854
3,37881705,5007722,127779985,5592963,88248640,5747036
4,30311871,4018170,103319563,5418794,84345373,4477084
5,22268218,5820589,94985000,4368638,90571382,4030447
6,19335666,3536677,85133012,4153003,81147783,3727805
7,18166185,3385871,69613104,4048226,73669592,3914769
8,20181073,2753650,62278695,3651979,61936295,3751424
9,15238361,3315628,64027865,3513675,56178997,3462327
10,15481246,3387823,66068415,3387467,50648048,2971291
11,16980264,3395638,52223493,3060022,45892569,2844321
12,16524750,3295985,54746581,2831835,47214389,2707181
13,14927745,3775224,43404794,2702845,52772360,2800276
14,12276259,3536479,55931709,2621406,47265720,3325534
15,9580447,3073716,43004177,2500801,44620867,2732958
16,13150320,3113630,50570843,2436957,43388463,2624557
17,11967462,2946689,51188893,2817580,43152580,2423153
18,12989306,2919750,49695045,2701507,46582600,2613971
19,13077795,3235983,48607736,2548041,38368270,2747025
20,12648297,2888170,41731771,2326141,40149009,2868046
21,13646997,2846835,50877527,2395517,38601134,3237408
22,12514106,2402321,52403537,2261358,31861013,2839079
23,9747081,2044391,51630668,2271093,33767013,2761198
24,11350651,2860426,43587024,2628338,31668027,2800835
25,13403801,2478480,39649360,2693728,35872276,2685199
26,11691578,3468633,38377518,2533858,29728514,2707255
27,14358277,2990251,56031394,2622257,32532088,3085623
28,10705530,2741402,57646610,2262502,29037559,2789265
29,12770220,3682033,55487829,2321780,28231925,2592543
30,11193150,2558970,40866347,2377949,26304190,2682339
31,12035577,3590919,44855792,1907089,27338409,2371726
32,11501760,2499606,42230536,2386413,24525768,2351075
33,9786162,2208832,28168042,2117078,27254240,2480926
34,7420015,2137746,27522787,2173521,25969307,2342860
35,10035657,1790640,27220082,2378895,31763160,2219059
36,8506430,1916542,39923280,2346250,26782473,2249122
37,8644033,2091974,39651398,2325190,26029636,1878009
38,8121871,1551084,42393419,2339236,26307723,1996557
39,9147991,1873839,32386123,2072107,26405924,2103358
40,9281571,1137041,37977845,2232280,27284013,2129417
41,7933051,1385991,42426996,2460424,25008033,2118732
42,13058395,1227840,30093818,2134695,25067609,2358352
43,9594328,1929271,33983714,2133082,25286066,2411447
44,10827415,1776704,30023240,2109946,24427844,1859301
45,10914400,1887906,36475109,1949804,23274505,2045208
46,13635123,1498598,45656508,2523538,24658751,2234074
47,16586492,2129409,51701946,2468074,22010484,1971335
48,11726707,1500824,46721014,2255554,23524515,1920352
49,13061409,2693200,44246298,2269022,25448046,1717241
50,9795563,3190814,43412942,2356082,24775250,1677120
51,11344194,2941211,44373855,2198506,24073317,2029551
52,12046463,1849853,42209986,2006598,26927478,1898661
