w,btc,eth,majors,tail
1624147200,29.035,16.695,38.703,15.567
1624752000,24.927,21.767,35.438,17.869
1625356800,21.126,21.475,30.176,27.223
1625961600,19.666,18.793,29.129,32.412
1626566400,19.137,18.540,27.109,35.214
1627171200,25.650,17.956,27.067,29.327
1627776000,22.226,25.985,28.133,23.657
1628380800,15.509,16.999,37.773,29.719
1628985600,14.242,13.207,43.823,28.729
1629590400,13.446,11.509,41.031,34.014
1630195200,13.267,16.386,39.737,30.609
1630800000,11.962,11.651,45.215,31.172
1631404800,12.698,11.746,44.359,31.198
1632009600,15.715,14.797,40.144,29.344
1632614400,15.247,14.424,35.726,34.603
1633219200,17.057,10.812,45.719,26.412
1633824000,19.799,13.312,40.849,26.040
1634428800,19.706,14.789,42.085,23.420
1635033600,11.052,9.694,47.845,31.410
1635638400,11.330,9.917,40.755,37.998
1636243200,14.769,10.536,39.920,34.776
1636848000,14.793,11.900,32.174,41.133
1637452800,11.834,10.707,27.858,49.601
1638057600,14.837,15.753,33.674,35.736
1638662400,15.050,17.443,32.082,35.425
1639267200,17.047,17.883,35.061,30.009
1639872000,14.025,12.876,36.585,36.514
1640476800,16.546,12.217,33.245,37.992
1641081600,15.474,14.406,36.053,34.067
1641686400,15.505,13.199,38.422,32.874
1642291200,17.385,15.576,36.770,30.269
1642896000,19.757,17.806,32.775,29.662
1643500800,18.312,17.269,30.229,34.190
1644105600,17.621,13.699,32.628,36.052
1644710400,19.328,17.212,30.746,32.714
1645315200,20.314,18.952,31.101,29.633
1645920000,23.413,17.064,28.748,30.775
1646524800,23.395,15.438,25.287,35.880
1647129600,19.239,14.805,22.252,43.703
1647734400,18.581,14.593,27.920,38.906
1648339200,13.831,11.833,25.427,48.909
1648944000,15.749,15.190,29.626,39.434
1649548800,19.126,17.776,29.058,34.040
1650153600,18.010,14.676,21.918,45.396
1650758400,19.294,15.336,24.518,40.851
1651363200,22.385,17.982,25.852,33.781
1651968000,22.089,17.698,28.600,31.613
1652572800,23.835,20.478,27.327,28.361
1653177600,24.874,22.270,28.081,24.775
1653782400,26.849,22.767,25.370,25.013
1654387200,28.378,28.689,23.246,19.687
1654992000,31.922,27.298,26.558,14.222
1655596800,26.078,24.705,27.211,22.005
1656201600,27.038,25.941,25.517,21.504
1656806400,47.242,21.200,16.968,14.591
1657411200,41.498,26.154,18.271,14.077
1658016000,42.393,22.953,19.906,14.748
1658620800,41.264,20.794,20.053,17.889
1659225600,40.186,18.975,19.511,21.328
1659830400,44.580,19.137,20.424,15.859
1660435200,46.170,18.320,18.565,16.946
1661040000,50.817,18.887,16.064,14.233
1661644800,57.873,16.908,13.077,12.142
1662249600,59.795,12.790,14.237,13.178
1662854400,58.973,14.180,14.404,12.444
1663459200,59.915,12.214,16.596,11.275
1664064000,70.234,9.882,10.548,9.336
1664668800,67.395,10.000,12.376,10.229
1665273600,65.210,10.971,11.949,11.871
1665878400,64.535,10.949,13.642,10.874
1666483200,56.589,14.810,19.043,9.559
1667088000,56.447,10.430,18.978,14.145
1667692800,53.657,13.751,17.896,14.696
