w,btc,eth,majors,tail
1624147200,17.953,11.675,52.441,17.931
1624752000,13.949,12.268,49.316,24.467
1625356800,12.818,14.421,49.837,22.924
1625961600,14.261,13.964,44.827,26.948
1626566400,14.443,14.348,46.865,24.344
1627171200,15.153,10.722,51.413,22.711
1627776000,12.967,13.959,51.305,21.769
1628380800,12.108,10.870,41.198,35.824
1628985600,12.930,10.421,44.785,31.864
1629590400,10.441,7.517,32.538,49.504
1630195200,9.589,8.875,40.067,41.469
1630800000,11.408,8.711,49.848,30.034
1631404800,11.981,9.650,47.045,31.323
1632009600,14.522,12.991,46.906,25.582
1632614400,11.485,11.052,46.451,31.012
1633219200,16.005,9.431,44.360,30.204
1633824000,24.142,12.440,36.121,27.297
1634428800,35.958,19.950,24.136,19.957
1635033600,23.743,14.612,27.061,34.584
1635638400,20.523,10.758,22.707,46.012
1636243200,22.759,9.219,27.317,40.706
1636848000,19.323,9.951,18.350,52.376
1637452800,14.998,8.833,16.028,60.140
1638057600,18.963,14.364,19.525,47.148
1638662400,17.032,16.354,24.065,42.549
1639267200,15.443,17.525,22.429,44.603
1639872000,15.301,12.454,23.171,49.074
1640476800,22.824,15.767,19.069,42.340
1641081600,17.003,13.510,27.552,41.935
1641686400,20.051,12.474,34.867,32.607
1642291200,21.632,15.704,30.857,31.808
1642896000,20.839,18.494,27.207,33.459
1643500800,19.010,13.567,28.105,39.318
1644105600,19.987,11.718,36.858,31.437
1644710400,22.757,12.611,32.498,32.135
1645315200,23.024,13.967,36.887,26.122
1645920000,22.262,10.664,32.267,34.806
1646524800,21.970,8.730,37.049,32.251
1647129600,20.470,8.574,32.045,38.912
1647734400,20.712,9.247,29.670,40.371
1648339200,19.117,9.312,23.460,48.111
1648944000,19.953,11.033,33.754,35.260
1649548800,19.150,12.613,36.498,31.738
1650153600,20.465,11.314,35.693,32.528
1650758400,26.451,10.796,34.320,28.432
1651363200,26.160,11.727,32.397,29.717
1651968000,21.445,16.187,40.668,21.700
1652572800,24.716,13.963,35.657,25.665
1653177600,25.297,13.328,35.480,25.895
1653782400,23.807,9.131,26.008,41.054
1654387200,23.499,11.914,28.707,35.879
1654992000,30.532,15.045,32.300,22.124
1655596800,27.032,11.025,28.970,32.974
1656201600,20.946,10.000,28.610,40.445
1656806400,23.429,7.546,34.132,34.893
1657411200,24.709,7.442,40.803,27.047
1658016000,25.393,10.271,35.017,29.319
1658620800,19.806,11.473,39.149,29.572
1659225600,18.619,8.574,40.517,32.290
1659830400,26.814,12.736,28.503,31.947
1660435200,19.658,16.305,32.486,31.551
1661040000,15.159,16.012,28.403,40.426
1661644800,16.670,20.377,30.522,32.431
1662249600,17.900,12.602,33.407,36.091
1662854400,20.390,13.616,38.034,27.960
1663459200,14.848,11.151,53.546,20.454
1664064000,23.953,11.941,41.098,23.009
1664668800,19.970,8.618,34.616,36.796
1665273600,14.862,6.990,32.655,45.492
1665878400,14.066,7.871,30.688,47.375
1666483200,16.169,11.534,40.580,31.716
1667088000,13.795,7.797,46.861,31.548
1667692800,19.900,12.301,43.355,24.445
1668297600,19.382,9.958,36.051,34.609
1668902400,21.280,10.340,30.630,37.749
1669507200,28.771,11.476,35.925,23.828
1670112000,24.712,9.246,22.660,43.382
1670716800,26.212,10.018,25.149,38.621
1671321600,29.613,10.631,26.905,32.851
1671926400,23.082,7.512,23.056,46.350
1672531200,23.834,6.674,29.133,40.359
1673136000,22.682,9.066,32.518,35.734
1673740800,26.889,9.670,28.512,34.929
1674345600,22.149,6.358,23.245,48.247
1674950400,23.346,8.141,26.457,42.056
1675555200,24.436,8.420,21.089,46.055
1676160000,24.905,8.643,23.737,42.715
1676764800,16.462,5.803,20.575,57.160
1677369600,17.056,6.974,21.751,54.219
1677974400,22.468,6.440,32.991,38.101
1678579200,31.846,7.492,27.227,33.435
1679184000,27.424,6.431,42.014,24.131
1679788800,22.373,5.416,50.125,22.086
1680393600,19.005,6.196,35.465,39.334
1680998400,27.541,8.473,32.687,31.298
1681603200,26.322,7.476,36.466,29.736
1682208000,31.613,8.367,35.716,24.303
1682812800,30.649,8.341,32.368,28.641
1683417600,27.209,8.422,40.178,24.191
1684022400,20.728,6.962,38.946,33.364
1684627200,20.748,6.747,32.550,39.955
1685232000,22.429,6.835,38.415,32.321
1685836800,20.236,6.314,43.931,29.519
1686441600,20.993,6.066,42.512,30.429
1687046400,21.376,5.968,32.112,40.544
1687651200,15.353,4.344,41.311,38.993
1688256000,22.458,5.757,40.639,31.146
1688860800,16.553,5.078,58.650,19.719
1689465600,18.060,4.634,58.830,18.477
1690070400,18.185,4.033,50.955,26.828
1690675200,7.792,1.936,41.369,48.903
1691280000,16.916,3.624,36.404,43.056
1691884800,21.775,5.002,42.210,31.013
1692489600,20.606,5.450,45.801,28.143
1693094400,21.826,5.190,33.616,39.368
1693699200,15.115,6.513,31.491,46.881
1694304000,20.737,6.749,41.601,30.913
1694908800,21.452,6.268,40.077,32.203
1695513600,17.224,5.762,39.588,37.426
1696118400,17.678,3.824,26.475,52.023
1696723200,26.829,11.170,25.090,36.911
1697328000,32.272,4.260,32.290,31.178
1697932800,30.192,4.889,34.280,30.638
1698537600,27.345,4.252,42.931,25.472
1699142400,22.868,5.511,48.719,22.901
1699747200,15.868,2.681,26.152,55.299
1700352000,20.023,3.451,22.664,53.863
1700956800,18.045,3.335,20.132,58.488
1701561600,16.360,4.606,25.415,53.619
1702166400,18.414,5.059,34.314,42.213
1702771200,15.283,3.902,33.051,47.764
1703376000,44.376,2.175,36.066,17.383
1703980800,77.214,1.231,12.636,8.919
1704585600,61.882,4.574,20.040,13.503
1705190400,30.010,3.719,25.837,40.434
1705795200,31.548,3.953,39.917,24.582
1706400000,61.327,1.733,21.201,15.740
1707004800,33.354,3.707,27.941,34.998
1707609600,22.836,5.128,25.788,46.248
1708214400,12.436,4.890,20.050,62.624
1708819200,14.452,5.136,27.027,53.384
1709424000,10.106,4.684,28.540,56.670
1710028800,11.142,4.204,28.126,56.527
1710633600,13.101,4.716,32.927,49.255
1711238400,9.197,2.465,26.215,62.123
1711843200,11.262,3.960,34.525,50.253
1712448000,12.288,5.590,33.216,48.906
1713052800,15.280,5.293,36.632,42.794
1713657600,10.154,3.743,32.867,53.236
1714262400,19.478,5.570,31.231,43.720
1714867200,12.722,4.332,29.868,53.078
1715472000,13.580,4.588,28.544,53.288
1716076800,9.729,9.715,30.255,50.302
1716681600,6.160,4.485,18.954,70.401
1717286400,9.193,3.219,22.466,65.122
1717891200,10.445,4.024,26.451,59.079
1718496000,9.238,4.806,27.683,58.272
1719100800,12.846,4.522,27.458,55.174
1719705600,14.043,4.993,30.070,50.894
1720310400,12.120,5.074,31.067,51.739
1720915200,12.905,4.355,32.231,50.509
1721520000,10.475,5.575,30.473,53.477
1722124800,15.505,4.636,39.578,40.281
1722729600,16.221,8.663,39.960,35.156
1723334400,14.220,6.917,37.184,41.679
1723939200,10.440,4.357,30.126,55.077
1724544000,13.245,3.828,34.164,48.763
1725148800,30.034,4.076,34.236,31.654
1725753600,31.470,2.515,29.591,36.423
1726358400,30.540,2.401,24.395,42.663
1726963200,9.633,2.797,30.553,57.018
1727568000,20.295,3.180,35.445,41.080
1728172800,20.734,3.266,34.404,41.596
1728777600,22.258,2.382,31.614,43.746
1729382400,19.183,2.838,35.330,42.649
1729987200,24.285,3.811,40.487,31.418
1730592000,23.315,5.197,44.900,26.588
1731196800,14.917,3.571,54.869,26.643
1731801600,7.701,3.334,57.754,31.211
1732406400,5.346,3.013,50.425,41.216
1733011200,5.767,2.554,56.900,34.779
1733616000,5.764,2.385,50.009,41.842
1734220800,8.288,3.397,53.853,34.461
1734825600,6.350,2.362,43.118,48.170
1735430400,6.163,2.441,52.732,38.664
1736035200,6.394,2.389,47.345,43.872
1736640000,5.634,3.146,62.760,28.460
1737244800,6.422,2.764,50.187,40.626
1737849600,5.306,2.443,46.634,45.617
1738454400,6.814,4.540,62.291,26.355
1739059200,5.281,2.680,55.712,36.327
1739664000,5.158,2.945,49.467,42.429
1740268800,11.176,3.624,54.385,30.815
1740873600,11.531,3.561,62.336,22.572
1741478400,10.545,4.466,54.157,30.833
1742083200,6.374,2.332,44.505,46.789
1742688000,7.867,2.890,45.746,43.497
1743292800,10.111,2.805,51.882,35.203
1743897600,11.301,4.621,51.424,32.653
1744502400,6.764,3.025,39.336,50.874
1745107200,8.382,3.070,35.321,53.226
1745712000,7.239,2.637,34.164,55.959
1746316800,7.217,5.520,35.921,51.343
1746921600,5.571,5.096,39.119,50.214
1747526400,10.425,6.442,36.039,47.094
1748131200,7.979,5.711,34.633,51.678
1748736000,6.677,4.761,31.325,57.237
1749340800,6.329,6.176,29.637,57.859
1749945600,7.372,5.972,33.847,52.810
1750550400,7.989,5.771,34.078,52.163
1751155200,6.189,4.155,30.362,59.294
1751760000,6.497,4.380,38.763,50.360
1752364800,5.694,5.916,47.862,40.528
1752969600,4.657,5.296,39.881,50.165
1753574400,6.332,7.823,39.247,46.598
1754179200,5.475,9.341,39.264,45.919
1754784000,6.661,11.611,39.562,42.166
1755388800,6.406,13.541,42.393,37.661
1755993600,6.642,11.171,35.312,46.875
1756598400,6.337,10.441,40.153,43.069
1757203200,3.652,5.971,32.925,57.452
1757808000,4.185,5.132,36.800,53.883
1758412800,4.385,5.896,37.724,51.995
1759017600,8.133,6.101,41.094,44.672
1759622400,9.237,8.857,46.588,35.318
1760227200,7.617,7.236,46.665,38.482
1760832000,6.126,6.717,40.078,47.078
