w,btc,eth,majors,tail
1624147200,35.613,27.440,24.160,12.787
1624752000,30.212,28.572,26.081,15.135
1625356800,25.059,29.715,22.515,22.711
1625961600,28.709,32.587,22.125,16.579
1626566400,28.970,32.351,24.790,13.889
1627171200,37.746,25.271,20.561,16.422
1627776000,28.295,29.616,18.740,23.349
1628380800,22.224,24.279,30.730,22.767
1628985600,17.970,19.504,43.874,18.652
1629590400,17.070,16.934,39.675,26.321
1630195200,16.303,23.360,42.175,18.162
1630800000,13.781,17.043,45.078,24.098
1631404800,14.616,16.487,45.736,23.160
1632009600,20.052,21.227,39.392,19.329
1632614400,20.375,21.089,37.314,21.222
1633219200,17.477,12.707,53.996,15.819
1633824000,23.832,16.705,42.219,17.244
1634428800,27.141,19.738,36.573,16.548
1635033600,11.631,11.890,58.208,18.271
1635638400,10.067,11.516,39.981,38.436
1636243200,14.702,12.111,35.293,37.894
1636848000,20.304,16.460,33.437,29.799
1637452800,14.790,12.851,29.625,42.734
1638057600,18.862,21.933,32.456,26.749
1638662400,19.996,24.462,33.080,22.462
1639267200,23.520,25.221,33.652,17.608
1639872000,21.466,18.126,33.651,26.756
1640476800,27.075,17.718,30.827,24.379
1641081600,22.941,21.677,32.810,22.572
1641686400,25.204,18.099,37.625,19.071
1642291200,24.771,21.188,36.618,17.423
1642896000,26.140,22.880,35.223,15.757
1643500800,24.388,22.709,33.317,19.586
1644105600,24.708,20.929,36.385,17.978
1644710400,26.332,23.740,32.967,16.961
1645315200,28.965,23.682,32.985,14.369
1645920000,32.535,24.569,29.265,13.631
1646524800,35.999,21.533,26.660,15.809
1647129600,27.932,21.437,23.999,26.632
1647734400,24.696,20.642,29.080,25.581
1648339200,23.592,19.642,33.532,23.233
1648944000,25.397,22.427,31.356,20.820
1649548800,24.384,23.189,32.386,20.041
1650153600,29.542,22.090,22.489,25.878
1650758400,29.537,22.527,22.590,25.345
1651363200,36.095,21.890,21.714,20.301
1651968000,36.731,23.885,26.397,12.988
1652572800,41.882,19.049,23.566,15.503
1653177600,35.604,24.100,25.375,14.920
1653782400,35.012,22.175,30.391,12.422
1654387200,34.371,21.785,31.470,12.375
1654992000,39.086,26.590,24.907,9.417
1655596800,33.850,22.987,30.174,12.989
1656201600,33.532,22.220,29.392,14.856
1656806400,36.272,26.522,25.134,12.071
1657411200,32.136,31.060,24.717,12.087
1658016000,30.980,32.123,25.679,11.217
1658620800,27.597,31.114,26.813,14.477
1659225600,28.824,32.456,22.748,15.971
1659830400,29.858,39.239,20.214,10.689
1660435200,28.651,38.210,24.359,8.780
1661040000,30.246,43.849,17.899,8.006
1661644800,37.003,39.900,16.060,7.037
1662249600,35.398,33.999,21.939,8.663
1662854400,35.430,35.921,20.122,8.527
1663459200,37.255,36.598,18.481,7.667
1664064000,43.081,33.533,16.701,6.684
1664668800,47.320,29.955,16.404,6.322
1665273600,44.793,31.281,16.806,7.120
1665878400,39.700,33.627,17.270,9.403
1666483200,31.723,42.251,20.585,5.441
1667088000,27.745,32.860,29.545,9.850
1667692800,36.589,33.613,22.789,7.008
1668297600,41.438,32.720,17.723,8.118
1668902400,36.615,37.148,18.527,7.711
1669507200,36.213,34.397,22.425,6.965
1670112000,39.274,35.078,18.214,7.434
1670716800,41.426,32.005,20.368,6.201
1671321600,38.283,35.329,19.984,6.404
1671926400,36.713,32.076,24.689,6.522
1672531200,33.299,31.753,27.680,7.268
1673136000,39.217,26.750,26.883,7.150
1673740800,37.391,28.479,24.307,9.823
1674345600,39.357,27.728,22.351,10.564
1674950400,31.477,26.548,27.761,14.214
1675555200,21.684,21.942,30.361,26.013
1676160000,29.725,20.225,29.341,20.709
1676764800,26.738,20.968,27.644,24.651
1677369600,27.343,24.710,27.697,20.250
1677974400,28.538,25.096,29.809,16.557
1678579200,38.763,24.172,23.358,13.707
1679184000,40.471,22.593,24.791,12.144
1679788800,42.672,20.999,24.076,12.253
1680393600,33.841,23.099,29.874,13.185
1680998400,35.952,24.948,24.433,14.667
1681603200,34.935,20.877,28.220,15.967
1682208000,45.520,24.633,21.519,8.328
1682812800,43.288,24.764,22.405,9.543
1683417600,40.432,26.335,23.260,9.973
1684022400,42.247,22.913,25.199,9.641
1684627200,43.360,19.837,27.653,9.151
1685232000,43.914,23.135,22.579,10.372
1685836800,40.161,21.506,28.191,10.142
1686441600,44.954,22.321,25.487,7.238
1687046400,50.518,18.925,23.878,6.678
1687651200,37.688,19.662,34.513,8.137
1688256000,35.999,20.275,34.455,9.272
1688860800,37.671,18.407,35.364,8.558
1689465600,30.684,20.725,39.774,8.817
1690070400,34.929,18.803,37.289,8.979
1690675200,38.322,20.214,32.027,9.436
1691280000,35.833,16.322,39.090,8.754
1691884800,35.106,16.662,40.622,7.611
1692489600,35.612,18.269,39.100,7.019
1693094400,40.448,17.839,33.998,7.715
1693699200,37.968,16.560,35.465,10.007
1694304000,41.861,17.018,33.262,7.859
1694908800,46.593,14.935,30.113,8.359
1695513600,43.969,18.944,30.036,7.050
1696118400,46.602,18.081,28.876,6.441
1696723200,42.493,18.380,31.736,7.391
1697328000,51.661,13.884,28.451,6.004
1697932800,44.405,16.749,31.104,7.742
1698537600,34.224,14.091,40.841,10.844
1699142400,27.820,15.692,44.753,11.736
1699747200,25.412,13.809,47.663,13.115
1700352000,32.494,15.221,39.693,12.591
1700956800,34.888,14.752,37.195,13.164
1701561600,29.792,14.655,38.668,16.885
1702166400,26.370,12.832,39.470,21.328
1702771200,24.618,13.122,39.382,22.878
1703376000,22.551,12.651,42.006,22.793
1703980800,32.911,11.535,33.968,21.587
1704585600,39.498,14.634,29.187,16.680
1705190400,34.038,11.611,34.873,19.478
1705795200,36.277,12.295,34.496,16.933
1706400000,31.293,9.373,42.177,17.156
1707004800,33.363,11.862,36.124,18.651
1707609600,35.384,12.542,32.625,19.449
1708214400,24.026,16.241,30.243,29.490
1708819200,35.465,10.985,33.472,20.078
1709424000,33.076,10.165,37.639,19.119
1710028800,35.242,11.845,33.834,19.079
1710633600,34.939,14.323,35.126,15.612
1711238400,28.397,9.438,39.644,22.520
1711843200,33.419,11.034,37.832,17.715
1712448000,35.909,12.394,31.874,19.823
1713052800,37.873,11.507,34.067,16.552
1713657600,32.931,11.684,36.275,19.110
1714262400,39.884,12.593,31.256,16.267
1714867200,33.591,11.786,33.827,20.796
1715472000,39.927,12.053,32.230,15.790
1716076800,29.684,23.952,29.025,17.339
1716681600,29.522,17.220,30.043,23.215
1717286400,37.424,12.897,26.453,23.226
