w,btc,eth,majors,tail
1624147200,12.581,8.576,54.465,24.378
1624752000,7.071,6.456,32.406,54.068
1625356800,5.656,7.440,19.125,67.778
1625961600,4.969,5.237,17.137,72.657
1626566400,4.329,5.066,21.650,68.955
1627171200,6.141,4.568,20.758,68.533
1627776000,7.197,8.194,25.414,59.195
1628380800,6.174,4.383,35.256,54.187
1628985600,7.636,3.490,41.702,47.171
1629590400,6.500,2.274,24.998,66.227
1630195200,4.581,2.953,16.429,76.037
1630800000,5.400,3.766,30.554,60.280
1631404800,5.898,4.035,31.028,59.039
1632009600,8.039,7.289,37.845,46.826
1632614400,6.086,5.499,22.523,65.892
1633219200,4.762,2.558,13.380,79.300
1633824000,10.632,5.113,29.292,54.963
1634428800,15.181,6.643,26.652,51.524
1635033600,6.470,3.606,24.582,65.342
1635638400,5.523,2.807,16.261,75.409
1636243200,10.243,3.602,29.862,56.293
1636848000,5.808,2.773,10.212,81.208
1637452800,5.432,2.965,10.728,80.875
1638057600,10.438,6.172,18.489,64.901
1638662400,7.823,6.075,23.353,62.749
1639267200,11.452,8.046,29.455,51.047
1639872000,8.754,5.100,37.906,48.240
1640476800,8.780,4.118,25.814,61.288
1641081600,8.062,5.052,27.441,59.445
1641686400,7.651,4.682,39.884,47.782
1642291200,10.558,7.023,40.189,42.231
1642896000,9.045,9.219,31.951,49.785
1643500800,5.936,5.432,21.801,66.831
1644105600,7.911,4.908,35.281,51.899
1644710400,9.128,6.836,30.344,53.691
1645315200,8.965,7.208,27.999,55.828
1645920000,10.313,6.311,26.358,57.018
1646524800,8.984,4.513,22.199,64.304
1647129600,10.806,4.924,22.059,62.211
1647734400,6.762,3.247,27.941,62.050
1648339200,3.396,2.042,15.494,79.069
1648944000,6.217,3.769,31.816,58.198
1649548800,5.314,4.877,26.088,63.721
1650153600,4.390,2.998,16.984,75.628
1650758400,5.832,3.892,30.893,59.383
1651363200,7.252,4.473,27.667,60.608
1651968000,12.571,7.343,34.392,45.694
1652572800,8.617,4.963,21.304,65.116
1653177600,6.780,5.748,25.648,61.824
1653782400,4.402,2.692,15.498,77.408
1654387200,8.551,6.201,23.212,62.036
1654992000,14.478,13.809,27.392,44.322
1655596800,8.724,6.231,22.011,63.035
1656201600,7.360,4.146,16.408,72.086
1656806400,10.616,5.829,19.275,64.280
1657411200,9.985,9.346,28.161,52.509
1658016000,9.683,8.833,34.769,46.715
1658620800,7.357,7.572,42.740,42.330
1659225600,5.369,4.561,28.852,61.218
1659830400,7.354,7.236,35.430,49.980
1660435200,7.888,8.561,35.665,47.885
1661040000,6.229,8.529,35.749,49.493
1661644800,6.304,10.818,31.074,51.804
1662249600,6.937,6.656,39.312,47.094
1662854400,8.619,7.842,38.254,45.284
1663459200,6.761,4.970,56.028,32.241
1664064000,11.217,5.709,45.741,37.333
1664668800,7.878,3.390,33.353,55.379
1665273600,8.231,3.845,40.968,46.956
1665878400,6.078,2.924,42.182,48.815
1666483200,5.808,4.819,51.931,37.442
1667088000,5.702,2.894,49.571,41.834
1667692800,9.093,6.359,54.048,30.501
1668297600,5.494,4.083,32.149,58.274
1668902400,4.701,3.550,32.154,59.595
1669507200,5.985,4.600,40.135,49.280
1670112000,5.035,2.988,21.495,70.482
1670716800,8.217,5.824,31.729,54.231
1671321600,7.202,4.629,28.490,59.680
1671926400,9.359,4.314,39.167,47.159
1672531200,6.754,3.107,52.532,37.606
1673136000,5.527,2.583,43.732,48.158
1673740800,4.945,2.026,39.033,53.997
1674345600,3.407,1.298,32.572,62.722
1674950400,4.250,1.643,30.291,63.817
1675555200,9.693,1.764,23.255,65.288
1676160000,10.351,2.308,27.369,59.972
1676764800,6.094,1.205,16.024,76.677
1677369600,7.869,2.315,19.536,70.281
1677974400,13.150,3.317,30.177,53.356
1678579200,12.258,2.768,22.600,62.374
1679184000,10.719,2.408,33.242,53.630
1679788800,7.315,1.793,32.360,58.531
1680393600,4.628,1.544,18.290,75.539
1680998400,10.908,3.203,25.025,60.864
