blockchain,date,rev_usd,tps,spot_dex_volume_usd,circulating_stablecoin_supply_usd,median_fee_usd,color_code,title,rnk
solana,2026-09-18T00:00:00+00:00,1109834.1725755911,1844.837673611111,3648930402.8747883,14571637843.70959,0.0005512368641673799,#92dc78,Solana,3
solana,2026-09-17T00:00:00+00:00,988581.4683418749,1822.6761226851852,2770689563.741775,15031502887.140728,0.0005480891398155719,#92dc78,Solana,3
solana,2026-09-16T00:00:00+00:00,910263.5153343154,1785.3668568121693,2961134862.7129517,15085688210.617914,0.0005498683630102009,#92dc78,Solana,3
solana,2026-09-15T00:00:00+00:00,867288.9913571866,1780.5077331349207,2491728518.2982516,16262545388.18856,0.0005585520159690834,#92dc78,Solana,3
solana,2026-09-14T00:00:00+00:00,751324.7311043006,1774.0260846560845,2522870641.397762,16880335099.022554,0.0005622686239628305,#92dc78,Solana,3
solana,2026-09-13T00:00:00+00:00,718942.6845573252,1769.3785515873017,1894470115.5023396,15660911258.576416,0.0005667414529191928,#92dc78,Solana,3
solana,2026-09-12T00:00:00+00:00,811292.2055800337,1763.3419047619047,1830644110.1639907,15834970416.538403,0.0005706452936921349,#92dc78,Solana,3
solana,2026-09-11T00:00:00+00:00,973661.4672400968,1710.7772156084657,3398415246.4776397,15773053864.976524,0.0005679752032955348,#92dc78,Solana,3
solana,2026-09-10T00:00:00+00:00,846082.6627233777,1641.0648429232804,2981374130.28422,15693921788.171938,0.000567886308430083,#92dc78,Solana,3
solana,2026-09-09T00:00:00+00:00,1190207.0307379705,1608.7852860449736,3320397396.9771543,16790156598.364113,0.0005683692627854359,#92dc78,Solana,3
solana,2026-09-08T00:00:00+00:00,908841.9586240059,1556.0126785714285,2587190460.757933,16918123706.808378,0.0005632276506720426,#92dc78,Solana,3
solana,2026-09-07T00:00:00+00:00,882399.8674087991,1563.4925958994709,2432228777.4724193,17184103660.726643,0.0005665976125980618,#92dc78,Solana,3
solana,2026-09-06T00:00:00+00:00,766989.6392135296,1598.6487466931217,2811584802.7836123,17034300028.255451,0.0005683291161154803,#92dc78,Solana,3
solana,2026-09-05T00:00:00+00:00,439821.99394287716,1620.427220568783,1582365443.4819858,17039916862.132177,0.0005696376095209583,#92dc78,Solana,3
solana,2026-09-04T00:00:00+00:00,643322.8953480809,1701.305927579365,2144055755.4288006,15878083511.354284,0.0005754591949103731,#92dc78,Solana,3
solana,2026-09-03T00:00:00+00:00,690154.4594531315,1797.050453042328,2360266284.3133917,15886895333.332521,0.0005804542358373964,#92dc78,Solana,3
solana,2026-09-02T00:00:00+00:00,711470.4153854873,1890.7710896164022,1886920985.7192326,15429951557.65906,0.0005848254385635818,#92dc78,Solana,3
solana,2026-09-01T00:00:00+00:00,1113754.740163574,1963.1385631613757,2229092628.535925,16221842045.271809,0.0005864862435997026,#92dc78,Solana,3
solana,2026-08-31T00:00:00+00:00,1004069.3052165918,1999.8139153439154,2347063364.4243507,15980635338.081997,0.0005821841675838631,#92dc78,Solana,3
solana,2026-08-30T00:00:00+00:00,839535.7695318644,2017.4644923941798,1989999953.5401614,16383126746.152117,0.0005719807873606948,#92dc78,Solana,3
solana,2026-08-29T00:00:00+00:00,974865.5242365474,2053.9474503968254,1820160829.956932,16563288046.175438,0.000560937309953855,#92dc78,Solana,3
solana,2026-08-28T00:00:00+00:00,1199788.622264696,2094.9966534391533,3144301688.7746654,16611107226.650225,0.0005523542442539723,#92dc78,Solana,3
solana,2026-08-27T00:00:00+00:00,1409280.4072024215,2150.595570436508,3328635611.905819,16466416936.163574,0.000541163455584399,#92dc78,Solana,3
solana,2026-08-26T00:00:00+00:00,1175038.8766838433,2159.3785482804233,2618396406.820207,16513400354.038765,0.0005255280220411873,#92dc78,Solana,3
solana,2026-08-25T00:00:00+00:00,1136220.8442056517,2214.6594857804234,3344630765.259184,16498433619.537312,0.0005096640292040993,#92dc78,Solana,3
solana,2026-08-24T00:00:00+00:00,1043961.9468794365,2197.120830026455,3319967318.6011033,16686595891.867128,0.0004898697364141244,#92dc78,Solana,3
solana,2026-08-23T00:00:00+00:00,848913.457049592,2180.0407572751324,3159968079.41428,15539435839.874104,0.00047519434284979154,#92dc78,Solana,3
solana,2026-08-22T00:00:00+00:00,956342.99597819,2122.451939484127,4041245308.9905524,15830977549.854204,0.000460902956614067,#92dc78,Solana,3
solana,2026-08-21T00:00:00+00:00,1019215.3396637812,2074.1276041666665,3998100363.7002845,15664542790.732958,0.0004450867225115304,#92dc78,Solana,3
solana,2026-08-20T00:00:00+00:00,907443.9943687317,1991.0598991402117,3001593521.789139,16413899921.746334,0.0004310602360513229,#92dc78,Solana,3
