date,open,high,low,close,volume
2025-05-12,104118.0,106660.0,100718.37,106454.26,135512.86
2025-05-19,106454.27,111980.0,102000.0,109004.19,197357.63
2025-05-26,109004.2,110718.0,103068.55,105642.93,116099.82
2025-06-02,105642.93,106794.67,100372.26,105734.0,95301.98
2025-06-09,105734.01,110530.17,102664.31,105594.01,110085.75
2025-06-16,105594.02,108952.38,98200.0,100963.87,110755.93
2025-06-23,100963.87,108528.5,99613.33,108356.93,91938.98
2025-06-30,108356.93,110529.18,105100.19,109203.84,72977.18
2025-07-07,109203.85,119488.0,107429.57,119086.64,104658.05
2025-07-14,119086.65,123218.0,115736.92,117265.12,131579.69
2025-07-21,117265.11,120247.8,114723.16,119415.55,123158.43
2025-07-28,119415.56,119800.0,111920.0,114208.8,105088.62
2025-08-04,114208.81,119311.11,112650.0,119294.01,78822.4
2025-08-11,119294.27,124474.0,116803.99,117405.01,120321.12
2025-08-18,117405.01,117543.75,110680.0,113493.59,117920.89
2025-08-25,113493.59,113667.28,107350.1,108246.35,110910.34
2025-09-01,108246.36,113384.62,107255.0,111137.34,90809.75
2025-09-08,111137.35,116665.63,110621.78,115268.01,88456.95
2025-09-15,115268.01,117900.0,114384.0,115232.29,70729.44
2025-09-22,115232.29,115379.25,108620.07,112163.95,93970.58
2025-09-29,112163.96,125708.42,111560.65,123482.31,124480.1
2025-10-06,123482.32,126199.63,102000.0,114958.8,211576.36
2025-10-13,114958.81,115963.81,103528.23,108642.78,171795.75
2025-10-20,108642.77,115466.8,106666.69,114559.4,137472.95
2025-10-27,114559.41,116400.0,106304.34,110540.68,125045.91
2025-11-03,110540.69,110750.0,98944.36,104722.96,199598.72
2025-11-10,104722.95,107500.0,93005.55,94261.44,189823.35
2025-11-17,94261.45,96043.0,80600.0,86830.0,257258.1
2025-11-24,86830.0,93092.0,85272.0,90360.0,118687.99
2025-12-01,90360.01,94150.0,83822.76,90395.31,149459.29
2025-12-08,90395.32,94588.99,87577.36,88172.17,107997.18
2025-12-15,88172.16,90365.85,84450.01,88658.86,116986.93
2025-12-22,88658.87,90588.23,86420.0,87952.71,72081.43
2025-12-29,87952.71,91810.0,86806.5,91529.73,85720.06
2026-01-05,91529.74,94789.08,89311.0,91013.65,93800.83
2026-01-12,91013.66,97924.49,90128.44,93673.14,106131.0
2026-01-19,93673.14,93673.14,86074.72,86670.36,100317.14
2026-01-26,86670.36,90600.0,75700.0,76968.21,175738.71
2026-02-02,76968.22,79360.0,60000.0,70330.38,384283.12
2026-02-09,70330.38,71453.53,65118.0,68832.58,163165.87
2026-02-16,68832.59,70126.67,65631.83,67643.4,113599.39
2026-02-23,67643.39,69988.83,62510.28,65776.47,174645.68
2026-03-02,65776.48,74050.0,65259.21,65971.2,185435.28
2026-03-09,65971.2,73913.74,65821.97,72815.24,173796.91
2026-03-16,72815.25,76000.0,67360.66,67859.0,145050.62
2026-03-23,67859.0,72026.09,65000.0,66010.93,137696.42
2026-03-30,66010.93,69310.0,65712.12,69034.18,110218.58
2026-04-06,69034.18,73790.0,67732.01,70740.98,121909.26
2026-04-13,70741.56,78333.0,70566.99,73801.79,128729.92
2026-04-20,73801.8,79472.82,73724.31,78657.55,94938.11
2026-04-27,78657.55,79485.66,74937.52,78568.57,88811.53
2026-05-04,78568.58,82850.0,78202.0,82210.07,113527.77
2026-05-11,82210.07,82380.0,76735.16,77457.67,97802.78
2026-05-18,77457.67,78200.0,74289.6,77064.96,87142.15
2026-05-25,77064.96,78080.0,72512.49,73674.39,95966.2
2026-06-01,73674.39,74092.0,59130.91,63332.01,231929.75
2026-06-08,63332.01,65800.0,60755.0,65746.45,117630.1
