date,Ethereum,Solana,Polygon,Optimism,Avalanche C-Chain,BNB Chain,Arbitrum,Aptos,Tempo
2024-03-20,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,100499706.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23,100499706.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24,100499706.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,110499706.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,160499706.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,244807252.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,274807252.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-29,274807252.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-30,274807252.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,274807252.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,280072651.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,279822651.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,280655751.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,280655751.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,280655751.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,280655751.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-07,280655751.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,286346989.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,285964232.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,288064382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,288464382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,293464382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,293464382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,293464382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,293464382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,293864382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,293864382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,297364382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,298364382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,298364382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-21,298364382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,304614382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,304614382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,304614382.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,349430246.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,349430246.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,349430246.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-28,349430246.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,375057329.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,375057329.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,384768811.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,384768811.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,381768811.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,381768811.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,381768811.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,381768811.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,382766347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,382766347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,382766347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,382766347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,382766347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,382766347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,381066347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,381066347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,381066347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,427016347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,427016347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,427016347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,427016347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,427016347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,442282474.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,448504972.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,451080648.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,453512032.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
