date,MNT,USDC,USDT,CMETH,METH,ETH,WMNT,USDE,FBTC,WETH
2026-01-01 00:00:00,205013644.75968,10212378.30574,61899517.06742,44413204.76567,66643465.74645,0.0,50558.76776,90503384.519,2002343.71507,230496934.3752
2026-01-02 00:00:00,206208699.83878,10053568.70853,61832685.98185,44838475.3358,67303659.98513,0.0,50741.77484,84688529.43168,1974283.40355,233147473.42358
2026-01-03 00:00:00,216363930.04067,9731975.22276,61630454.97341,46721605.84801,70574134.3152,0.0,53115.23059,74398567.18427,1904424.90951,243347755.50997
2026-01-04 00:00:00,216326368.0096,9455241.49601,61538524.75505,46541845.87851,70290119.48352,0.0,52979.65783,72296811.1291,1849533.0741,242182326.9609
2026-01-05 00:00:00,227289695.42685,7810543.82675,61777039.67679,47721583.69437,72080873.66355,0.0,55616.69218,63096350.96124,1931028.97808,248950055.60213
2026-01-06 00:00:00,229840058.0851,7380978.68246,61701806.83115,48018564.95782,73886397.97663,0.0,56344.96259,56193175.55081,2051191.18346,250949267.84307
2026-01-07 00:00:00,237947065.87119,11925526.07129,61878779.71806,48972515.09884,75422147.87523,0.0,58251.05103,36360605.2168,1876059.68292,256370898.19879
2026-01-08 00:00:00,219301759.50276,10163524.56517,61534077.72578,46625314.88753,71961693.06956,0.0,53799.24601,22656929.92906,1847456.32984,243606677.31873
2026-01-09 00:00:00,211095638.05873,10894067.26618,60582961.13697,45911025.4197,70608855.18979,0.0,51877.42775,13493531.69941,1861046.49934,239915183.41945
2026-01-10 00:00:00,204486136.35807,11426751.41566,60697260.17882,45678931.2198,70238351.71873,0.0,50284.8867,61397778.84018,1929836.98601,238646921.83711
2026-01-11 00:00:00,207410214.86206,10713890.01298,60622178.08564,45598924.8196,70074309.02834,0.0,50974.94369,55967591.36646,1924887.69119,239184698.64875
2026-01-12 00:00:00,208722220.84189,10356150.0205,60731785.20749,46012832.91292,70914871.51761,0.0,51250.63256,53511100.16501,1924799.81181,241222340.23948
2026-01-13 00:00:00,200321663.93287,9479932.44644,61662145.21037,45713139.49932,70403386.11962,0.0,49210.18554,44315041.03827,1967523.69757,239892560.32078
2026-01-14 00:00:00,210134757.73816,9700925.01146,61890217.96571,48980568.43692,75625245.60333,0.0,51529.74654,32622946.35776,1992847.31805,258392066.81547
2026-01-15 00:00:00,205770826.57526,6825793.97082,62141169.55027,49578414.36017,76302980.67697,0.0,51028.43712,45235844.15331,2019842.33478,262026472.79169
2026-01-16 00:00:00,204672957.8847,5377439.98381,63269926.71832,49002058.62746,75535692.37862,0.0,50256.41079,68257796.52506,1963614.86785,257959744.47359
2026-01-17 00:00:00,201701144.24777,4349466.64204,63335623.26763,48676438.05166,74966854.63531,0.0,49556.29621,64631360.70634,1967216.93216,256082833.3989
2026-01-18 00:00:00,201652556.93835,3175217.52339,63652246.49377,48712019.49052,75076516.98272,0.0,49518.22609,64246467.9063,1953355.96493,256496399.59739
2026-01-19 00:00:00,204805587.92371,2495322.04145,63840038.82396,49501740.18446,77052391.10025,0.0,50932.15215,64378381.64485,1925025.06236,261496967.55628
2026-01-20 00:00:00,194298156.19586,1850536.97692,65833768.35261,46932121.94498,72589482.2429,0.0,47564.15737,57437137.71016,1892714.70431,247576566.89368
2026-01-21 00:00:00,185225645.11791,12145914.34544,62854385.6893,42726711.84156,66811719.39436,0.0,45434.0363,39533309.56386,2099371.48739,227637082.09233
2026-01-22 00:00:00,190189359.06752,12306543.01174,62950597.42913,43743607.78131,67797922.84022,0.0,46348.5451,33585089.49774,2168584.51532,231423666.09838
2026-01-23 00:00:00,188969999.23275,11954727.6991,61771970.84956,43021814.31697,67157270.03034,0.0,46029.73158,49502781.04186,2217342.51098,228966007.18237
2026-01-24 00:00:00,189561426.9673,11825506.69998,62699897.83407,42859935.36527,66943161.1945,0.0,46086.67482,49493745.09957,2290625.39596,229162070.81072
2026-01-25 00:00:00,195384560.03175,12334316.57673,62419607.75252,42900618.75506,67071859.84319,0.0,47219.44906,43600992.65484,2268043.12909,228788620.78583
2026-01-26 00:00:00,181224736.67032,12835766.74087,62933522.72504,40920534.80444,64703413.72189,0.0,43851.84811,37411570.01516,2566495.0603,220207099.70466
2026-01-27 00:00:00,185474721.14851,12855100.79803,63583040.8713,42174611.79233,66732666.58133,0.0,45149.99766,50838624.8517,2767031.07805,227803687.92552
2026-01-28 00:00:00,191793831.32742,13188519.80236,63435811.97685,43586294.9342,69062207.5585,0.0,46539.9488,50282691.15995,2633960.57938,235234670.44717
2026-01-29 00:00:00,195337356.30931,13195648.94618,64372231.45413,43408805.61008,68685659.09164,0.0,47802.90218,79302393.27232,2651589.7064,234146741.06542
2026-01-30 00:00:00,176486341.93178,13104915.43168,70712349.17475,40426646.50774,64292621.83734,0.0,43843.95508,75873628.5232,2571222.44129,218719764.68471
2026-01-31 00:00:00,163546627.75172,13264268.6948,70816321.16913,38312924.20428,61822719.52028,0.0,40444.25671,72307702.70558,2751451.81564,209301683.2911
2026-02-01 00:00:00,153726887.7882,12402999.6842,75105620.48299,34554324.89586,56287291.55949,0.0,38221.14138,65693561.16718,1661748.26782,190973028.80612
2026-02-02 00:00:00,144195719.08715,13527632.37973,75322768.75267,31594396.05939,53025876.64865,0.0,36306.46759,64768285.63501,1932671.93971,179512658.56663
2026-02-03 00:00:00,152714416.24661,11983349.88498,74001513.14362,32602635.90134,53473561.624,0.0,37648.72843,65802813.77731,1956456.01401,182644139.22583
2026-02-04 00:00:00,150870152.05966,11019497.25079,1611857.11005,31134976.0433,51262655.34632,0.0,37375.0547,64558629.30774,1903593.95913,173233097.42584
2026-02-05 00:00:00,147730434.55481,10701771.423,1622319.24323,33645457.0039,49119994.31416,0.0,36417.02215,58738764.58992,1930853.75204,167074450.4515
2026-02-06 00:00:00,115662837.71578,10771390.72356,1661728.90614,27220966.11661,41771574.23986,0.0,31389.05652,52485054.88266,1898695.08576,137148099.76266
2026-02-07 00:00:00,137214590.02312,12395159.29723,1683155.6325,31220381.88341,47678271.32955,0.0,33725.73545,49005336.26166,2139774.61745,159570574.15786
2026-02-08 00:00:00,136463667.38979,12917389.98895,1687022.71527,31703189.91245,48382015.23482,0.0,33569.68513,48557646.18327,1950124.10128,162125535.0803
2026-02-09 00:00:00,136253392.62811,12940854.1668,1804363.06063,31682875.15884,48219685.59484,0.0,33408.30082,48680047.35377,2065408.54353,162011876.96559
2026-02-10 00:00:00,137169037.15837,12704055.32535,2345499.14791,32035264.97918,48769235.31579,0.0,33687.1496,48550320.24858,1988211.03802,164187348.40351
2026-02-11 00:00:00,134350777.87311,12744614.79896,2351310.47898,30621105.67172,46689228.09747,0.0,32929.74712,49234472.86911,2063459.96704,156476353.67177
2026-02-12 00:00:00,131470177.29204,12667289.17462,2355195.45813,29328462.92492,44950141.1408,0.0,32123.74327,49901385.03903,2082917.52525,150409753.09055
2026-02-13 00:00:00,130082952.51649,12280797.05524,2349557.72382,29377449.28114,45100007.34548,0.0,31954.55949,50185548.37203,2036999.24824,151181387.42921
2026-02-14 00:00:00,135613718.15506,12253991.62741,2352288.80028,30890797.37864,47394599.44251,0.0,33219.6105,68900363.58212,2017581.20807,159401994.47049
2026-02-15 00:00:00,141231331.93384,12457702.87255,2358833.16903,31564529.17146,48429765.43094,0.0,34649.42513,68413356.40135,2054812.30787,162732613.35767
2026-02-16 00:00:00,133564448.14933,14363687.75108,2355923.15795,29486313.87707,45459748.84253,0.0,32727.48787,69414238.75513,2229221.9986,152146178.68834
2026-02-17 00:00:00,137411005.78792,13896822.74728,2355634.84257,29972413.43342,46198838.65646,0.0,33550.84285,69106042.57478,2183585.39496,154556136.82906
2026-02-18 00:00:00,134812788.37413,12966143.85367,2356199.58347,30156799.22623,46236882.38234,0.0,33044.40447,68469805.43057,2089025.89016,149679904.38057
2026-02-19 00:00:00,131725403.55253,21228954.13312,2349627.60401,29329174.88339,45168496.91923,0.0,32314.80411,68722495.57348,1986113.83989,151145809.95419
2026-02-20 00:00:00,131638912.42456,21511282.7255,2361428.46591,29178550.78316,45061932.23621,0.0,32357.82288,66822516.93455,2050744.18273,154983819.72325
2026-02-21 00:00:00,133892404.3195,22608711.41671,2322385.94956,29547629.64719,45739597.78319,0.0,32889.5057,65645905.822,2125365.45727,157694999.48256
2026-02-22 00:00:00,134358440.00849,15377446.44498,2308860.79789,29678643.11823,45894003.29189,0.0,32945.97452,63972582.26871,2115436.71618,175339713.03179
2026-02-23 00:00:00,127874929.93827,16465300.90394,2310066.44166,29359893.40455,45260611.148,0.0,31610.37178,64393395.65024,2373633.50297,173023359.00434
2026-02-24 00:00:00,122093198.02492,16376762.2402,1708021.8479,27604044.9825,43051769.74945,0.0,30018.28546,65324335.11652,2438638.60417,167854477.01799
2026-02-25 00:00:00,125183909.65764,16306978.69027,1715349.91814,27629998.26941,42995461.78356,0.0,30806.55708,65206368.47717,2435892.21269,167896634.07244
2026-02-26 00:00:00,132026502.49027,13371132.40713,1710725.84276,31041475.90927,47831958.18336,0.0,32524.41732,63443740.08238,2290873.53599,185970076.46289
2026-02-27 00:00:00,135846850.98737,18959624.2275,1717915.64148,30232143.08903,47237090.89287,0.0,33377.84686,63323606.45222,2310266.82829,185353148.46004
2026-02-28 00:00:00,135297524.05172,16866475.8177,1718956.63921,28807009.6244,45026197.28197,0.0,33120.29295,63978620.94353,2318998.00073,176348771.44958
2026-03-01 00:00:00,135598376.68471,14984620.38647,1725823.77028,29283832.38066,45700731.48726,0.0,33297.88523,63722203.78862,2426743.26569,180057349.76422
2026-03-02 00:00:00,134676890.82712,5617786.72279,1653804.04514,28932433.81782,44910566.65379,0.0,33158.43515,64172392.21843,2310972.01961,175922165.87367
2026-03-03 00:00:00,139764137.36621,5516154.74967,1659038.83009,30516676.4356,47345377.95747,0.0,34357.71972,62768893.27084,2435082.17605,187474549.61935
2026-03-04 00:00:00,147834114.17088,8626134.87265,1675203.87559,29623683.64682,46273608.38564,0.0,36019.28166,62505939.53049,2986291.9373,183351528.1201
2026-03-05 00:00:00,148314052.34915,6518635.83851,1682930.51572,32445825.83169,49628133.55654,0.0,36234.09471,61664350.11361,3199867.62049,204735778.45135
2026-03-06 00:00:00,150017438.77646,6370042.63518,1673375.2592,31545221.39121,48586689.78705,0.0,36579.74954,66238190.85878,3170592.20769,197795730.08436
2026-03-07 00:00:00,146723134.3574,9834665.40622,1677664.67609,29848315.64926,46183209.46127,0.0,36521.68245,65430192.07456,3061022.65502,190553977.93553
2026-03-08 00:00:00,143373175.77286,9272700.59624,1671935.6491,29304592.55652,45576007.14106,0.0,35811.43893,65526184.89829,2974004.89913,186608021.64694
2026-03-09 00:00:00,138715527.82624,10166506.64436,1653556.2356,29269428.07275,45464163.39163,0.0,34791.9605,65802810.17516,2941727.07796,186135878.82879
2026-03-10 00:00:00,143584282.15557,12522077.11181,1650377.38432,30367155.44109,47090198.27825,0.0,35844.11584,65652048.95362,3088359.95513,205162030.99994
2026-03-11 00:00:00,150376103.29705,14815450.59275,1659199.85518,30677451.12569,47647106.61544,0.0,37328.10948,64610723.89966,3086782.16969,207476910.68661
2026-03-12 00:00:00,148814307.04417,14229494.90238,1661581.97203,30841356.8664,47769806.64575,0.0,36897.73619,64487103.0874,1704377.39256,209071717.29865
2026-03-13 00:00:00,155495073.06799,14506280.57014,1659406.49145,31256058.15318,48606634.14249,0.0,38224.64613,63825752.15189,1718548.8059,214073700.60971
2026-03-14 00:00:00,153884271.26969,16701820.2124,1659681.91408,31502306.09315,48926916.50922,0.0,38203.90575,63860980.59577,1727093.58229,215129513.25043
2026-03-15 00:00:00,171601559.06749,20334957.64712,1659982.36143,31523476.22939,48967042.10947,0.0,42575.9906,63840170.06244,1733221.07243,215965573.96924
2026-03-16 00:00:00,172216967.03499,21410387.86128,1637129.46793,32779421.85407,50932722.81856,0.0,42593.60896,63338828.36837,1759766.43356,224285816.13576
2026-03-17 00:00:00,185634999.06521,23291522.91168,1655653.94962,35496635.79609,55044136.60288,0.0,46359.39512,62717215.54809,1814745.66804,246027081.54096
2026-03-18 00:00:00,179696650.38431,22723745.08146,1642208.65916,34909739.02173,54181502.28143,0.0,44718.21853,63116439.11606,1828884.52512,241623694.73408
2026-03-19 00:00:00,167362969.98582,23172398.25928,1642636.32016,33154472.25635,51555555.71472,0.0,41425.65243,61265627.21396,1794716.26125,230182350.28814
2026-03-20 00:00:00,161590256.07456,26158423.79871,1642265.23045,32183119.70514,50143162.24391,0.0,40075.90081,60689603.76661,1737826.28125,223732899.36054
