date,apy
2025-08-19,13.237
2025-08-20,12.675
2025-08-21,12.49
2025-08-22,12.113
2025-08-23,11.566
2025-08-24,11.444
2025-08-25,11.415
2025-08-26,11.402
2025-08-27,11.478
2025-08-28,11.418
2025-08-29,11.666
2025-08-30,11.693
2025-08-31,11.591
2025-09-01,11.702
2025-09-02,11.606
2025-09-03,11.43
2025-09-04,11.561
2025-09-05,11.385
2025-09-06,11.677
2025-09-07,11.637
2025-09-08,11.692
2025-09-09,11.704
2025-09-10,12.004
2025-09-11,11.91
2025-09-12,11.949
2025-09-13,12.008
2025-09-14,12.164
2025-09-15,12.194
2025-09-16,12.25
2025-09-17,12.302
2025-09-18,12.557
2025-09-19,12.301
2025-09-20,12.339
2025-09-21,12.345
2025-09-22,12.56
2025-09-23,12.664
2025-09-24,12.558
2025-09-25,12.513
2025-09-26,12.558
2025-09-27,12.778
2025-09-28,12.864
2025-09-29,12.915
2025-09-30,12.845
2025-10-01,13.028
2025-10-02,12.889
2025-10-03,12.776
2025-10-04,12.73
2025-10-05,12.527
2025-10-06,12.456
2025-10-07,12.258
2025-10-08,12.16
2025-10-09,12.076
2025-10-10,11.711
2025-10-11,11.733
2025-10-12,11.601
2025-10-13,11.466
2025-10-14,11.396
2025-10-15,11.494
2025-10-16,11.096
2025-10-17,11.216
2025-10-18,10.798
2025-10-19,10.86
2025-10-20,10.82
2025-10-21,10.77
2025-10-22,10.685
2025-10-23,10.529
2025-10-24,10.225
2025-10-25,10.045
2025-10-26,10.036
2025-10-27,9.744
2025-10-28,9.447
2025-10-29,9.264
2025-10-30,9.09
2025-10-31,9.06
2025-11-01,8.817
2025-11-02,8.683
2025-11-03,8.574
2025-11-04,8.669
2025-11-05,8.75
2025-11-06,8.663
2025-11-07,9.055
2025-11-08,9.221
2025-11-09,9.556
2025-11-10,9.854
2025-11-11,10.056
2025-11-12,10.558
2025-11-13,10.61
2025-11-14,10.835
2025-11-15,11.058
2025-11-16,11.22
2025-11-17,11.413
2025-11-18,11.488
2025-11-19,11.249
2025-11-20,11.09
2025-11-21,10.698
2025-11-22,10.526
2025-11-23,10.379
2025-11-24,10.255
2025-11-25,10.26
2025-11-26,9.941
2025-11-27,9.842
2025-11-28,9.881
2025-11-29,9.52
2025-11-30,9.489
2025-12-01,9.155
2025-12-02,9.109
2025-12-03,8.886
2025-12-04,8.826
2025-12-05,8.834
2025-12-06,8.393
2025-12-07,8.538
2025-12-08,8.4
2025-12-09,8.186
2025-12-10,7.969
2025-12-11,8.037
2025-12-12,7.851
2025-12-13,7.828
2025-12-14,7.731
2025-12-15,7.849
2025-12-16,7.557
2025-12-17,7.391
2025-12-18,7.464
2025-12-19,7.398
2025-12-20,7.463
2025-12-21,7.363
2025-12-22,7.268
2025-12-23,7.363
2025-12-24,7.007
2025-12-25,7.036
2025-12-26,6.964
2025-12-27,6.991
2025-12-28,6.835
2025-12-29,7.051
2025-12-30,6.923
2025-12-31,6.749
2026-01-01,6.778
2026-01-02,6.913
2026-01-03,6.951
2026-01-04,7.065
2026-01-05,7.15
2026-01-06,6.821
2026-01-07,6.624
2026-01-08,6.458
2026-01-09,6.718
2026-01-10,6.56
2026-01-11,6.579
2026-01-12,6.527
2026-01-13,6.621
2026-01-14,6.803
2026-01-15,6.731
2026-01-16,6.731
2026-01-17,6.663
2026-01-18,6.624
2026-01-19,6.804
2026-01-20,6.894
2026-01-21,7.062
2026-01-22,6.816
2026-01-23,6.868
2026-01-24,6.64
2026-01-25,6.508
2026-01-26,6.484
2026-01-27,6.463
2026-01-28,6.755
