month,p25,p50,p75,p80,p100,p250,p1000,red_share_pct
2025-01,0,1.0,0,0,0,0.0,0.0,0
2025-02,0,2.0,0,0,0,0.0,0.0,0
2025-03,0,6.5,0,0,0,0.0,0.0,0
2025-04,0,9.5,0,0,0,0.0,0.0,0
2025-05,0,10.5,0,0,0,2.0,0.0,16
2025-06,0,6.6,0,0,0,6.4,0.0,49
2025-07,0,5.5,0,0,0,9.5,0.0,63
2025-08,0,12.6,0,0,0,21.4,0.0,63
2025-09,0,21.0,0,0,0,37.0,0.0,64
2025-10,0,13.6,0,0,0,54.4,0.0,80
2025-11,0,9.3,0,0,0,48.7,0.0,84
2025-12,0,9.3,0,0,0,62.2,0.0,87
2026-01,0,8.0,0,0,2.0,25.0,27.5,84
2026-02,0,5.8,0,0,2.0,23.3,12.5,82
2026-03,0,7.0,0,0,5.0,46.0,28.0,86
2026-04,0,10.3,0,0,7.0,46.7,44.0,84
2026-05,0,13.3,0,7.0,6.5,52.7,48.0,79
