month,p25,p50,p75,p80,p100,p250,p1000,red_share_pct
2025-01,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0
2025-02,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0
2025-03,0.0,6.84,0.0,0.0,0.0,0.0,0.0,0
2025-04,0.0,8.26,0.0,0.0,0.0,0.0,0.0,0
2025-05,0.0,9.12,0.0,0.0,0.0,1.74,0.0,16
2025-06,0.0,5.74,0.0,0.0,0.0,5.56,0.0,49
2025-07,0.0,3.72,0.0,0.0,0.0,6.43,0.0,63
2025-08,0.0,8.53,0.0,0.0,0.0,14.49,0.0,63
2025-09,0.0,14.22,0.0,0.0,0.0,25.05,0.0,64
2025-10,0.0,8.02,0.0,0.0,0.0,32.1,0.0,80
2025-11,0.0,5.49,0.0,0.0,0.0,28.73,0.0,84
2025-12,0.0,5.49,0.0,0.0,0.0,36.7,0.0,87
2026-01,0.0,6.26,0.0,0.0,1.56,19.55,21.51,84
2026-02,0.0,4.54,0.0,0.0,1.56,18.22,9.78,82
2026-03,0.0,5.47,0.0,0.0,3.91,35.97,21.9,86
2026-04,0.0,8.53,0.0,0.0,5.8,38.67,36.43,84
2026-05,0.0,11.01,0.0,5.8,5.38,43.64,39.74,79
