month,p25,p50,p75,p80,p100,p250,p1000,p2500,red_share_pct
2025-01,0,1.0,0,0,0,0,0,0,0
2025-02,0,2.0,0,0,0,0,0,0,0
2025-03,0,6.5,0,0,0,0,0,0,0
2025-04,0,9.5,0,0,0,0,0,0,0
2025-05,0,10.47,0,0,0,1.03,0,0,9
2025-06,0,6.8,0,0,0,3.2,0,0,32
2025-07,0,5.67,0,0,0,4.83,0,0,46
2025-08,0,12.42,0,0,0,10.58,0,0,46
2025-09,0,20.67,0,0,0,18.33,0,0,47
2025-10,0,13.53,0,0,0,27.47,0,0,67
2025-11,0,9.0,0,0,0.38,24.12,0,0,72
2025-12,0,9.22,0,0,0.5,30.78,0,0,76
2026-01,0.5,8.5,0,0,1.0,12.5,27.5,0,80
2026-02,0.4,5.0,0,0,2.5,11.6,12.0,0,75
2026-03,0.4,6.6,0,0,5.0,23.0,27.5,0,81
2026-04,0.5,9.4,0,0.7,7.0,23.0,43.4,0,79
2026-05,0.5,14.0,1.5,4.0,6.0,27.0,47.4,0,74
2026-06,0.4,10.6,0.5,0.5,3.5,17.0,16.5,18.1,77
