rank,wallet,pulls,pct,group
1,7nB56j..,103,16.0,top5
2,5uUowu..,67,10.4,top5
3,FfvHr4..,54,8.4,top5
4,5J12kK..,52,8.1,top5
5,LfR1Gr..,49,7.6,top5
6,G8Ws4U..,41,6.4,top6_10
7,6wVAb3..,38,5.9,top6_10
8,DwcSPX..,37,5.7,top6_10
9,Gs4RJb..,35,5.4,top6_10
10,79fJiJ..,21,3.3,top6_10
11,ArHtmh..,20,3.1,top11_20
12,6aKZkd..,16,2.5,top11_20
13,EaGXNR..,15,2.3,top11_20
14,5UKmZa..,11,1.7,top11_20
15,2REbna..,7,1.1,top11_20
16,45w9un..,7,1.1,top11_20
17,3qYmr8..,5,0.8,top11_20
18,2XkDGF..,5,0.8,top11_20
19,3u61yN..,5,0.8,top11_20
20,8q6N9x..,5,0.8,top11_20
21,#21-43 (23 wallets),52,8.1,rest
