date,total_market_cap,btc_dominance
2026-06-22,2207766205123.54,58.5264
2026-06-23,2131446485732.12,58.3905
2026-06-24,2056106618610.57,57.9687
2026-06-25,2049989419217.82,58.0443
2026-06-26,2066828814397.87,57.8931
2026-06-27,2084893619745.34,58.1429
2026-06-28,2056726248470.94,58.0236
2026-06-29,2084384047320.84,57.8692
2026-06-30,2031875133965.63,57.5799
2026-07-01,2081319061897.36,57.9461
2026-07-02,2134162109277.09,57.9969
2026-07-03,2155731384093.38,57.8176
2026-07-04,2189169598423.9,57.785
2026-07-05,2175170509405.94,57.8075
2026-07-06,2198766430719.96,58.1437
2026-07-07,2204206727680.21,58.2407
2026-07-08,2139428913476.16,58.1461
2026-07-09,2173873347600.44,58.3561
2026-07-10,2190904417079.87,58.4273
2026-07-11,2208680821513.31,58.3944
2026-07-12,2200782948930.86,58.3909
2026-07-13,2136933013302.56,58.1218
2026-07-14,2214819174467.85,58.4421
2026-07-15,2231097220897.8,58.3829
2026-07-16,2199665004518.93,58.4457
2026-07-17,2192153120513.59,58.6284
2026-07-18,2203060155091.88,58.6708
2026-07-19,2202403244803.38,58.6414
2026-07-20,2232000493238.56,58.7036
2026-07-21,2253816136420.94,58.964
2026-07-22,2240529713199.8,58.8608
2026-07-23,2208604919753.72,58.8201
2026-07-24,2188652030220.34,58.7574
2026-07-25,2199236800861.37,58.6838
2026-07-26,2211782929845.67,58.6414
2026-07-27,2214110233628.11,58.6974
2026-07-28,2180717945776.27,58.593
2026-07-29,2196330642449.61,58.7543
2026-07-30,2207558884302.37,58.7701
2026-07-31,2162489645295.69,58.4132
2026-08-01,2139999575355.79,58.4373
2026-08-02,2176354996901.33,58.4713
2026-08-03,2182389219180.49,58.6355
2026-08-04,2192318184445.45,58.77
2026-08-05,2211086201883.19,58.756
2026-08-06,2194801695652.65,58.8491
2026-08-07,2201061802659.0,58.9798
2026-08-08,2215495190006.12,58.8795
2026-08-09,2221479408272.85,58.8675
2026-08-10,2181581484567.82,58.6891
2026-08-11,2167996926452.32,58.5564
2026-08-12,2175307309347.98,58.459
2026-08-13,2168881947252.56,58.4121
2026-08-14,2161315886016.03,58.4147
2026-08-15,2165731139083.8,58.3769
2026-08-16,2167986073582.86,58.4006
2026-08-17,2199219492661.51,58.7777
2026-08-18,2204921800395.25,58.9191
2026-08-19,2316450343728.51,59.2667
2026-08-20,2456683843707.77,59.2033
2026-08-21,2588281868429.84,59.6618
2026-08-22,2617277842686.66,59.2308
2026-08-23,2625360339988.42,59.1217
2026-08-24,2657111766923.35,59.6379
2026-08-25,2661472879045.05,59.7083
2026-08-26,2630727153521.59,59.7477
2026-08-27,2687747557401.24,59.6991
2026-08-28,2608669041609.58,59.5707
2026-08-29,2635674089285.58,59.5221
2026-08-30,2670849225735.14,59.4479
2026-08-31,2659880587242.52,59.7488
2026-09-01,2582397025395.29,59.5407
2026-09-02,2601879281546.86,59.6445
2026-09-03,2719162754412.79,59.8044
2026-09-04,2678855607258.81,59.7013
2026-09-05,2707327036134.65,59.319
2026-09-06,2713051945289.65,59.1627
2026-09-07,2690302184063.0,59.0693
2026-09-08,2685100464605.96,58.7796
2026-09-09,2680987731863.28,58.8134
2026-09-10,2625340989209.8,58.9874
2026-09-11,2638842322977.45,58.6697
2026-09-12,2642086666915.71,58.6548
2026-09-13,2641560765335.48,58.8058
2026-09-14,2693805301948.54,59.0465
2026-09-15,2582888967647.73,58.9582
2026-09-16,2590577826966.28,58.9335
2026-09-17,2622029720583.99,58.6375
2026-09-18,2761817620692.95,58.8563
2026-09-19,2785802498061.84,58.7443
