month,RedotPay,KAST,EtherFi,Plasma One,Karta,Tria,Kolo,Other (16),total_volume_musd,total_users_k
2023-03,0,0,0,0,0,0,0,0.0,0.0,0.01
2023-04,0,0,0,0,0,0,0,0.489,0.49,0.01
2023-05,0,0,0,0,0,0,0,0.787,0.79,0.01
2023-06,0,0,0,0,0,0,0,1.093,1.09,0.01
2023-07,0,0,0,0,0,0,0,1.796,1.8,0.02
2023-08,0,0,0,0,0,0,0,1.549,1.55,0.03
2023-09,0,0,0,0,0,0,0,1.351,1.35,0.03
2023-10,0,0,0,0,0,0,0,1.163,1.16,0.03
2023-11,0,0,0,0,0,0,0,1.664,1.66,0.08
2023-12,7.378,0,0,0,0,0,0,2.161,9.54,8.84
2024-01,13.942,0,0,0,0,0,0,3.537,17.48,18.91
2024-02,19.371,0,0,0,0,0,0,3.928,23.3,27.18
2024-03,30.921,0,0,0,0,0,0,5.887,36.81,40.13
2024-04,29.193,0,0,0,0,0,0,6.823,36.02,14.01
2024-05,46.463,0,0,0,0,0,0,7.855,54.32,41.03
2024-06,52.303,0.0,0,0,0,0,0,7.721,60.02,40.06
2024-07,73.431,0.216,0,0,0,0,0,9.115,82.76,58.0
2024-08,82.938,1.273,0,0,0.343,0,0,9.816,94.37,55.34
2024-09,91.741,2.415,0,0,0.293,0,0,9.235,103.68,69.59
2024-10,105.004,3.43,0,0,0.154,0,0,12.589,121.18,66.22
2024-11,130.215,7.705,0.001,0,0.493,0,0,15.043,153.46,89.65
2024-12,148.064,17.097,0.126,0,0.498,0,0,19.097,184.88,87.78
2025-01,149.536,19.525,0.312,0,0.057,0,0,19.813,189.24,98.99
2025-02,144.484,19.897,0.256,0,0.666,0,0.014,19.174,184.49,94.13
2025-03,164.692,19.483,0.288,0,0.544,0,0.112,21.573,206.69,95.37
2025-04,191.797,27.122,1.065,0,0.573,0,0.13,23.525,244.21,118.32
2025-05,224.168,37.435,26.888,0,0.24,0,0.143,33.22,322.09,144.37
2025-06,228.253,42.151,31.929,0,2.021,0,0.432,34.821,339.61,153.27
2025-07,285.559,54.02,22.343,0,2.343,0.008,0.833,44.106,409.21,182.36
2025-08,319.362,56.269,164.286,0,2.838,0.051,0.983,45.711,589.5,203.33
2025-09,304.595,65.964,45.551,0,3.051,0.156,1.209,47.691,468.22,230.08
2025-10,305.963,90.737,58.659,0,3.963,2.68,2.57,52.358,516.93,292.7
2025-11,316.852,88.015,75.416,0,6.515,14.035,2.797,54.661,558.29,262.33
2025-12,337.941,112.951,63.046,0,7.151,10.041,3.315,62.518,596.96,282.3
2026-01,359.486,132.776,130.044,0.128,9.167,11.395,5.089,62.944,711.03,318.56
2026-02,342.522,143.743,88.91,0.259,8.049,11.07,6.268,55.771,656.59,330.29
2026-03,394.354,143.46,124.002,1.099,17.192,15.602,7.162,64.402,767.27,349.19
2026-04,414.821,144.047,101.092,0.766,27.648,15.581,8.618,60.672,773.24,365.85
2026-05,445.394,174.681,113.203,3.413,34.316,22.913,10.536,61.689,866.14,375.34
2026-06,379.098,156.376,89.502,6.533,30.363,12.901,8.405,39.581,722.76,345.93
