year,crypto_native_vc,inst_generalist_vc,inst_tradfi_am_mi,inst_corporate_cvc,inst_sovereign,inst_tradfi_crypto_arm
2014,24030963.01,46861260.35,650000,1818181.82,0,0
2015,36783836.13,99269088.24,17833333.33,12285583.33,0,0
2016,59483070.49,100843216.6,46949156.86,42435245.1,1138500,0
2017,199500318.3,325073596.5,59414666.67,36181367.97,6556333.33,0
2018,1082649375,1305200711,243676007.3,241988653.7,155131666.7,0
2019,669576116.5,535864224.4,1169002111,152949722.2,17665000,0
2020,623158480.6,749477756.6,106479689.8,378882531,4000000,4387500
2021,6522494028,9714278685,2482768201,1727523189,192578333.3,277777.78
2022,7196579576,4230395128,649326549.8,720271158,394909090.9,19522192.98
2023,2455453613,731263388.7,929039355.7,82671341.99,0,14733333.33
2024,4482346609,801773406.2,150807341.3,71519473.02,10800000,17247003.27
2025,6416513180,2824316628,3244580510,374266953.1,2008687500,139527218.6
2026,2004905958,2807999257,3195725681,1510647833,185555555.6,12500000
