date,all_exchange,binance,bybit,okx,deribit,kraken,others
2026-06-22,20829552162.740547,7357397231.8963,3605864652.1527996,2335639512.8976765,972202720.0,3550773.0,6554897272.793772
2026-06-23,20560776840.897327,7146569674.7302,3598198920.4044,2406573420.661506,964581050.0,3548412.0,6441305363.101221
2026-06-24,20756817092.977345,7186701263.0018,3941383104.1751995,2483970767.139006,962907320.0,3564304.0,6178290334.661341
2026-06-25,20731046002.79279,7337088406.8779,3930590977.8478003,2418751255.608886,996929730.0,3546859.0,6044138773.458202
2026-06-26,20436133118.364502,7226409007.15,3911371781.8785,2341511495.1202803,875930760.0,3491383.0,6077418691.215721
2026-06-27,20375513231.09406,7181007478.7165,3859043315.8524,2332388193.8469663,873003980.0,3471008.0,6126599254.678192
2026-06-28,20465650968.81451,7130091517.516,3910514785.532,2391260164.970006,868624740.0,3476475.0,6161683285.796505
2026-06-29,20475342687.538,7136977739.049101,3871364850.9016,2379977652.5439863,855420100.0,3501763.0,6228100582.043312
2026-06-30,21313041693.413345,7378602353.1704,4102648498.2019997,2568089355.9452057,839626750.0,3506790.0,6420567946.095741
2026-07-01,20598678110.65154,7240763346.716801,3771501661.36,2344812276.8852663,828463230.0,3501469.0,6409636126.689472
2026-07-02,21490581342.64132,7623108840.638,3968809760.5894,2388873719.6861663,848003240.0,3515224.0,6658270557.727753
2026-07-03,21988755555.61889,7682975589.016,4004836688.0958004,2416500309.6145864,824402530.0,3503507.0,7056536931.892502
2026-07-04,21934885750.13423,7738443041.7135,4039519189.9856,2376877160.0800066,822106660.0,3506920.0,6954432778.355125
2026-07-05,21970468566.646244,7721771141.2128,4051539849.752,2388972165.8299866,830113260.0,3512038.0,6974560111.851458
2026-07-06,21300743457.82267,7552578491.7568,3910847743.72,2355419914.9231067,802601170.0,3526235.0,6675769902.422764
2026-07-07,20860179765.021584,7282079447.4105,3905205834.2931004,2338025850.071246,813136810.0,3539261.0,6518192562.246738
2026-07-08,20874316734.12837,7256256601.4672,4004819767.11,2383457318.9584064,787036790.0,3522932.0,6439223324.592762
2026-07-09,21129623663.87078,7313115488.01,3885354287.788,2358080799.843256,770420680.0,3542128.0,6799110280.229525
2026-07-10,21860716542.59941,7658316272.698,4076344552.2288,2409664857.550686,780372130.0,3574477.0,6932444253.121925
2026-07-11,21591186785.01092,7462185395.7233,4068461582.8739004,2428868476.3775263,778460850.0,3576021.0,6849634459.036194
2026-07-12,21254347007.605106,7414498151.4561,3887241195.1078997,2417489128.6100764,770341970.0,3575963.0,6761200599.43103
2026-07-13,21754796256.579483,7670847787.168,4201027291.0757,2459805865.736253,753169890.0,3579390.0,6666366032.599529
2026-07-14,22146623510.7901,7818148504.469399,4091600839.7549996,2437629306.2501864,758723140.0,3568843.0,7036952877.315514
2026-07-15,21724717651.755295,7644878136.5526,4021350424.49,2441729567.915143,748746530.0,3556205.0,6864456787.797554
2026-07-16,21270926148.155315,7509149703.0294,3941100076.1647,2421895174.175143,749538880.0,3548474.0,6645693840.786074
2026-07-17,21255994757.54561,7406389328.309999,3925395468.0798,2426399563.0687327,754469660.0,3596354.0,6739744384.087076
2026-07-18,21851693998.035824,7580175934.7792,3984251399.376,2497299692.727383,754692100.0,3658688.0,7031616183.153242
2026-07-19,21640231906.79314,7580827833.316,3907149818.4645,2501411178.448113,749439760.0,3679348.0,6897723968.5645275
2026-07-20,21761650524.167477,7563737971.367,4013476779.7578998,2486643406.6059766,750065720.0,3532894.0,6944193752.436602
2026-07-21,23076912496.03764,7914615442.0694,4306188885.476999,2604001309.450574,767866810.0,3555173.0,7480684876.0406685
2026-07-22,22011646916.693073,7772823566.0312,3991803625.0118,2473966634.7615933,746245640.0,3551516.0,7023255934.888481
2026-07-23,22302437435.72356,7814179731.7534,4135376923.3156,2477128884.486143,744709540.0,3591043.0,7127451313.168417
2026-07-24,22352687137.632057,7843268323.4332,4125924533.096,2533569460.5178432,738471140.0,3543451.0,7107910229.585014
2026-07-25,22485886128.537563,7954225264.0346,4162750959.9504995,2509458497.658713,739758500.0,3547466.0,7116145440.893751
2026-07-26,22154182227.610744,7840380615.59,4055619812.417,2407048150.7007265,744452410.0,3560198.0,7103121040.903019
2026-07-27,21515652971.491833,7782486463.6812,3906196807.9761996,2418027037.5518126,738854860.0,3399138.0,6666688664.282619
2026-07-28,21711612028.323685,7739838359.3132,3957274830.415,2455828430.956547,731246660.0,3425374.0,6823998373.638939
