date,close,open,high,low,long_liq_usd,short_liq_usd
2026-06-22,63948.17796441,63234.23736169,65574.32131634,63232.98647492,31586299.85915561,63828597.48872714
2026-06-23,62647.78969286,63953.72060928,64210.27258323,61862.55376955,336201501.6724052,13239348.73152726
2026-06-24,60989.29512356,62656.32096671,63197.20201929,59135.40391915,268114870.77592587,59305747.71893908
2026-06-25,59713.14635959,60984.59407947,61918.55281753,58014.42113227,438628973.2110433,55552549.84846304
2026-06-26,60006.73159479,59706.66204504,60685.27607173,58266.54601841,62153458.31303899,58613488.63278521
2026-06-27,59954.10163518,60009.49814343,60918.73542718,59780.13008514,14498325.98669693,12501575.95624783
2026-06-28,59501.09298221,59940.79558251,60462.48812806,58810.48015219,296908634.6905001,7796362.84356442
2026-06-29,60172.55558462,59478.0127666,60795.1018508,58805.32617668,31980012.6736485,42021816.55399214
2026-06-30,58534.52751815,60203.68449353,60205.30881387,58097.5193338,327323337.72260815,11488396.8558758
2026-07-01,59968.70299623,58534.43969719,61284.12032883,57729.42512814,55555964.10519119,95607618.29741177
2026-07-02,61485.85378325,60034.34870648,62169.75693621,59517.90509492,21493667.09482984,85011228.88606146
2026-07-03,62524.71804456,61536.12346983,62939.18723625,61167.20303492,9405760.095673,53994154.63866206
2026-07-04,63081.67703533,62523.06017133,63426.63860132,62286.08708897,5861204.34415622,39531375.21846872
2026-07-05,63583.33815837,63054.74157921,64011.00788745,62381.89827374,8761188.67277103,38357934.71091243
2026-07-06,64003.01921228,63599.40654322,64683.91941352,61295.1434196,286022550.6967094,102145705.1547355
2026-07-07,63319.44355181,64025.62430457,64267.1316362,62606.88438392,35360767.18927503,24867960.64758939
2026-07-08,62235.76988972,63356.25571849,63716.89227014,61475.31630207,48899915.32511446,8730249.47198576
2026-07-09,63214.20802513,62237.8524966,63457.49895475,61647.14424475,19748489.70872639,39481530.37293316
2026-07-10,64141.88164134,63176.51027075,64685.19936756,62881.1427385,241080541.4131666,54143167.14087918
2026-07-11,63775.12112593,64118.52905506,64457.15685355,63774.20277002,5338248.06296811,4849308.24444828
2026-07-12,63738.5687075,63773.16626468,64268.20255601,63595.04861912,13864904.76040056,5112042.49766288
2026-07-13,62259.24109035,63739.50731311,64407.40467277,61756.18322674,86820863.66395167,13960831.60034331
2026-07-14,64995.97798736,62258.5820951,65057.51150506,62196.10132037,231948005.78682593,84733845.7547558
2026-07-15,64710.10567859,65011.95437869,65581.50168193,64435.49305725,9831552.84757065,37545013.25460047
2026-07-16,63775.83929611,64709.62751032,64955.88012348,63692.70855521,41147279.64552453,14872502.7196271
2026-07-17,63882.5681475,63777.51110042,64375.80683022,62467.3048759,60213203.4301919,29810989.13293632
2026-07-18,64791.518696,63902.057409,64861.21340374,63842.82916975,678348.26062698,11244981.33661133
2026-07-19,64675.00797054,64793.08113812,64978.57773607,64225.37403093,5637872.67113773,8271005.02617187
2026-07-20,65207.67966233,64681.91130463,65752.63714309,63670.31473026,26044176.54624131,57579554.68603892
2026-07-21,66520.50975629,65229.25570248,66917.95658396,65101.16395949,6133688.12605174,54101246.55619356
2026-07-22,66077.59714767,66519.80274795,66767.28977615,65496.30535792,13954174.56659926,10988596.3314424
2026-07-23,65052.22394479,66078.54969212,66298.27676926,64606.61501884,39370408.73913792,11641147.73378536
2026-07-24,64102.74746546,65056.49181071,65757.69376636,63667.6086998,56285401.2056877,8250464.638172
2026-07-25,64297.55573156,64089.65436567,64424.97564033,63743.84825052,3930612.25394722,3498723.45816634
2026-07-26,65342.75763897,64309.08703129,65536.38174785,64229.80158546,599387.61363113,28317215.13003048
2026-07-27,63700.81816275,65340.92746409,65734.13794261,63559.29063245,95472236.29712032,21192715.83496193
2026-07-28,63850.66435792,63708.57407586,64057.07024301,62707.09903877,51180356.87502994,17410697.57374142
2026-07-29,63900.01865966,63851.31866698,64699.07982743,63232.99770528,29497705.81574831,24439812.08115878
2026-07-30,64726.37010577,63900.72567312,65102.36841621,63514.70817011,3121328.69293694,17058851.84450471
2026-07-31,62825.22899683,64768.98827401,65393.38075203,62390.53279457,83566396.54337996,14268114.34511217
2026-08-01,62762.82649126,62829.85209274,63133.50125569,62216.71239034,26129883.82345458,1576535.03760407
2026-08-02,63502.05525088,62763.29353082,63775.40413521,62746.32488629,5335371.07746275,25198981.62078839
2026-08-03,63463.15878038,63501.34374534,64021.17245745,62224.38049161,44804011.34636766,25972758.81521991
2026-08-04,64040.30732483,63463.41875819,64498.85162904,63274.03007976,5400007.92042563,23996786.90755214
2026-08-05,64603.20301665,64042.58183519,64990.77953681,63845.69663864,6034891.08430513,39347434.40418344
2026-08-06,64263.10312879,64622.95489189,65010.2329752,64097.86500962,7311942.64614067,10016493.19662904
2026-08-07,64893.02149863,64268.45174783,65336.30339953,64109.61687598,7182805.10042687,24118599.87140626
2026-08-08,64914.37764754,64884.97981473,65192.61175604,64747.76312814,849412.43747657,1357899.16150247
2026-08-09,64886.34325857,64921.4319676,65437.9949243,64682.4966302,11395033.54972811,10290294.94946534
2026-08-10,63906.27185042,64863.75478291,65346.44463018,63756.72898113,41379739.51866753,6018710.57787242
2026-08-11,63532.9364874,63920.59581931,64465.23582903,63192.47034652,29990280.8409496,3578600.59786105
2026-08-12,63422.53169849,63536.60132248,64430.37561739,63239.43319815,10138860.71932659,7437036.80859271
2026-08-13,63492.3802234,63423.18518855,64006.17910975,62760.75923643,31930584.47386659,8506136.77442247
2026-08-14,63020.87471389,63426.4903121,63614.8752597,62500.61857972,23127647.4374702,3775187.77418513
2026-08-15,63017.82037476,63000.77594931,63198.46756686,62839.0799229,916858.59061665,791321.1291627
2026-08-16,62835.92748467,63020.05435167,63336.83730864,62643.00700744,11043362.64163419,2119063.87771213
2026-08-17,64473.43012612,62835.2957461,64594.7066531,62684.21371789,2138596.99681036,49332786.98485971
2026-08-18,64680.02810892,64514.79490411,65005.15574306,63970.84821209,2995734.32789573,22490141.62704409
2026-08-19,69297.24004544,64679.51889756,70011.18740146,64120.74896631,252621193.56531325,757782081.8778536
2026-08-20,73006.04352254,69338.94336499,73381.64221313,68597.72425323,254755479.58195323,327029317.92070633
2026-08-21,78362.90605342,73005.73597235,79488.74556926,73001.4405515,1047626824.0165355,478987589.801706
2026-08-22,77126.0926716,78349.30869893,78819.54072313,76460.25526512,68253023.78726667,25470926.39043858
2026-08-23,77745.69978924,77063.76283635,78071.85531055,75542.24506097,45812504.76767708,32432392.28901869
2026-08-24,78981.50340718,77730.13920629,79996.30173706,76692.56003023,46662983.16573777,73627002.46471272
2026-08-25,78525.72076036,78981.70407974,81246.15763644,77835.63086882,320297157.187219,66706262.21464974
2026-08-26,79018.22345402,78539.11289272,79243.93042807,77619.4288245,21800514.60109432,22697414.79432595
2026-08-27,80262.27715362,79022.23065591,80835.2926993,78541.98687664,34988300.91970885,53837731.80055643
2026-08-28,77829.49176051,80260.70192168,81478.02008136,76866.99437821,114524834.43287031,33501723.984481
2026-08-29,78225.09261023,77838.67051301,78330.17237416,77362.47566692,2205816.90637648,7192802.06921
2026-08-30,77678.61595794,78224.737858,79386.40835118,76990.55847668,40587733.643289,21081885.91944339
2026-08-31,78557.74508691,77669.68989756,79290.55511449,77271.95902689,11159206.653116,28282826.94352331
2026-09-01,77395.60692859,78596.61276465,79236.83342761,76392.47211676,142520739.83041894,12987021.443443
2026-09-02,77313.12567561,77394.47005767,77813.05726149,76224.61468386,25745502.250298,21402440.309824
2026-09-03,81259.15400979,77392.922738,82293.79051427,76959.97258892,15783000.61677905,207280012.1360273
2026-09-04,79726.43193507,81264.24232135,81426.6963255,78661.69944647,78647543.72112279,14624731.80849
2026-09-05,79837.82505201,79678.61604718,80217.0675198,79458.84244921,1994746.5406,5759702.62076
2026-09-06,80336.12093651,79840.95194577,80585.12063556,79309.89372027,10256936.088298,20031195.07465826
2026-09-07,79093.83960706,80404.69536028,80471.11049372,78716.12815142,24414558.80789064,3610128.893571
2026-09-08,78449.56474437,79093.4077218,79505.89462827,77631.31468417,44736940.8005205,10267052.10135
2026-09-09,78314.93914654,78478.75145509,79757.1520219,77754.83439496,41304924.27389,21518966.54064126
2026-09-10,76538.2159046,78370.26791048,78580.12380885,76470.39082477,73489338.50244063,8146122.119775
2026-09-11,77204.64602265,76549.87162747,79893.68721629,76018.79022892,69628444.72815944,73950479.04456362
2026-09-12,77233.94584306,77203.69206441,77463.45717999,77020.89266293,1342673.30336,1017112.30245
2026-09-13,76848.76738048,77254.05167157,77444.49767627,76461.04838259,31646862.90814831,6133731.733172
2026-09-14,78176.5330462,76802.23784625,79582.68574429,76353.70852539,15057164.435123,57045618.53470784
2026-09-15,75639.54563069,78178.4850726,78239.13759691,74957.32401611,164686936.70835382,27206817.810809
2026-09-16,76151.60130053,75618.27004785,76493.23047612,74982.69517295,28080703.84444507,23724574.42732
2026-09-17,76358.42443244,76146.23142766,77175.60845114,75931.67301615,8966147.14546,19610580.55774
2026-09-18,80854.68690642,76396.46309658,81349.53619288,76236.56460103,8919931.95214432,212086573.10023415
2026-09-19,81224.60072458,80862.34856137,81924.32849108,80800.27611343,9756738.064744,26716002.93892262
