date,close,open,high,low,long_liq_usd,short_liq_usd
2026-06-22,1726.1726994,1704.97228146,1777.8592859,1704.92572256,24266884.05184862,46135220.40081426
2026-06-23,1664.99324026,1726.37592247,1734.31856293,1633.50035739,105305617.64693563,13710708.10492834
2026-06-24,1619.76179557,1664.99377367,1691.79991371,1552.24333871,141150622.05001566,54589487.63666357
2026-06-25,1565.49889269,1619.80173523,1658.73996787,1528.62993353,175019368.13528523,51156949.97257211
2026-06-26,1576.34287002,1565.52450583,1592.25651415,1510.0095439,90111769.75242934,53472171.837534815
2026-06-27,1571.79642784,1576.46211582,1610.33587848,1560.86695092,27036084.54601169,14813982.637704069
2026-06-28,1571.58900289,1571.62248624,1588.23296262,1545.6305368,33920234.80302231,7943283.296728909
2026-06-29,1610.67581249,1569.48192406,1634.87829526,1547.82907248,29462365.084482383,52353828.72909665
2026-06-30,1569.58057473,1611.14952538,1612.15951721,1547.73687127,43942461.10082848,12480507.87050303
2026-07-01,1607.82237512,1569.58133292,1644.62276957,1550.4930482,49219795.06058238,72224272.19397022
2026-07-02,1698.62939492,1609.39052087,1722.92197287,1595.33569234,30407947.125726774,116711318.5966109
2026-07-03,1756.21769643,1699.37194952,1775.17696412,1692.64851874,18268654.68131671,99702450.03809091
2026-07-04,1778.90372639,1756.37454102,1806.60824993,1742.61603171,17842819.4225151,55362148.415791735
2026-07-05,1783.97036398,1779.05326197,1807.1541927,1746.7546547,15302353.318671163,27151399.77813932
2026-07-06,1798.3766659,1784.58554788,1832.86158341,1729.3686246,37511623.20978692,91298279.4862596
2026-07-07,1770.1576173,1799.80730527,1811.42904213,1756.32142206,28399894.48185914,37631201.66201118
2026-07-08,1741.98996397,1771.19634764,1783.80525528,1711.47167145,52266443.56860467,9819339.105162509
2026-07-09,1745.06154461,1742.03135241,1760.56730888,1720.10262022,12615278.55114468,19523217.26629331
2026-07-10,1796.37231488,1743.84864278,1811.88711323,1736.28335426,11767378.978049241,32397552.58198959
2026-07-11,1786.49260235,1795.53536509,1829.34051096,1785.22557534,13345633.03205666,20036290.19741506
2026-07-12,1805.56341392,1786.50266967,1825.29390059,1779.1385023,14689674.81828983,17045991.79502189
2026-07-13,1774.51417513,1805.53897567,1845.6922729,1748.14126292,52513492.51635864,24944575.20052651
2026-07-14,1890.38893546,1774.45446154,1896.21120496,1771.36707568,7237629.33849595,123222447.94934529
2026-07-15,1916.48067316,1893.14258983,1945.29976587,1863.1694833,22579441.902321212,89464617.79645967
2026-07-16,1863.12588668,1916.38053141,1928.15323598,1856.19399661,59980419.24442964,11214769.990247142
2026-07-17,1840.49465683,1863.11278375,1869.92002435,1801.71083363,66910665.08457284,33322646.8554434
2026-07-18,1861.41888665,1840.80962905,1866.07990443,1836.408326,2706000.30595748,14498940.13905878
2026-07-19,1870.83954889,1861.45954864,1880.5294259,1848.34218076,8458480.90962206,16111898.97082671
2026-07-20,1903.31405016,1870.96546022,1916.88400994,1841.86319326,35731359.42688448,53347512.30674955
2026-07-21,1928.86266846,1903.71574094,1951.70049595,1899.27497187,9217772.95003857,35414375.8993821
2026-07-22,1933.15153782,1928.91043567,1955.8583044,1909.52058027,17306717.42703064,28039246.707745146
2026-07-23,1876.88925222,1933.18001194,1940.49769522,1866.92504048,51207695.59387367,4336180.65663567
2026-07-24,1859.78636821,1877.0065231,1908.89164593,1846.47023192,42078208.87876501,20828760.46825155
2026-07-25,1873.25630774,1859.7094989,1877.7961041,1849.45684038,2054825.32354306,3672830.60206477
2026-07-26,1953.01565663,1873.30316432,1965.41680333,1872.07819089,1946089.21124988,92924404.20282793
2026-07-27,1890.78003601,1953.05981334,1980.87918066,1882.14351887,63902817.007859364,71423208.17476979
2026-07-28,1919.86326471,1890.82155022,1929.1339531,1856.83088589,41787368.08351369,38726724.85488775
2026-07-29,1908.32708194,1919.80243098,1933.00746655,1872.72981485,41225272.453221306,32120465.189081483
2026-07-30,1916.91411148,1908.26999938,1935.07969251,1891.56719019,4962966.48116497,19283500.150632493
2026-07-31,1860.58638607,1918.0956538,1936.01389036,1846.67138003,56388908.87866158,6516962.25508143
2026-08-01,1843.13361223,1860.6993269,1873.85474437,1821.12139467,53177924.31271764,2381834.89176677
2026-08-02,1883.32638359,1843.1731272,1898.32026984,1841.88188229,11201809.695546389,31779693.62610177
2026-08-03,1858.76440032,1883.18676462,1883.75508976,1827.62355796,25768704.99961921,11277947.53142533
2026-08-04,1868.12694529,1858.84153895,1881.12660537,1847.13346127,5785084.8221966205,16815389.5294268
2026-08-05,1907.10856045,1868.24281118,1926.02234305,1854.53920289,10952510.63356268,43566136.06746957
2026-08-06,1902.36404562,1907.78272504,1920.02031915,1890.80087059,8740987.22596816,8005255.430611491
2026-08-07,1913.11313822,1902.31512204,1941.54965039,1892.20179153,7991065.27493281,28366897.153075483
2026-08-08,1915.44825185,1912.99375633,1925.92547408,1911.33172792,1154323.61555486,2413357.82957844
2026-08-09,1910.22943979,1915.57300571,1938.00448908,1906.24815285,6976688.588826021,12076926.341809291
2026-08-10,1871.29583484,1909.54197339,1930.17839917,1866.53475414,43587153.11340782,5575916.4126357995
2026-08-11,1880.87762602,1871.35433751,1898.01721837,1852.31504778,26073814.15256989,10674527.20516794
2026-08-12,1877.69411045,1880.80491123,1924.14504014,1871.50241329,15157452.72078523,20559813.392439857
2026-08-13,1886.1410795,1877.7161391,1899.67648215,1861.58534773,25683851.547404744,9695847.86261595
2026-08-14,1881.25013653,1884.57240375,1890.55768453,1862.03095695,11796761.677164199,4799535.64591156
2026-08-15,1880.61392559,1881.00182344,1886.16705715,1874.17651072,488322.76464546,557000.42195689
2026-08-16,1873.98785538,1880.79543194,1891.23386029,1867.56741343,9253037.36474997,2331089.4419382596
2026-08-17,1911.88208629,1873.99719101,1917.33004455,1871.22964575,3077291.7679849695,25103196.053960837
2026-08-18,1916.44694287,1913.06835756,1921.57953656,1884.29903154,13226840.73835033,11587864.63779001
2026-08-19,2251.4865555,1916.5448665,2334.98608124,1904.42548946,46243812.594885714,734914232.2967589
2026-08-20,2326.14411814,2252.98253506,2360.15455501,2220.65996532,56468051.76789165,135538983.00521478
2026-08-21,2516.75878257,2326.13169684,2546.64480712,2324.44462737,76143946.69622163,255570082.5909677
2026-08-22,2424.72806458,2516.77344529,2529.94672919,2383.70373102,115166345.92073183,33142900.06785127
2026-08-23,2464.0363241,2422.32238588,2484.64332382,2355.48401512,61247946.365138955,67652914.9834728
2026-08-24,2481.64580916,2463.24890735,2532.91113833,2424.38042847,39713565.75755679,62535222.819526
2026-08-25,2441.94395963,2481.86136115,2532.8397323,2414.40847497,68604440.0705496,35918647.20783078
2026-08-26,2506.7704764,2442.86504878,2515.15058938,2431.98789529,26138169.39498169,50330568.57009609
2026-08-27,2511.10150745,2506.71710888,2566.03688244,2481.29165028,42959276.650020674,77614481.83430403
2026-08-28,2442.8161676,2511.0534911,2535.24309816,2405.62292382,82746413.10652746,23955639.343311887
2026-08-29,2457.49786733,2442.64490017,2460.01849686,2430.58613248,1067902.21934,3369142.7149246507
2026-08-30,2416.72458417,2457.46250824,2534.43251289,2386.93983331,62135106.8148508,47236047.18568089
2026-08-31,2467.04015778,2416.29607423,2490.37195401,2400.48877893,34912678.04115888,30102341.088437915
2026-09-01,2417.23581971,2468.10379859,2486.83184234,2382.97365035,64856263.60371185,11812332.11299074
2026-09-02,2391.23423204,2417.23918118,2430.88987005,2355.81651504,47413607.74813873,17438565.223908618
2026-09-03,2507.2622105,2393.40460679,2529.87634119,2370.13290279,17084737.967010003,91489131.97678527
2026-09-04,2458.24270496,2507.11592317,2548.16595798,2431.640865,63065147.149420984,25845298.03891865
2026-09-05,2480.45482395,2456.42712442,2495.56923861,2445.06978635,1238329.28905,16263181.60355902
2026-09-06,2514.42838626,2480.56401451,2526.97477464,2462.74808465,20692399.75736066,34672731.68134334
2026-09-07,2489.57903228,2516.1780204,2536.03279171,2467.1210267,20333103.803708818,12437711.707198506
2026-09-08,2484.8953939,2489.52754191,2508.08664276,2441.67238987,31591067.395281427,19733754.834921796
2026-09-09,2468.40513609,2485.59455371,2524.02963204,2442.14026979,39700997.725679874,15767820.009498
2026-09-10,2437.24760324,2470.11556332,2484.00494571,2407.79473702,49886942.883941896,16536514.23111
2026-09-11,2515.8764107,2437.50148181,2666.7905097,2433.40988053,92171877.75494349,156900735.0636925
2026-09-12,2522.01083055,2515.76538567,2543.92174485,2507.72560897,3834565.11248,3545977.85309
2026-09-13,2477.3593553,2523.34852249,2525.72211942,2464.80757674,52297078.74635185,9571794.8715
2026-09-14,2515.14206137,2475.47472774,2614.49573823,2463.96982459,29310692.493159834,92366202.93373847
2026-09-15,2397.07259781,2515.2288331,2519.35134149,2358.03446821,215093517.66105235,27126700.98715202
2026-09-16,2416.42571925,2398.36758624,2431.05930954,2369.04537468,50247469.621202365,47772203.900664985
2026-09-17,2445.6259427,2416.32461305,2481.48546263,2411.67667892,12401229.381959999,30134480.15325608
2026-09-18,2610.86554683,2446.64815388,2646.0147997,2435.77708357,10859072.818500001,124576444.8084309
2026-09-19,2631.50234377,2611.37234671,2667.10084379,2602.21202037,12082200.445967069,38828936.566551514
