ticker,asset,mnav,date,color
SUIG,SUI,1.29,2025-07-31,blue
LITS,LTC,0.43,2025-07-23,blue
IPST,IP,0.18,2025-08-11,blue
BNC,BNB,0.37,2025-08-20,blue
BNKK,BONK,0.93,2025-08-29,blue
PAPL,INJ,0.65,2025-09-15,blue
SBET,ETH,0.74,2025-10-08,red
SVRN,BTC,0.15,2025-10-28,blue
CYPH,HYPE,0.92,2025-11-13,blue
XXI,BTC,0.73,2025-12-08,red
UPXI,SOL,0.48,2026-02-08,red
VIVO,XRP,0.34,2026-02-12,blue
FWDI,SOL,0.70,2026-03-18,red
PURR,HYPE,0.72,2026-04-29,red
DFDV,SOL,0.61,2026-05-01,red
MTPLF,BTC,1.01,2026-05-08,red
HYPD,HYPE,0.32,2026-05-10,red
MSTR,BTC,0.78,2026-05-26,red
HSDT,HYPE,0.76,2026-05-29,red
BMNR,ETH,0.95,2026-06-11,red
AVAT,AVAX,0.64,2026-06-11,blue
