company,unrealized_pnl_usd_b,color
Bitmine Immersion,-9.0,#7e96a6
Strategy,-8.1,#f0992e
Twenty One Capital,-1.5,#b0b0b0
Sharplink Gaming,-1.5,#4a90d9
Bitcoin Standard Treasury,-1.4,#1b2a3a
Metaplanet,-1.5,#9c4a1e
Forward Industries,-1.3,#5a2d82
The Ethereum Machine,-1.2,#161623
Strive Asset Management,-0.7,#f0992e
MARA Holdings,-0.5,#4e9a51
Solana Company,-0.47,#3aa873
Sharps Technology,-0.47,#9a8fb0
Nakamoto Holdings,-0.4,#3aa860
DeFi Development Corp,-0.4,#e8622e
American Bitcoin,-0.36,#f0a93e
Upexi,-0.33,#c45fc4
Ethzilla Corp,-0.29,#3a5fd0
Bit Digital,-0.29,#2bb38a
CEA Industries,-0.25,#5aa84a
BTCS,-0.22,#5ec8e8
FG Nexus,-0.18,#2a3550
Stablecoin Development Corp,-0.13,#b89ad8
Hyperion DeFi,-0.09,#3ab0a0
Hyperliquid Strategies,1.4,#9aae3a
