rank,protocol,chains,tvl,active_loans,supplied
1,Aave,22,17.429,12.481,29.910
2,Morpho,42,9.486,4.833,14.319
3,SparkLend,2,4.271,1.984,6.255
4,JustLend,1,3.659,0.19944,3.858
5,Maple,3,2.948,1.832,4.780
6,Compound Finance,10,1.483,0.63024,2.114
7,Kamino Lend,1,1.247,0.98703,2.235
8,Venus,8,1.243,0.43949,1.682
9,Jupiter,1,1.073,0.92766,2.001
10,Lista Lending,2,0.83104,0.06915,0.90019
11,Fluid Lending,6,0.74728,0.82448,1.572
12,HyperLend,1,0.54544,0.29717,0.84261
13,Euler,16,0.36829,0.55753,0.92581
14,cap,1,0.33589,0.06432,0.40021
