,Solana,Ethereum,Robinhood Chain,Hyperliquid L1,BSC,Base,Canton,Polygon,Tron,TON,Avalanche,Arbitrum,Arc,Near,zkLighter,edgeX L1,Ink,Sui,Monad,OP Mainnet,Bitcoin,Plasma,Chainflip,Stellar,Native Core,ZKsync Era,Derive Chain,ADI,Abstract,TxFlow,Sei,XRPL,Manta,Starknet,Mantle,Aptos,X Layer,Unichain,dYdX,RISE,ValueChain,Cronos,Vaulta,PulseChain,Quai,Cardano,THORChain,Hedera,MegaETH,Sonic,Gnosis,Bulk,Osmosis,Flare,Ronin,Rootstock,Stacks,Algorand,Stable,ICP,Provenance,Injective,Berachain,Immutable zkEVM,AlphaSec,Dexalot,Linea,ApeChain,GateLayer,Filecoin,Fluent,World Chain,ReyaChain,Flow,Katana,Sis,Hydration,Fuel Ignition,Plume Mainnet,0G,Celo,IOTA EVM,Bitcoincash,Pharos,ZIGChain,Scroll,Open,CosmosHub,Litecoin,Igra,Doge,Etherlink,Kaia,Soneium,Fraxtal,Noble,Metis,Peaq,Morph,XDC,Mezo,Somnia,Hemi,ENI,ALEO,Tempo,Fantom,SX Rollup,Chiliz,Kasplex,Blast,BOB,Bifrost,Taiko,IoTeX,CORE,Mode,Conflux,XO,Celestia,Shido,MultiversX,opBNB,Coti,Citrea,Terra Classic,BandChain,Boba,Merlin,Kub,Shape,Lisk,Eden,KCC,Songbird,Data Network,Zircuit,HAQQ,Eclipse,Vara,Movement,Lens,XPR Network,BSquared,Radix,Waves,Strato Chain,KUB,Chia,Aurora,Telos,ZetaChain,Bifrost Network,Gravity by Galxe,Juno,Vana,Kava,Arbitrum Nova,Bitlayer,Babylon Genesis,Fuse,Asset Chain,TAC,Zora,Sophon,Neon,B3,Moonriver,Polygon zkEVM,Bittorrent,LightLink,Horizen EON,NEO,Moonbeam,re.al,ZKsync Lite,Rollux,Astar zkEVM,Harmony,DFK,Dogechain,Canto,Cronos zkEVM,zkLink Nova,smartBCH,Evmos,Meter,DChain,Corn,Stargaze,Dymension,UX,Comdex,Phantasma,Rari,Sanko,ThunderCore,Superposition,Plume,Onus,Swellchain,Neutron,WEMIX3.0,ShimmerEVM,Mayachain,BOT Chain,Planq,IOTA,Verus,EDU Chain,WINR Chain,AO,Chain_global,Qubic,Pacaswap,Ethereal,Capx Chain,Camp Network,Bittensor,Polynomial,Dango Mainnet,Gensyn,Supra,AFX L1
2024-11-01,409461693.0,106050217.99,0.0,1.0,14709811.54,54403895.98,0.0,3073760.4699999997,567381.0,16313541.9,3419471.99,11212267.76,0.0,90067.0,0.0,0.0,0.0,3572499.0,0.0,6408017.33,250448.0,0.0,149984.0,0.0,0.0,239230.63,0.0,0.0,0.0,0.0,1283070.0,0.0,5371.0,86689.0,1481846.16,415583.64,43.0,0.0,3156205.0,0.0,0.0,757442.0,0.0,2656229.0,0.0,863829.0,3258.7,91819.0,0.0,0.0,300857.15,0.0,17155.0,3861.0,444241.0,111.0,2189.0,0.0,0.0,0.0,0.0,480.0,0.0,528854.0,0.0,0.0,1085850.95,205161.8,0.0,0.0,0.0,0.0,7413.0,0.0,0.0,0.0,117002.0,0.0,0.0,0.0,7928.7300000000005,22697.0,9244.0,0.0,0.0,533099.59,0.0,1157598.0,8936.0,0.0,25089.0,0.0,66486.0,0.0,2549.2200000000003,0.0,142411.58,0.0,2463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087808.94,0.0,29853.0,0.0,125118.53,291.0,108423.0,330.0,1233.0,66188.61,14261.38,16519.0,0.0,0.0,0.0,22840.0,2055.66,0.0,0.0,90.0,1200.0,4.0,0.0,0.0,0.0,11.39,0.0,532.0,0.0,0.0,0.0,3300.0,1639.0,0.0,0.0,0.0,0.0,0.0,7383.0,1422.0,0.0,0.0,0.0,28.02,0.0,0.0,0.0,1816.0,330.0,0.0,1572.0,97.26,0.0,0.0,7.52,0.0,0.0,2340.44,0.0,0.0,0.0,2632.6,10850.21,0.0,0.0,1618.0,0.0,60876.0,1391.0,3169.0,219.0,0.0,28.0,23.0,0.0,1066.0,18415.0,0.0,0.0,60.0,0.0,0.0,0.0,300.0,0.0,30.0,0.0,0.0,443.0,4000.0,228.53,0.0,0.0,0.0,0.0,0.0,879.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,340098541.0,136296744.89,0.0,10510315.0,20539585.3,82032720.46,0.0,3706762.47,859342.0,23266201.85,3942169.46,13505039.8,0.0,85226.0,0.0,0.0,0.0,6169845.0,0.0,5479698.18,204435.0,0.0,145653.0,264.0,0.0,262478.7,210087.0,0.0,0.0,0.0,1524728.0,0.0,13056.0,75479.0,586103.24,520674.25999999995,30.0,0.0,3480307.0,0.0,0.0,760945.0,0.0,3627381.0,0.0,717737.0,1707.1,340717.0,0.0,23067.44,204228.29,0.0,21461.0,5846.0,500657.0,187.0,2057.0,0.0,0.0,0.0,0.0,471.0,0.0,782305.0,0.0,0.0,1422644.67,291195.37,0.0,0.0,0.0,0.0,17301.0,0.0,0.0,0.0,139513.0,0.0,0.0,0.0,7038.84,38316.0,7840.0,0.0,0.0,320738.87,0.0,1078541.8,10993.0,0.0,14167.0,0.0,20943.0,0.0,22026.9,0.0,112702.0,0.0,15019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629800.72,0.0,26615.0,0.0,174046.64,2713.28,352200.0,198.0,2626.0,68823.97,107887.24,21651.0,0.0,3466.0,0.0,23052.0,2016.85,0.0,0.0,93.0,1589.0,0.0,5152.0,0.0,0.0,49163.89,0.0,1100.0,0.0,0.0,4879.0,2206.0,5435.0,0.0,0.0,0.0,0.0,0.0,12144.0,1690.0,0.0,0.0,0.0,20.03,0.0,0.0,0.0,3749.0,601.0,3465.0,2209.0,96.05,12248.0,0.0,3.5500000000000003,0.0,0.0,7034.54,0.0,20.0,0.0,1050.41,14420.5,0.0,0.0,4234.0,0.0,219240.0,2.0,29041.0,252.0,0.0,34.0,24.0,0.0,950.0,9007.0,0.0,0.0,103.0,0.0,0.0,0.0,261.0,56.0,31.0,0.0,0.0,352.0,3319.0,189.69,0.0,0.0,0.0,0.0,12867.0,714.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,665413018.23,113891438.82,0.0,49202798.0,15951533.89,77304791.93,0.0,2811055.18,690837.0,16217397.48,3996295.51,12500918.94,0.0,44278.0,0.0,0.0,112371.85,5995184.0,0.0,3193551.16,333822.0,0.0,128289.0,1364.0,0.0,277013.28,513748.0,0.0,8061.02,0.0,1302794.0,0.0,11653.0,61128.0,773630.16,413414.0,16.0,0.0,2182907.0,0.0,0.0,534692.0,1995.0,1744846.0,0.0,291298.0,21405.92,240941.0,0.0,256178.88,184077.91999999998,0.0,19646.0,5106.0,336706.0,283.0,2281.0,0.0,0.0,5551.0,0.0,414.0,0.0,648150.0,0.0,0.0,911971.41,98843.05,0.0,0.0,0.0,0.0,13635.0,0.0,0.0,0.0,77296.0,0.0,0.0,0.0,8195.3,24046.0,8154.0,0.0,0.0,158079.28,0.0,751599.0,9606.0,0.0,11850.0,4.0,15574.0,19896.33,18748.5,0.0,60067.0,0.0,24344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116722.44,0.0,12475.0,0.0,203358.48,3728.64,121028.0,29.12,1330.0,52880.46,149842.01,13059.0,0.0,5937.0,0.0,11023.0,324666.36,0.0,0.0,74.0,1689.0,0.01,4445.0,0.0,0.0,35144.03,0.0,790.0,0.0,0.0,6016.0,900.0,15438.0,0.0,0.0,0.0,0.0,0.0,7429.0,1511.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2614.0,738.0,4147.0,2369.0,43.04,9226.0,0.0,1.48,0.0,0.0,2272.42,0.0,0.0,0.0,1282.0,4737.82,0.0,0.0,2168.0,0.0,26283.0,1789.0,17800.0,199.0,0.0,4.0,0.0,0.0,40.0,13092.76,0.0,0.0,104.0,0.0,0.0,0.0,117.0,91.0,31.0,0.0,0.0,315.0,932.0,387.63,0.0,0.0,0.0,108.0,30090.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,274027777.0,78228637.98,0.0,44389595.0,31649516.22,39168091.64,0.0,3284301.1,594242.0,15439207.57,5529231.07,9935354.65,0.0,50473.0,0.0,105971.0,63456.770000000004,4083821.0,0.0,2187520.8200000003,589468.0,0.0,139430.0,1229.0,0.0,228548.48,254825.0,0.0,59458.09,0.0,749005.0,0.0,12973.0,17958.0,394524.15,597433.0,25.0,21316.0,1294868.0,0.0,0.0,442038.0,2405.0,3021960.0,0.0,400670.0,0.0,96402.0,0.0,3495989.25,225888.74,0.0,13475.0,5218.0,255730.0,357.0,1212.0,0.0,0.0,10316.0,0.0,258.0,3403189.0700000003,381579.0,0.0,0.0,675097.8,65191.38,0.0,0.0,0.0,0.0,13016.0,132.0,0.0,0.0,86552.0,0.0,0.0,0.0,7745.9400000000005,13956.0,5426.0,0.0,0.0,114950.37,0.0,668997.6,10576.0,0.0,11085.0,12.0,6068.0,24408.92,10920.14,0.0,34394.82,0.0,16901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68500.54000000001,0.0,17046.0,0.0,131460.26,4129.59,82331.0,78.0,830.0,36700.409999999996,79209.65,11158.0,0.0,3724.0,0.0,9072.0,398224.21,0.0,0.0,31.0,1087.0,0.0,1163.0,0.0,0.0,23167.48,0.0,335.0,0.0,348.0,7722.0,504.0,10166.0,0.0,0.0,0.0,0.0,13.0,8311.0,1401.0,0.0,0.0,0.0,6.09,0.0,7.0,0.0,2356.88,543.0,4261.0,1851.0,38.29,6495.0,0.0,0.97,0.0,0.0,1081.5,0.0,0.0,0.0,1136.0,3916.6,0.0,0.0,2442.0,0.0,52445.0,303.0,86917.0,60.0,0.0,0.0,0.0,0.0,4.0,5415.0,0.0,0.0,49.0,0.0,0.0,0.0,83.0,58.0,27.0,0.0,0.0,84.0,2614.0,480.45,0.0,16.0,0.0,1901.45,134.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,139106237.0,78951001.59,0.0,38736394.62,33256262.3,30348156.26,0.0,3480949.38,904721.0,15307387.0,3769937.81,7375345.24,0.0,40706.0,0.0,854150.0,56021.49,3567056.0,0.0,1380407.82,618684.0,0.0,181426.0,1334.0,0.0,320070.46,147211.0,0.0,373390.0,0.0,464141.0,0.0,12938.0,14281.0,613448.14,733133.0,0.0,12295.91,1294478.0,0.0,0.0,742336.0,1584.0,2134665.0,0.0,256657.0,0.0,80142.0,0.0,9959436.72,122124.59999999999,0.0,14111.0,17410.0,282295.0,214.0,1108.0,121.0,0.0,10142.0,0.0,235.0,6246722.09,524796.0,0.0,0.0,464100.57,25277.6,0.0,0.0,0.0,0.0,10392.0,348.0,0.0,0.0,45873.0,0.0,0.0,0.0,2277.45,17964.0,6116.0,0.0,0.0,41853.71,0.0,417673.0,8345.0,0.0,6526.0,895.0,16423.0,28566.04,7699.21,0.0,16243.0,0.0,14940.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,43374.11,0.0,11654.0,0.0,36569.58,13254.14,80879.0,28.0,457.0,36589.68,23657.72,5701.0,0.0,0.0,0.0,6644.0,181168.15,0.0,0.0,31.0,1018.0,0.0,252.0,0.0,0.0,17726.47,0.0,357.0,0.0,532.0,41411.0,880.0,7151.0,0.0,0.0,0.0,0.0,6.0,3157.0,1672.0,0.0,0.0,0.0,1.0,0.0,59.0,0.0,1660.0,380.0,3235.0,1722.0,22.09,2353.0,0.0,3.66,0.0,0.0,600.1,0.0,0.0,0.0,738.0,2987.36,0.0,0.0,997.0,0.0,70445.0,0.0,15269.0,40.0,0.0,0.0,0.0,0.0,2.0,10404.0,0.0,0.0,32.0,3.0,0.0,0.0,91.0,100.0,6.0,0.0,0.0,127.0,265.0,139.71,0.0,9.0,0.0,1245.37,567.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,27.0,50053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,177549791.74,81294880.42,0.0,41971749.65,19532514.73,20980943.34,0.0,3075213.75,714458.0,12245368.44,7294225.98,8291170.28,0.0,19992.0,0.0,1432831.0,91358.83,4709381.0,0.0,984176.39,412893.0,0.0,196514.0,1290.0,0.0,394922.19,112032.0,0.0,506743.0,0.0,444391.0,0.0,15415.0,8298.0,61442.81,991177.0,0.0,6890.05,983617.0,0.0,0.0,340228.01,5947.0,1238880.0,0.0,824208.0,0.0,59866.0,0.0,5485290.3,145786.05,0.0,22373.0,9439.0,235098.0,219.0,1004.0,4572.0,0.0,9061.0,0.0,205.0,7285410.82,476496.0,0.0,0.0,346334.9,13387.03,0.0,0.0,0.0,0.0,8888.0,4228.0,0.0,0.0,35411.0,0.0,0.0,0.0,1238.21,17382.0,7539.0,0.0,0.0,31164.23,0.0,380729.67,5450.0,0.0,3957.0,18032.0,20920.17,64962.74,6102.95,0.0,7505.3,0.0,4757.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,19134.23,0.0,13754.0,0.0,47462.69,8329.26,72893.0,83.0,337.0,36341.43,12783.47,0.0,0.0,0.0,0.0,8202.0,89844.31,19.0,0.0,30.0,857.0,6.01,200.0,0.0,0.0,15938.49,0.0,238.0,0.0,85.0,48450.0,729.0,6829.0,0.0,84355.0,0.0,0.0,83.0,1877.0,1020.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,1111.0,340.0,2960.0,2135.0,13.37,279.0,0.0,0.85,0.0,0.0,273.86,2573.0,0.0,0.0,722.0,1188.18,0.0,0.0,375.0,0.0,60395.0,0.0,3822.0,26.0,0.0,0.0,136.8,0.0,0.0,3167.67,0.0,0.0,26.0,5.0,0.0,0.0,63.0,79.0,2.0,0.0,0.0,219.0,56.0,201.98,0.0,5.0,0.0,3513.91,2088.0,5.0,0.0,0.0,0.0,6.0,0.0,797.0,1152.0,43930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,262807948.57999998,81468287.17999999,0.0,70197261.23,18277266.43,29289428.98,0.0,3528668.6999999997,941657.23,14579361.370000001,5707076.83,9763978.15,0.0,80272.0,0.0,3223745.0,125698.19,5981029.0,0.0,1137891.5,714323.0,0.0,152703.0,1333.0,0.0,489996.16,143968.0,0.0,856195.0,0.0,548580.0,0.0,15958.0,4288.0,124239.4,1158536.0,0.0,170899.42,1212688.0,0.0,0.0,363406.0,2039.0,1052716.0,0.0,174522.0,8965.46,69985.0,0.0,6905969.05,160935.5,0.0,20203.0,19140.0,257757.0,116.0,3302.6,5991.0,0.0,16052.0,0.0,301.0,6919224.75,695567.0,0.0,0.0,395125.44,14185.24,0.0,0.0,0.0,11791.0,19197.0,1133.0,0.0,0.0,52613.0,0.0,207.01999999999998,0.0,4414.83,13770.0,10500.0,0.0,0.0,71783.75,0.0,354292.38,10520.0,0.0,7440.0,68903.0,19229.09,117764.35,56925.65,0.0,11485.15,0.0,3807.0,2380.0,0.0,0.0,14630.0,0.0,0.0,0.0,10062.46,0.0,21572.0,0.0,176654.0,5597.93,88324.0,8.0,454.0,71973.0,12347.54,2898.0,0.0,0.0,0.0,7784.0,79656.81,43.0,0.0,31.0,956.0,117.2,15.0,0.0,0.0,20860.03,0.0,128.0,0.0,996.0,8750.0,681.0,10929.0,0.0,142398.0,0.0,0.0,1.0,1057.0,1107.0,0.0,0.0,0.0,0.5,0.0,29.0,0.0,1307.0,362.0,1745.0,2246.0,19.79,70.0,0.0,0.86,0.0,0.0,283.40999999999997,8255.0,0.0,0.0,1394.0,576.15,0.0,0.0,4.0,0.0,71179.0,0.0,11105.0,8.0,0.0,0.0,123.11,0.0,0.0,2902.39,0.0,0.0,27.0,5.0,0.0,114.0,55.0,97.0,8.0,0.0,0.0,1136.0,36.0,89.72,64.0,0.0,0.0,8746.6,2872.0,1.0,0.0,0.0,0.0,28.0,0.0,1240.0,845.0,55648.0,0.0,0.0,38376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,167329817.59,82657867.59,0.0,60922384.59,21061674.1,26590598.55,0.0,3355078.5300000003,1393857.69,27954637.0,7245376.26,10356011.31,0.0,172884.0,0.0,3871062.0,150277.23,4007171.0,0.0,958745.77,511024.0,0.0,172506.0,1290.0,0.0,378399.58,91551.0,0.0,1499473.0,0.0,720869.0,135.51,5270.0,4023.0,138785.98,990798.0,0.0,104392.73,1054792.0,0.0,0.0,317447.0,819.0,835938.0,0.0,290457.0,811.6899999999999,50545.0,0.0,2977007.71,142383.48,0.0,10103.0,17013.0,248587.0,107.0,4052.33,3829.0,0.0,13263.2,0.0,318.0,2488547.59,646152.0,0.0,0.0,218507.0,19434.56,0.0,0.0,0.0,9944.1,31522.0,3351.0,0.0,0.0,42731.0,0.0,22145.19,0.0,5209.05,9480.0,11461.0,0.0,0.0,110623.24,0.0,234002.25,2885.0,0.0,3393.0,70131.0,48316.159999999996,61626.0,9519.31,48655.0,11417.83,0.0,2817.0,3350.0,0.0,0.0,163728.52000000002,0.0,0.0,0.0,3594.11,0.0,8668.0,0.0,397513.65,1512.49,80891.0,12.0,277.0,62677.21,6572.95,2918.72,0.0,0.0,0.0,7674.0,22267.329999999998,211.0,0.0,30.0,787.0,89.0,41.0,0.0,0.0,21377.2,0.0,76.0,0.0,5445.0,7148.0,576.0,7157.0,0.0,126544.0,0.0,0.0,19849.0,857.0,597.0,0.0,0.0,0.0,74.67,0.0,31.0,0.0,844.0,290.0,10890.0,1676.0,8.41,176.23,0.0,0.53,0.0,0.0,87.99,7243.0,2.14,0.0,298.0,435.03000000000003,0.0,0.0,1.0,0.0,50991.0,0.0,13673.0,2.0,0.0,0.0,68.25,0.0,0.0,3036.78,0.0,0.0,4.0,7.37,0.0,37.0,41.0,25.0,0.0,0.0,0.0,562.0,9.0,102.56,515.0,0.0,0.0,5505.9,1131.0,1.0,0.0,0.0,0.0,66.0,0.0,1074.0,627.0,28879.0,641.0,0.0,293700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01,208250308.04,102122850.17,0.0,93343296.3,16938440.72,29378752.31,0.0,3614534.85,1127533.09,24365236.0,6086986.3,10953502.07,0.0,169604.0,0.0,7886001.0,140251.9,6182075.0,0.0,1084594.09,463133.0,0.0,182735.0,1333.0,0.0,624413.0599999999,114551.0,0.0,1465748.0,0.0,821576.0,6353.64,6465.0,6116.0,191458.47,1486525.0,0.0,225960.77,1778239.0,0.0,0.0,516330.13,1395.0,1448288.0,0.0,374573.0,1684.86,120335.0,0.0,2814889.4699999997,120702.39,0.0,10019.0,35583.0,249229.0,228.0,4657.92,5547.0,0.0,12084.68,0.0,341.0,3810858.56,585867.0,0.0,0.0,462386.97000000003,24730.6,0.0,0.0,0.0,10954.99,31910.0,4527.0,224616.29,0.0,93048.0,0.0,37179.22,0.0,5576.75,18087.0,12966.0,0.0,0.0,192228.83,0.0,257622.63,4391.0,0.0,6685.0,62364.0,23617.920000000002,63298.159999999996,9712.53,50560.0,16282.73,0.0,3140.0,3071.11,2.0,0.0,141756.37,0.0,0.0,0.0,3777.7999999999997,0.0,14670.0,0.0,157569.79,3618.5,113134.0,42.0,387.0,148477.7,7810.74,29359.98,0.0,0.0,0.0,6520.0,2843.52,437.0,0.0,31.0,806.0,140.39,49.0,0.0,0.0,157761.65,0.0,139.0,0.0,26022.17,9422.0,589.0,32047.0,0.0,90715.0,1.0,0.0,1.0,1338.0,5155.0,0.0,0.0,0.0,287.19,0.0,124.0,0.0,1217.0,279.0,2965.0,1742.0,15.94,148.0,0.0,1.01,0.0,4767.0,245.16,15483.0,4.45,0.0,729.0,438.48,0.0,1.0,0.0,0.0,62474.0,0.0,1402.0,20.0,0.0,0.0,46.32,0.0,0.0,938.8299999999999,0.0,0.0,0.0,5.98,2529.0,35.0,31.0,0.0,0.0,0.0,0.0,402.0,126.0,167.19,327.0,0.0,0.0,10730.51,2051.0,4.0,1.0,0.0,0.0,42.0,0.0,2703.0,438.0,31223.0,1872.0,0.0,600765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,210119298.67,139636792.71,0.0,120060901.93,13699078.37,40492454.05,0.0,4494556.72,1085858.0,27070258.0,7656896.8,11247035.89,0.0,255934.0,0.0,16565810.0,145301.14,5596677.0,0.0,1384309.01,245401.0,0.0,256679.0,4708.0,0.0,849651.2,153798.0,0.0,1026882.11,0.0,947994.6,3081.0,8142.71,48512.0,251056.99,1162571.0,51560.0,243941.04,1823172.0,0.0,0.0,850790.4,6991.0,1762286.0,0.0,215445.0,7520.0,107583.0,0.0,2612566.44,117263.71,0.0,9991.0,50430.75,270302.0,11.0,9684.66,5127.0,0.0,12636.34,0.0,341.0,4773226.27,593057.0,0.0,0.0,2943533.54,15562.93,0.0,0.0,0.0,8487.0,70440.0,3459.0,260371.66999999998,0.0,116025.0,0.0,101423.35,0.0,11746.35,16377.0,5432.0,0.0,0.0,238964.52,0.0,250379.2,5141.0,0.0,4013.0,59938.0,17694.65,59104.53,8593.95,48988.0,12635.26,0.0,4310.5,2844.98,3952.0,0.0,1109309.69,0.0,0.0,0.0,3035.22,0.0,25156.0,0.0,47299.39,4703.3,117884.0,60.17,494.0,119115.83,7752.99,14893.220000000001,0.0,0.0,0.0,3216.0,3428.76,348.0,0.0,31.0,806.0,16877.19,85.75,0.0,0.0,142932.2,0.0,264.0,0.0,66020.0,15088.0,589.0,4701.0,0.0,57887.0,0.0,0.0,1538.0,876.0,243.0,0.0,0.0,0.0,414.78,0.25,115.24,0.0,930.36,279.0,1100.0,1105.47,15.540000000000001,119.0,0.0,0.54,291.0,21353.0,126.92999999999999,10716.0,0.91,0.0,517.0,468.40999999999997,0.0,1.0,0.0,0.0,76987.0,0.0,1234.0,0.0,0.0,0.0,47.79,0.0,0.0,1826.45,1.72,0.0,0.0,6.41,1221.0,83.0,31.0,0.0,0.0,0.0,0.0,136.37,32.0,147.72,12.0,0.0,0.0,10770.380000000001,1677.0,0.0,0.0,4374.9400000000005,0.0,17.0,0.0,1209.0,356.0,43047.0,2858.0,0.0,592452.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
