project,eth_staked,share_pct
Lido,8662944,22.1
Coinbase,4412587,11.2
Bitmine,3352885,8.5
Binance,3299563,8.4
Ether.fi,1753707,4.5
Unidentified,1544351,3.9
Figment,1409514,3.6
Grayscale,1284266,3.3
Kraken,1159972,3.0
Everstake,704960,1.8
Abyss Finance,567281,1.4
Upbit,557760,1.4
Bitcoin Suisse,537952,1.4
Solo Stakers,502783,1.3
Rocketpool,463001,1.2
OKX,451127,1.1
StakeFish,358998,0.9
P2P,352525,0.9
Bitnumb,335488,0.9
Liquid Collective,320320,0.8
Bitstamp,290554,0.7
Kiln,274166,0.7
Coinbase Institutional,270107,0.7
