date,staked_eth_millions
2020-12,0.67
2021-01,2.4
2021-02,3.3
2021-03,3.9
2021-04,4.3
2021-05,4.9
2021-06,5.5
2021-07,6.3
2021-08,6.9
2021-09,7.6
2021-10,8.0
2021-11,8.4
2021-12,8.7
2022-01,9.2
2022-02,9.8
2022-03,10.5
2022-04,11.3
2022-05,12.1
2022-06,12.9
2022-07,13.2
2022-08,13.4
2022-09,13.7
2022-10,14.6
2022-11,15.3
2022-12,15.9
2023-01,16.4
2023-02,16.9
2023-03,17.5
2023-04,18.0
2023-05,19.6
2023-06,21.5
2023-07,23.2
2023-08,25.0
2023-09,26.5
2023-10,27.6
2023-11,28.3
2023-12,28.9
2024-01,29.6
2024-02,30.4
2024-03,31.4
2024-04,31.9
2024-05,32.2
2024-06,32.4
2024-07,33.0
2024-08,33.6
2024-09,34.0
2024-10,34.4
2024-11,34.8
2024-12,34.3
2025-01,34.0
2025-02,33.9
2025-03,33.8
2025-04,33.7
2025-05,34.0
2025-06,34.5
2025-07,35.0
2025-08,35.6
2025-09,36.1
2025-10,36.8
2025-11,37.4
2025-12,37.9
2026-01,38.3
2026-02,38.6
2026-03,38.9
2026-04,39.0
2026-05,39.15
2026-06,39.26
