date,active_traders
2025-07-01,369.0
2025-07-02,369.0
2025-07-03,369.0
2025-07-04,369.0
2025-07-05,384.0
2025-07-06,507.0
2025-07-07,599.0
2025-07-08,661.0
2025-07-09,738.0
2025-07-10,891.0
2025-07-11,953.0
2025-07-12,907.0
2025-07-13,922.0
2025-07-14,922.0
2025-07-15,922.0
2025-07-16,968.0
2025-07-17,1091.0
2025-07-18,1168.0
2025-07-19,1230.0
2025-07-20,1214.0
2025-07-21,1061.0
2025-07-22,911.0
2025-07-23,753.0
2025-07-24,738.0
2025-07-25,661.0
2025-07-26,707.0
2025-07-27,891.0
2025-07-28,1037.0
2025-07-29,1107.0
2025-07-30,1091.0
2025-07-31,1014.0
2025-08-01,907.0
2025-08-02,861.0
2025-08-03,876.0
2025-08-04,945.0
2025-08-05,968.0
2025-08-06,1014.0
2025-08-07,1091.0
2025-08-08,1107.0
2025-08-09,1091.0
2025-08-10,1141.0
2025-08-11,1230.0
2025-08-12,1199.0
2025-08-13,1107.0
2025-08-14,1030.0
2025-08-15,938.0
2025-08-16,1037.0
2025-08-17,1168.0
2025-08-18,1245.0
2025-08-19,1245.0
2025-08-20,1322.0
2025-08-21,1368.0
2025-08-22,1260.0
2025-08-23,1199.0
2025-08-24,1230.0
2025-08-25,1245.0
2025-08-26,1245.0
2025-08-27,1245.0
2025-08-28,1322.0
2025-08-29,1303.0
2025-08-30,1214.0
2025-08-31,1137.0
2025-09-01,1214.0
2025-09-02,1291.0
2025-09-03,1291.0
2025-09-04,1222.0
2025-09-05,1107.0
2025-09-06,1076.0
2025-09-07,1153.0
2025-09-08,1260.0
2025-09-09,1322.0
2025-09-10,1337.0
2025-09-11,1233.0
2025-09-12,1199.0
2025-09-13,1245.0
2025-09-14,1245.0
2025-09-15,1183.0
2025-09-16,1061.0
2025-09-17,1072.0
2025-09-18,1091.0
2025-09-19,953.0
2025-09-20,815.0
2025-09-21,799.0
2025-09-22,907.0
2025-09-23,945.0
2025-09-24,1045.0
2025-09-25,1045.0
2025-09-26,922.0
2025-09-27,876.0
2025-09-28,968.0
2025-09-29,1076.0
2025-09-30,1245.0
2025-10-01,1322.0
2025-10-02,1291.0
2025-10-03,1291.0
2025-10-04,1245.0
2025-10-05,1368.0
2025-10-06,1326.0
2025-10-07,1107.0
2025-10-08,1061.0
2025-10-09,1091.0
2025-10-10,999.0
2025-10-11,922.0
2025-10-12,999.0
2025-10-13,1107.0
2025-10-14,1153.0
2025-10-15,1107.0
2025-10-16,1107.0
2025-10-17,1137.0
2025-10-18,1199.0
2025-10-19,1210.0
2025-10-20,1306.0
2025-10-21,1383.0
2025-10-22,1383.0
2025-10-23,1414.0
2025-10-24,1537.0
2025-10-25,1775.0
2025-10-26,2029.0
2025-10-27,2213.0
2025-10-28,2290.0
2025-10-29,2213.0
2025-10-30,2106.0
2025-10-31,2029.0
2025-11-01,1960.0
2025-11-02,1890.0
2025-11-03,1814.0
2025-11-04,1798.0
2025-11-05,1906.0
2025-11-06,2013.0
2025-11-07,1994.0
2025-11-08,2044.0
2025-11-09,2229.0
2025-11-10,2382.0
2025-11-11,2428.0
2025-11-12,2290.0
2025-11-13,2029.0
2025-11-14,1737.0
2025-11-15,1614.0
2025-11-16,1583.0
2025-11-17,1691.0
2025-11-18,1768.0
