date,active_traders,total_trades
2026-03-01,4894,45293
2026-03-02,6061,51579
2026-03-03,5769,50593
2026-03-04,6291,56426
2026-03-05,6847,63260
2026-03-06,7371,67644
2026-03-07,6126,56205
2026-03-08,5407,51958
2026-03-09,5867,50264
2026-03-10,6350,57188
2026-03-11,6629,59087
2026-03-12,6290,58793
2026-03-13,6089,58149
2026-03-14,5289,52882
2026-03-15,5070,45256
2026-03-16,5558,50714
2026-03-17,5470,44657
2026-03-18,5022,39595
2026-03-19,5051,42563
2026-03-20,4752,42683
2026-03-21,4297,39318
2026-03-22,4033,35698
2026-03-23,4800,45059
2026-03-24,4632,47047
2026-03-25,5464,60833
2026-03-26,4768,51431
2026-03-27,4525,54704
2026-03-28,3904,38339
2026-03-29,3832,37938
2026-03-30,4469,50588
2026-03-31,4342,53352
2026-04-01,4647,48675
2026-04-02,4373,43978
2026-04-03,4203,41384
2026-04-04,3965,43384
2026-04-05,3999,41185
2026-04-06,4345,44077
2026-04-07,4198,40442
2026-04-08,4377,37732
2026-04-09,4086,37167
2026-04-10,4472,43430
2026-04-11,3962,36326
2026-04-12,3695,32585
2026-04-13,5018,44512
2026-04-14,4971,44315
2026-04-15,5072,45671
2026-04-16,6059,59957
2026-04-17,6661,72739
2026-04-18,5454,50878
2026-04-19,4436,36054
2026-04-20,4965,42407
2026-04-21,5196,49324
2026-04-22,5801,49772
2026-04-23,5171,50800
2026-04-24,4988,46556
2026-04-25,4692,44963
2026-04-26,4958,49009
2026-04-27,5987,63489
2026-04-28,6141,72261
2026-04-29,5777,74138
2026-04-30,5429,66867
2026-05-01,5072,58010
2026-05-02,4998,51405
2026-05-03,4519,40889
2026-05-04,5146,49692
2026-05-05,5426,53353
2026-05-06,6047,56553
2026-05-07,6797,70982
2026-05-08,7304,87153
2026-05-09,6395,67557
2026-05-10,6396,58643
2026-05-11,8015,79301
2026-05-12,8766,96232
2026-05-13,8582,86123
2026-05-14,8220,79204
2026-05-15,7210,73548
2026-05-16,6774,74683
2026-05-17,6466,56345
2026-05-18,7204,61778
2026-05-19,7443,63813
2026-05-20,7667,68882
2026-05-21,7545,58465
2026-05-22,9028,106108
2026-05-23,7899,78284
2026-05-24,8341,100758
2026-05-25,8592,99922
2026-05-26,8613,102672
2026-05-27,8011,88579
2026-05-28,7508,80966
2026-05-29,7415,77891
2026-05-30,6775,66163
2026-05-31,7456,74518
2026-06-01,8397,97944
2026-06-02,7932,82653
2026-06-03,7835,81370
2026-06-04,8289,93529
2026-06-05,7228,72504
2026-06-06,6094,54674
2026-06-07,6186,53119
2026-06-08,7146,65427
2026-06-09,7972,89763
2026-06-10,7504,79306
2026-06-11,7457,67333
2026-06-12,7866,72918
2026-06-13,6330,57323
2026-06-14,6148,56326
2026-06-15,7029,67722
2026-06-16,7606,72219
2026-06-17,7264,68321
2026-06-18,8236,80263
2026-06-19,7301,66334
2026-06-20,6552,58516
2026-06-21,6377,54342
2026-06-22,7298,61877
2026-06-23,7481,66419
2026-06-24,7135,62982
2026-06-25,7074,62685
2026-06-26,6685,61629
2026-06-27,6303,57192
2026-06-28,9118,113404
2026-06-29,9377,85507
2026-06-30,11773,122725
2026-07-01,10338,94527
2026-07-02,11528,109871
2026-07-03,12127,108952
2026-07-04,13988,140939
2026-07-05,14151,157715
2026-07-06,18251,198517
2026-07-07,17581,185782
2026-07-08,15929,145028
2026-07-09,16559,156983
2026-07-10,19456,240777
2026-07-11,20057,257279
2026-07-12,19647,220332
2026-07-13,21394,223926
2026-07-14,24443,301648
2026-07-15,23738,302046
2026-07-16,22958,248931
2026-07-17,24920,299666
2026-07-18,21148,233275
2026-07-19,20036,199904
2026-07-20,23709,266219
2026-07-21,27046,336352
2026-07-22,28392,339069
2026-07-23,34983,491074
2026-07-24,33727,460409
2026-07-25,30705,399866
2026-07-26,32613,486463
2026-07-27,35210,496093
2026-07-28,33165,471594
2026-07-29,34873,462755
2026-07-30,38880,532727
2026-07-31,40416,545117
2026-08-01,39418,481032
2026-08-02,44498,522730
2026-08-03,57587,610991
2026-08-04,56860,721551
2026-08-05,56028,743100
2026-08-06,57776,653957
2026-08-07,57677,662456
2026-08-08,54230,702604
2026-08-09,54079,758983
2026-08-10,58099,694671
2026-08-11,61935,778356
2026-08-12,61038,823925
2026-08-13,61801,782873
2026-08-14,58434,736640
2026-08-15,54551,663151
2026-08-16,58546,834375
2026-08-17,73394,1045400
2026-08-18,72327,1008280
2026-08-19,73049,1031802
2026-08-20,77218,968618
2026-08-21,96193,1078756
2026-08-22,95452,1196653
2026-08-23,99053,1439046
2026-08-24,102197,1537546
2026-08-25,107930,1765995
2026-08-26,99287,1882182
2026-08-27,91063,1521913
2026-08-28,99756,1430113
2026-08-29,93202,1356835
2026-08-30,103972,1407905
2026-08-31,104870,1389348
2026-09-01,110250,1418122
2026-09-02,106079,1294385
2026-09-03,111979,1316128
2026-09-04,127939,1675967
2026-09-05,123973,1693416
2026-09-06,129308,1884848
