date,visa,mastercard
2024-01,15392727.211585704,2087155.3310527492
2024-02,21142473.798202273,2156690.614732022
2024-03,33646502.923865736,3161073.340093576
2024-04,32639916.49320985,3376000.0847093235
2024-05,49988872.19672361,4328902.187665124
2024-06,56244657.98714968,3779006.3065540795
2024-07,77960981.90993395,4800448.542332015
2024-08,88816965.93516193,5551956.731539699
2024-09,99498766.06930906,4184902.35889596
2024-10,115356045.40552881,5821152.789066186
2024-11,146748744.84720716,6708823.46466736
2024-12,176473717.96587187,8348229.20573822
2025-01,180875434.54456925,8123838.163680723
2025-02,177101079.59118715,6997346.685481691
2025-03,198321593.85028192,7959169.336745408
2025-04,235624993.79539323,8212250.839573365
2025-05,311766410.33803934,9729669.887041911
2025-06,328904023.5370436,9731217.540970994
2025-07,394741268.10611326,13585498.459605064
2025-08,573830094.6755829,14478342.801384605
2025-09,450248416.6335697,16349297.999366656
2025-10,497890591.8777294,16379998.078434814
2025-11,536269525.8704346,19194502.993296172
2025-12,568342025.9733607,24364100.845449075
2026-01,682351564.9625149,24002623.990662474
2026-02,628902817.3293461,22028001.44345694
2026-03,735258564.3960447,25532232.715368602
2026-04,746448480.9032058,23649064.27420345
2026-05,856928264.7984749,22135307.45648326
2026-06,923922085.1653692,19057719.22873731
2026-07,1073219401.0886049,10523041.719273634
