date,Collector_Crypt,Phygitals,Courtyard,Emporium
2023-11-05,0.0,0.0,0.05940480537596554,0.0
2023-11-12,0.0,0.0,0.1341267446237943,0.0
2023-11-19,0.0,0.0,0.03996743443528341,0.0
2023-11-26,0.0,0.0,0.11134674308698245,0.0
2023-12-03,0.0,0.0,0.09893099858142931,0.0
2023-12-10,0.0,0.0,0.09896151627946316,0.0
2023-12-17,0.0,0.0,0.14923672186017048,0.0
2023-12-24,0.0,0.0,0.24985074231670723,0.0
2023-12-31,0.0,0.0,0.17449975139363305,0.0
2024-01-07,0.0,0.0,0.25193231953454825,0.0
2024-01-14,0.0,0.0,0.16034774817607458,0.0
2024-01-21,0.0,0.0,0.17298260963257348,0.0
2024-01-28,0.0,0.0,0.2868660953979193,0.0
2024-02-04,0.0,0.0,0.212482784863452,0.0
2024-02-11,0.0,0.0,0.22000564946942763,0.0
2024-02-18,0.0,0.0,0.2802200433829756,0.0
2024-02-25,0.0,0.0,0.28197282974462246,0.0
2024-03-03,0.0,0.0,0.3107416437678683,0.0
2024-03-10,0.0,0.0,0.2865432047965743,0.0
2024-03-17,0.0,0.0,0.4162133636309041,0.0
2024-03-24,0.0,0.0,0.3331797835460812,0.0
2024-03-31,0.0,0.0,0.457601191148869,0.0
2024-04-07,0.0,0.0,0.33982384582612735,0.0
2024-04-14,0.0,0.0,0.3595758237125651,0.0
2024-04-21,0.0,0.0,0.4337035717814951,0.0
2024-04-28,0.0,0.0,0.48145454809620114,0.0
2024-05-05,0.0,0.0,0.45710114011877023,0.0
2024-05-12,0.0,0.0,0.43699658267451347,0.0
2024-05-19,0.0,0.0,0.5479135699265697,0.0
2024-05-26,0.0,0.0,0.4880239208524712,0.0
2024-06-02,0.0,0.0,1.0,0.0
2024-06-09,0.0,0.0,1.4,0.0
2024-06-16,0.0,0.0,1.8,0.0
2024-06-23,0.0,0.0,2.2,0.0
2024-06-30,0.0,0.0,2.8,0.0
2024-07-07,0.0,0.0,3.5,0.0
2024-07-14,0.0,0.0,4.0,0.0
2024-07-21,0.0,0.0,4.2,0.0
2024-07-28,0.0,0.0,3.8,0.0
2024-08-04,0.0,0.0,4.5,0.0
2024-08-11,0.0,0.0,5.0,0.0
2024-08-18,0.0,0.0,5.5,0.0
2024-08-25,0.0,0.0,5.0,0.0
2024-09-01,0.0,0.0,5.5,0.0
2024-09-08,0.0,0.0,6.0,0.0
2024-09-15,0.0,0.0,6.5,0.0
2024-09-22,0.0,0.0,7.0,0.0
2024-09-29,0.0,0.0,7.5,0.0
2024-10-06,0.0,0.0,8.0,0.0
2024-10-13,0.2,0.0,7.5,0.0
2024-10-20,0.5,0.0,8.0,0.0
2024-10-27,0.8,0.0,9.0,0.0
2024-11-03,1.0,0.0,9.5,0.0
2024-11-10,0.8,0.0,8.5,0.0
2024-11-17,1.0,0.0,9.0,0.0
2024-11-24,0.8,0.0,8.5,0.0
2024-12-01,0.5,0.0,8.0,0.0
2024-12-08,1.2,0.0,9.5,0.0
2024-12-15,1.0,0.0,9.0,0.0
2024-12-22,0.5,0.0,8.5,0.0
2024-12-29,0.8,0.0,8.0,0.0
