date,gvz
2022-01-01,15.04
2022-01-08,14.73
2022-01-15,15.2
2022-01-22,17.12
2022-01-29,15.53
2022-02-05,17.81
2022-02-12,18.54
2022-02-19,18.4
2022-02-26,26.29
2022-03-05,24.73
2022-03-12,22.0
2022-03-19,24.68
2022-03-26,19.08
2022-04-02,18.37
2022-04-09,17.71
2022-04-16,18.97
2022-04-23,19.83
2022-04-30,18.71
2022-05-07,21.2
2022-05-14,19.31
2022-05-21,17.5
2022-05-28,16.51
2022-06-04,17.58
2022-06-11,20.28
2022-06-18,17.92
2022-06-25,20.17
2022-07-02,19.41
2022-07-09,19.27
2022-07-16,18.3
2022-07-23,16.49
2022-07-30,16.37
2022-08-06,15.22
2022-08-13,15.91
2022-08-20,15.42
2022-08-27,16.88
2022-09-03,15.91
2022-09-10,18.31
2022-09-17,19.42
2022-09-24,19.52
2022-10-01,19.66
2022-10-08,20.07
2022-10-15,19.05
2022-10-22,18.01
2022-10-29,18.03
2022-11-05,17.57
2022-11-12,16.51
2022-11-19,15.23
2022-11-26,15.42
2022-12-03,16.26
2022-12-10,14.14
2022-12-17,14.86
2022-12-24,16.25
2022-12-31,16.44
2023-01-07,16.37
2023-01-14,16.4
2023-01-21,15.23
2023-01-28,15.06
2023-02-04,15.46
2023-02-11,14.69
2023-02-18,14.56
2023-02-25,13.93
2023-03-04,16.57
2023-03-11,22.83
2023-03-18,19.96
2023-03-25,17.31
2023-04-01,18.44
2023-04-08,17.16
2023-04-15,16.42
2023-04-22,16.47
2023-04-29,18.5
2023-05-06,17.37
2023-05-13,17.22
2023-05-20,16.3
2023-05-27,14.32
2023-06-03,13.69
2023-06-10,12.4
2023-06-17,12.73
2023-06-24,12.04
2023-07-01,12.12
2023-07-08,12.05
2023-07-15,12.23
2023-07-22,11.78
2023-07-29,12.22
2023-08-05,11.54
2023-08-12,12.63
2023-08-19,12.09
2023-08-26,11.28
2023-09-02,10.99
2023-09-09,10.34
2023-09-16,10.87
2023-09-23,12.94
2023-09-30,14.03
2023-10-07,18.91
2023-10-14,18.56
2023-10-21,17.69
2023-10-28,14.04
2023-11-04,13.96
2023-11-11,12.97
2023-11-18,13.05
2023-11-25,16.96
2023-12-02,14.14
2023-12-09,13.49
2023-12-16,15.25
2023-12-23,15.85
2023-12-30,13.81
2024-01-06,13.49
2024-01-13,12.95
2024-01-20,11.91
2024-01-27,12.66
2024-02-03,11.2
2024-02-10,11.75
2024-02-17,11.5
2024-02-24,13.47
2024-03-02,15.47
2024-03-09,13.54
2024-03-16,12.53
2024-03-23,15.44
2024-03-30,16.92
2024-04-06,20.21
2024-04-13,18.51
2024-04-20,16.92
2024-04-27,15.83
2024-05-04,16.2
2024-05-11,17.4
2024-05-18,15.26
2024-05-25,15.26
2024-06-01,17.13
2024-06-08,16.07
2024-06-15,15.86
2024-06-22,14.72
2024-06-29,15.62
2024-07-06,15.12
2024-07-13,16.34
2024-07-20,15.2
2024-07-27,18.7
2024-08-03,17.8
2024-08-10,20.09
2024-08-17,17.49
2024-08-24,16.4
2024-08-31,16.49
2024-09-07,16.88
2024-09-14,17.08
2024-09-21,18.59
2024-09-28,17.48
2024-10-05,17.27
2024-10-12,17.77
2024-10-19,18.88
2024-10-26,19.29
2024-11-02,15.91
2024-11-09,17.17
2024-11-16,17.54
2024-11-23,16.37
2024-11-30,15.04
2024-12-07,15.63
2024-12-14,15.73
2024-12-21,14.67
2024-12-28,14.49
2025-01-04,15.77
2025-01-11,14.98
2025-01-18,14.85
2025-01-25,15.82
2025-02-01,16.23
2025-02-08,17.23
2025-02-15,16.55
2025-02-22,15.82
2025-03-01,16.19
2025-03-08,17.13
2025-03-15,15.98
2025-03-22,16.45
2025-03-29,22.03
2025-04-05,28.44
2025-04-12,24.14
2025-04-19,23.36
2025-04-26,21.35
2025-05-03,21.86
2025-05-10,21.47
2025-05-17,22.28
2025-05-24,19.1
2025-05-31,19.16
2025-06-07,21.16
2025-06-14,19.27
2025-06-21,16.49
2025-06-28,16.19
2025-07-05,16.94
2025-07-12,16.73
2025-07-19,17.05
2025-07-26,17.3
2025-08-02,16.36
2025-08-09,15.22
2025-08-16,15.15
2025-08-23,17.39
2025-08-30,18.3
2025-09-06,16.38
2025-09-13,16.76
2025-09-20,18.59
2025-09-27,17.66
2025-10-04,23.78
2025-10-11,31.2
2025-10-18,24.75
2025-10-25,22.66
2025-11-01,20.36
2025-11-08,24.13
2025-11-15,21.93
2025-11-22,22.87
2025-11-29,19.92
2025-12-06,21.46
2025-12-13,20.72
2025-12-20,25.78
2025-12-27,23.8
2026-01-03,23.43
2026-01-10,22.23
2026-01-17,30.01
2026-01-24,44.08
2026-01-31,33.96
2026-02-07,30.84
2026-02-14,36.44
2026-02-21,33.23
2026-02-28,34.26
2026-03-07,32.31
2026-03-14,35.25
2026-03-21,45.51
2026-03-28,37.85
2026-04-04,30.46
2026-04-11,28.95
2026-04-18,25.88
2026-04-25,26.43
2026-05-02,26.48
2026-05-09,26.34
2026-05-16,23.86
2026-05-23,24.91
2026-05-30,28.89
2026-06-06,26.85
2026-06-13,27.9
2026-06-20,27.18
2026-06-27,27.12
2026-07-01,27.12
