date,hip3_volume_usd
2026-01-01,60778118.05
2026-01-02,323287961.3
2026-01-03,80212273.14
2026-01-04,75983011.56
2026-01-05,333068166.09
2026-01-06,330747897.98
2026-01-07,331014286.33
2026-01-08,418794011.24
2026-01-09,313719816.65
2026-01-10,78237759.6
2026-01-11,173490401.83
2026-01-12,447474580.34
2026-01-13,585084110.5
2026-01-14,707649932.42
2026-01-15,726678153.5
2026-01-16,545176308.6
2026-01-17,171856849.44
2026-01-18,185163938.37
2026-01-19,427543429.58
2026-01-20,757729816.96
2026-01-21,985370653.79
2026-01-22,925619693.63
2026-01-23,888609730.23
2026-01-24,197286278.52
2026-01-25,446092907.38
2026-01-26,1686863481.68
2026-01-27,1828854780.25
2026-01-28,2262682534.48
2026-01-29,3364254365.83
2026-01-30,4520428239.24
2026-01-31,450003911.16
2026-02-01,569480956.95
2026-02-02,3593833590.08
2026-02-03,2748071268.03
2026-02-04,2667465677.16
2026-02-05,4727733922.56
2026-02-06,3266628932.63
2026-02-07,154312368.08
2026-02-08,270294077.9
2026-02-09,1372687590.99
2026-02-10,1116988515.98
2026-02-11,1377412802.13
2026-02-12,1767525189.7
2026-02-13,1465529346.68
2026-02-14,111238672.88
2026-02-15,260731476.06
2026-02-16,440951308.4
2026-02-17,1342761022.37
2026-02-18,873862175.3
2026-02-19,1020061362.68
2026-02-20,1629937230.83
2026-02-21,212285687.48
2026-02-22,341003592.27
2026-02-23,1336242572.83
2026-02-24,1549317661.34
2026-02-25,1919255230.99
2026-02-26,1707155371.28
2026-02-27,1501505113.09
2026-02-28,805024904.93
2026-03-01,674452695.34
2026-03-02,2606333643.92
2026-03-03,3912333375.29
2026-03-04,2647520702.99
2026-03-05,2308451039.45
2026-03-06,2371452929.39
2026-03-07,445650147.31
2026-03-08,894696600.52
2026-03-09,3937172470.51
2026-03-10,2705844394.21
2026-03-11,2365682406.57
2026-03-12,2742519960.86
2026-03-13,2094812812.14
2026-03-14,636756484.08
2026-03-15,954010027.72
2026-03-16,2056104859.69
2026-03-17,1419904414.52
2026-03-18,2463660158.34
2026-03-19,3903139843.8
2026-03-20,2305290516.9
2026-03-21,388364488.65
2026-03-22,928696122.96
2026-03-23,5952174601.61
2026-03-24,3490093733.2
2026-03-25,2546921542.66
2026-03-26,2405527777.33
2026-03-27,2352416111.64
2026-03-28,388228796.48
2026-03-29,644473397.56
2026-03-30,2305382944.46
2026-03-31,3656500008.2
2026-04-01,3207219871.07
2026-04-02,4360710243.22
2026-04-03,475712234.56
2026-04-04,214182723.78
2026-04-05,762586029.7
2026-04-06,2705878606.67
2026-04-07,5279184927.86
2026-04-08,4730381684.42
2026-04-09,3289781470.97
2026-04-10,1988400287.97
2026-04-11,545109282.21
2026-04-12,2014946476.44
2026-04-13,2640919693.08
2026-04-14,2212803192.59
2026-04-15,2055223513.87
2026-04-16,1797940782.38
2026-04-17,2664060126.2
2026-04-18,705058366.01
2026-04-19,1114952126.22
2026-04-20,2133889898.78
2026-04-21,2553106005.16
2026-04-22,1842187801.4
2026-04-23,2724648797.26
2026-04-24,2243006698.38
2026-04-25,317406110.88
2026-04-26,600287148.64
2026-04-27,1716603710.17
2026-04-28,2417897202.61
2026-04-29,2989177927.0
2026-04-30,2849250367.47
2026-05-01,2327483641.69
2026-05-02,230532651.61
2026-05-03,692780107.52
2026-05-04,3333033237.06
2026-05-05,2355899565.83
2026-05-06,3578726284.64
2026-05-07,3676500791.92
2026-05-08,2430150873.26
2026-05-09,313669186.45
2026-05-10,841149802.12
2026-05-11,2569044215.65
2026-05-12,2470498541.35
2026-05-13,2379677440.1
2026-05-14,2767532822.79
2026-05-15,2905810457.03
2026-05-16,303529416.4
2026-05-17,482227636.48
2026-05-18,3481851144.2
2026-05-19,2819296321.48
2026-05-20,3058343631.32
2026-05-21,3185815561.31
2026-05-22,2230884681.81
2026-05-23,1229318911.9
2026-05-24,932442073.81
2026-05-25,1285003759.49
2026-05-26,2155497842.04
2026-05-27,2850104075.9
2026-05-28,2499152762.39
2026-05-29,2239956809.76
2026-05-30,326968032.01
2026-05-31,559756867.98
2026-06-01,2836199165.5
2026-06-02,2643143307.91
2026-06-03,2782167360.99
2026-06-04,256072896.3
