date,xyz,vntl,flx,hyna,abcd,cash,km,para,total
2025-10-13,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138
2025-10-20,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137
2025-10-27,0.0334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334
2025-11-03,0.0659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659
2025-11-10,0.0567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0567
2025-11-17,0.0557,0.0002,0.0007,0.0,0.0,0.0,0.0,0.0,0.0566
2025-11-24,0.0952,0.0006,0.0012,0.0,0.0,0.0,0.0,0.0,0.097
2025-12-01,0.1519,0.0021,0.0039,0.0,0.0,0.0,0.0,0.0,0.158
2025-12-08,0.178,0.0024,0.0044,0.0,0.0,0.0,0.0,0.0,0.1848
2025-12-15,0.1631,0.0031,0.005,0.0149,0.0,0.0,0.0,0.0,0.1861
2025-12-22,0.1763,0.003,0.0073,0.0195,0.0,0.0,0.0,0.0,0.2062
2025-12-29,0.2126,0.003,0.0128,0.0299,0.0,0.0,0.0,0.0,0.2583
2026-01-05,0.2271,0.003,0.0122,0.0398,0.0,0.0,0.0,0.0,0.2821
2026-01-12,0.2851,0.0036,0.0181,0.0474,0.0,0.0,0.0006,0.0,0.3548
2026-01-19,0.3627,0.0046,0.0239,0.0487,0.0,0.0,0.0059,0.0,0.4457
2026-01-26,0.5343,0.0037,0.02,0.0515,0.0,0.005,0.0078,0.0,0.6224
2026-02-02,0.7702,0.0046,0.0172,0.0589,0.0,0.0202,0.0175,0.0,0.8885
2026-02-09,0.5823,0.0066,0.0136,0.0449,0.0,0.0284,0.0179,0.0,0.6937
2026-02-16,0.6104,0.0066,0.01,0.0432,0.0,0.0312,0.0179,0.0,0.7193
2026-02-23,0.7013,0.0077,0.0119,0.0443,0.0,0.0444,0.0188,0.0,0.8285
2026-03-02,0.8609,0.0099,0.014,0.0444,0.0,0.053,0.0206,0.0,1.0029
2026-03-09,0.9052,0.0102,0.0155,0.0453,0.0,0.0608,0.0201,0.0,1.0571
2026-03-16,1.1835,0.0093,0.0164,0.053,0.0,0.0615,0.0205,0.0,1.3442
2026-03-23,1.3991,0.0096,0.0148,0.0528,0.0,0.0582,0.014,0.0,1.5487
2026-03-30,1.5965,0.0091,0.0124,0.0535,0.0,0.0658,0.0135,0.0,1.7507
2026-04-06,2.1289,0.0089,0.0148,0.0505,0.0,0.0714,0.0148,0.0002,2.2895
2026-04-13,1.8561,0.0113,0.0128,0.0548,0.0,0.0817,0.0191,0.0005,2.0363
2026-04-20,1.8442,0.0132,0.0117,0.0607,0.0,0.071,0.0162,0.0011,2.0181
2026-04-27,1.8587,0.015,0.0106,0.0557,0.0,0.068,0.0121,0.0008,2.021
2026-05-04,2.1243,0.016,0.0124,0.0543,0.0,0.0642,0.016,0.0011,2.2883
2026-05-11,2.2429,0.018,0.0086,0.0554,0.0,0.0568,0.0174,0.0017,2.4008
2026-05-18,2.385,0.0193,0.0072,0.0502,0.0,0.0485,0.0156,0.0016,2.5274
2026-05-25,2.4415,0.0206,0.0055,0.043,0.0,0.0476,0.0133,0.0013,2.5728
2026-06-01,2.7392,0.0198,0.0067,0.0311,0.0,0.0477,0.0149,0.0019,2.8613
2026-06-08,2.8089,0.0187,0.0057,0.025,0.0,0.0467,0.0131,0.0029,2.9209
2026-06-15,3.0603,0.0195,0.0049,0.0239,0.0,0.0412,0.0093,0.0019,3.161
