date,xyz,vntl,flx,hyna,abcd,cash,km,para,total
2025-10-13,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046
2025-10-20,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103
2025-10-27,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336
2025-11-03,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502
2025-11-10,0.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386
2025-11-17,0.538,0.002,0.013,0.0,0.0,0.0,0.0,0.0,0.553
2025-11-24,1.904,0.014,0.033,0.0,0.0,0.0,0.0,0.0,1.951
2025-12-01,1.784,0.015,0.06,0.0,0.0,0.0,0.0,0.0,1.859
2025-12-08,2.029,0.011,0.063,0.0,0.0,0.0,0.0,0.0,2.103
2025-12-15,2.03,0.007,0.036,0.11,0.0,0.0,0.0,0.0,2.183
2025-12-22,1.558,0.011,0.056,0.105,0.0,0.0,0.0,0.0,1.731
2025-12-29,0.984,0.008,0.081,0.084,0.0,0.0,0.0,0.0,1.157
2026-01-05,1.288,0.005,0.043,0.087,0.0,0.0,0.0,0.0,1.423
2026-01-12,1.84,0.01,0.081,0.129,0.0,0.0,0.023,0.0,2.082
2026-01-19,2.775,0.012,0.187,0.148,0.0,0.0,0.222,0.0,3.344
2026-01-26,5.095,0.011,0.198,0.204,0.0,0.251,0.153,0.0,5.912
2026-02-02,14.475,0.024,0.452,0.327,0.0,1.108,0.337,0.0,16.722
2026-02-09,13.213,0.064,0.288,0.373,0.0,1.116,0.304,0.0,15.358
2026-02-16,5.181,0.046,0.088,0.194,0.0,0.896,0.187,0.0,6.592
2026-02-23,5.141,0.052,0.105,0.162,0.0,1.084,0.189,0.0,6.733
2026-03-02,8.162,0.036,0.218,0.284,0.0,1.842,0.212,0.0,10.753
2026-03-09,13.29,0.031,0.488,0.257,0.0,2.313,0.268,0.0,16.648
2026-03-16,11.785,0.03,0.207,0.257,0.0,1.023,0.196,0.0,13.498
2026-03-23,15.262,0.023,0.237,0.222,0.0,1.423,0.215,0.0,17.38
2026-03-30,12.572,0.014,0.101,0.149,0.0,1.101,0.169,0.0,14.106
2026-04-06,14.054,0.008,0.1,0.127,0.0,0.845,0.129,0.003,15.266
2026-04-13,19.527,0.029,0.132,0.137,0.0,0.785,0.189,0.008,20.807
2026-04-20,11.884,0.022,0.051,0.13,0.0,0.491,0.133,0.011,12.721
2026-04-27,11.013,0.018,0.036,0.106,0.0,0.609,0.099,0.046,11.928
2026-05-04,13.752,0.021,0.066,0.058,0.0,0.727,0.156,0.002,14.782
2026-05-11,14.758,0.035,0.061,0.063,0.0,0.658,0.134,0.006,15.715
2026-05-18,13.795,0.028,0.047,0.079,0.0,0.756,0.147,0.006,14.858
2026-05-25,14.0,0.023,0.027,0.09,0.0,0.542,0.089,0.006,14.775
2026-06-01,12.867,0.024,0.031,0.059,0.0,0.339,0.114,0.016,13.449
2026-06-08,17.952,0.01,0.016,0.091,0.0,0.514,0.12,0.026,18.729
