date,hyperliquid_musd,outcome_musd,skew_musd
2026-08-01,0.7281,0.0,0.0
2026-08-02,0.7708,0.0,0.0
2026-08-03,0.626,0.0,0.0
2026-08-04,0.6792,0.0,0.0
2026-08-05,0.7812,0.0,0.0
2026-08-06,0.7367,0.0,0.0
2026-08-07,0.4093,0.0,0.0
2026-08-08,0.3894,0.0,0.0
2026-08-09,0.4103,0.0,0.0
2026-08-10,0.5723,0.0,0.0
2026-08-11,0.4302,0.0,0.0
2026-08-12,0.4176,0.0,0.0
2026-08-13,0.5015,0.0,0.0
2026-08-14,0.3486,0.0,0.0
2026-08-15,0.3381,0.0,0.0
2026-08-16,0.4671,0.0,0.0
2026-08-17,0.5379,0.0,0.0
2026-08-18,0.3826,0.0,0.0
2026-08-19,0.5197,0.0,0.0
2026-08-20,0.3866,0.0,0.0
2026-08-21,0.7747,0.0,0.0
2026-08-22,0.6165,0.0,0.0
2026-08-23,0.6249,0.0,0.0
2026-08-24,0.7086,0.0,0.0
2026-08-25,0.4845,0.0,0.0
2026-08-26,0.4461,0.0,0.0
2026-08-27,0.566,0.0,0.0
2026-08-28,0.6107,0.0,0.0
2026-08-29,0.4036,0.1805,0.0
2026-08-30,0.6268,0.9971,0.0018
2026-08-31,0.5782,1.3749,0.0202
