date,volume_usd,sports_usd
2026-05-02,1541985.4,0
2026-05-03,1871692.07,0
2026-05-04,2065821.62,0
2026-05-05,2075023.34,0
2026-05-06,1444807.58,0
2026-05-07,2011219.47,0
2026-05-08,2149253.31,0
2026-05-09,1393695.2,0
2026-05-10,3526702.08,0
2026-05-11,2798760.19,0
2026-05-12,2457805.77,0
2026-05-13,2602869.67,0
2026-05-14,2465150.92,0
2026-05-15,3084383.52,0
2026-05-16,1594474.55,0
2026-05-17,2410804.07,0
2026-05-18,3622542.48,0
2026-05-19,3149524.28,0
2026-05-20,3423133.87,0
2026-05-21,2422955.62,0
2026-05-22,2539676.91,0
2026-05-23,1108738.53,0
2026-05-24,1954141.61,0
2026-05-25,2395598.32,0
2026-05-26,2437836.51,38087.15
2026-05-27,2600006.18,50042.77
2026-05-28,2440523.43,56389.53
2026-05-29,3110136.91,102054.92
2026-05-30,2807030.8,1237025.27
2026-05-31,1090957.85,5707.15
2026-06-01,1944154.82,26129.22
2026-06-02,1802485.62,90180.27
2026-06-03,2148379.42,93314.59
2026-06-04,3542998.02,319622.94
2026-06-05,3799828.12,193283.84
2026-06-06,3092980.82,864201.41
2026-06-07,2265941.8,79671.6
2026-06-08,1569766.58,187731.09
2026-06-09,3383088.64,1795366.39
2026-06-10,2055573.78,489046.84
2026-06-11,3617939.68,2502863.34
2026-06-12,3311509.94,2032192.93
2026-06-13,3363385.77,2735938.44
2026-06-14,4745982.28,3771249.44
2026-06-15,3591766.29,2601284.11
2026-06-16,5023401.71,3205043.9
2026-06-17,4855191.78,3253371.77
2026-06-18,4603486.19,3450767.98
2026-06-19,4500480.45,3316995.08
2026-06-20,6745609.42,5833003.24
2026-06-21,5763906.07,4771637.78
2026-06-22,9257489.6,6960471.15
2026-06-23,7645783.97,6442331.63
2026-06-24,5766075.32,4596883.73
2026-06-25,8497020.3,7281782.25
2026-06-26,6925571.42,5282789.9
2026-06-27,12049053.11,10990900.03
2026-06-28,5365889.79,3932307.5
2026-06-29,4717326.47,2881451.66
2026-06-30,4795472.05,3807268.82
2026-07-01,4620871.37,3760651.6
2026-07-02,3679165.31,2539767.88
2026-07-03,4784456.13,3759307.49
2026-07-04,4480796.36,4004300.59
2026-07-05,2888181.65,2467154.92
2026-07-06,3498363.72,2935549.06
2026-07-07,5985321.22,4854778.07
2026-07-08,2193317.77,1316847.59
2026-07-09,4791213.77,4103782.19
2026-07-10,3329901.86,2548704.05
2026-07-11,3729211.21,2852958.16
2026-07-12,3699506.76,2954926.77
2026-07-13,1753512.21,1167459.37
2026-07-14,5865106.66,4180247.49
2026-07-15,4820119.91,3488233.66
2026-07-16,2690681.47,1403884.63
2026-07-17,2398627.12,1679670.15
2026-07-18,3675790.19,3124378.04
2026-07-19,5519259.41,4902315.05
2026-07-20,1345661.24,272501.21
2026-07-21,539825.73,0
2026-07-22,1059666.71,0
2026-07-23,835085.18,0
2026-07-24,762521.31,0
2026-07-25,403541.11,0
2026-07-26,558013.52,0
2026-07-27,796326.27,0
2026-07-28,921885.9,0
2026-07-29,1923419.63,0
2026-07-30,1529481.74,0
2026-07-31,566696.67,0
2026-08-01,728067.96,0
2026-08-02,770807.61,0
2026-08-03,626000.19,0
2026-08-04,679209.49,0
2026-08-05,781192.79,0
2026-08-06,736697.74,0
2026-08-07,409270.9,0
2026-08-08,389395.43,0
2026-08-09,410305.73,0
2026-08-10,572259.7,0
2026-08-11,430215.31,0
2026-08-12,417608.34,0
2026-08-13,501459.39,0
2026-08-14,348598.89,0
2026-08-15,338108.13,0
2026-08-16,467054.71,0
2026-08-17,537913.58,0
2026-08-18,382586.28,0
2026-08-19,519739.34,0
2026-08-20,386599.37,0
2026-08-21,774741.59,0
2026-08-22,616474.96,0
2026-08-23,624875,0
2026-08-24,708597.42,0
2026-08-25,484481.9,0
2026-08-26,446105.61,0
2026-08-27,566000,0
2026-08-28,610650.46,0
2026-08-29,584145.28,0
2026-08-30,1625709.07,0
2026-08-31,1973231.28,0
2026-09-01,3272601.38,0
