week_start,buyback_musd
2025-12-29,4.6302
2026-01-05,11.4804
2026-01-12,10.8205
2026-01-19,11.4749
2026-01-26,17.2962
2026-02-02,20.4032
2026-02-09,8.9918
2026-02-16,6.7387
2026-02-23,11.2881
2026-03-02,11.6398
2026-03-09,9.7303
2026-03-16,10.8162
2026-03-23,9.3367
2026-03-30,8.1383
2026-04-06,10.3989
2026-04-13,10.7378
2026-04-20,8.1952
2026-04-27,7.7686
2026-05-04,10.4242
2026-05-11,9.7576
2026-05-18,11.3154
2026-05-25,10.4714
2026-06-01,21.0919
2026-06-08,10.6177
2026-06-15,10.8033
2026-06-22,11.0443
2026-06-29,2.9717
