date,cum_net_inflow_musd
2026-05-12,1.87
2026-05-13,3.23
2026-05-14,8.13
2026-05-15,12.48
2026-05-18,16.9
2026-05-19,27.94
2026-05-20,53.41
2026-05-21,69.56
2026-05-22,80.51
2026-05-26,100.96
2026-05-27,104.36
2026-05-28,106.08
2026-05-29,137.7
2026-06-01,138.98
2026-06-02,142.13
2026-06-03,145.11
2026-06-04,157.26
2026-06-05,154.35
2026-06-08,157.51
2026-06-09,157.51
2026-06-10,161.29
2026-06-11,161.91
2026-06-12,161.91
2026-06-15,180.81
2026-06-16,189.43
2026-06-17,192.06
2026-06-18,192.06
2026-06-22,192.06
2026-06-23,194.62
2026-06-24,194.62
2026-06-25,307.26
2026-06-26,309.5
2026-06-29,311.7
2026-06-30,308.7
