week_start,avg_daily_traders
2025-06-30,26598.0
2025-07-07,35569.0
2025-07-14,46815.0
2025-07-21,44205.0
2025-07-28,42019.0
2025-08-04,37774.0
2025-08-11,43079.0
2025-08-18,43344.0
2025-08-25,43228.0
2025-09-01,38117.0
2025-09-08,48108.0
2025-09-15,49461.0
2025-09-22,52189.0
2025-09-29,47899.0
2025-10-06,59630.0
2025-10-13,46562.0
2025-10-20,43690.0
2025-10-27,47096.0
2025-11-03,49656.0
2025-11-10,45259.0
2025-11-17,47331.0
2025-11-24,42194.0
2025-12-01,41134.0
2025-12-08,36637.0
2025-12-15,36831.0
2025-12-22,29202.0
2025-12-29,32959.0
2026-01-05,37857.0
2026-01-12,37237.0
2026-01-19,39021.0
2026-01-26,48475.0
2026-02-02,51456.0
2026-02-09,40474.0
2026-02-16,38140.0
2026-02-23,49790.0
2026-03-02,48733.0
2026-03-09,49764.0
2026-03-16,53807.0
2026-03-23,51938.0
2026-03-30,48417.0
2026-04-06,50379.0
2026-04-13,51533.0
2026-04-20,44994.0
2026-04-27,46416.0
2026-05-04,52475.0
2026-05-11,54434.0
2026-05-18,58033.0
2026-05-25,53796.0
2026-06-01,69363.0
2026-06-08,59096.0
2026-06-15,60674.0
2026-06-22,59333.0
