date,defillama_revenue_usd,defillama_buyback_usd_proxy,defillama_perps_buyback_usd,defillama_spot_buyback_usd
2026-05-25,1193830,1193830,1138286,55544
2026-05-26,1921504,1921504,1850944,70560
2026-05-27,1787797,1787797,1711710,76087
2026-05-28,2002233,2002233,1931824,70409
2026-05-29,1888461,1888461,1787987,100474
2026-05-30,976509,976509,917885,58624
2026-05-31,1310565,1310565,1212025,98540
2026-06-01,2895667,2895667,2742995,152672
2026-06-02,3990732,3990732,3841524,149208
2026-06-03,3504616,3504616,3368280,136336
2026-06-04,4471805,4471805,4268659,203146
2026-06-05,5355849,5355849,5171243,184606
2026-06-06,1818311,1818311,1760499,57812
2026-06-07,2030216,2030216,1977786,52430
2026-06-08,2194967,2194967,2105331,89636
2026-06-09,2244245,2244245,2179991,64254
2026-06-10,2242406,2242406,2171215,71191
2026-06-11,1906046,1906046,1854798,51248
2026-06-12,1572091,1572091,1499341,72750
2026-06-13,814944,814944,783565,31379
2026-06-14,1384710,1384710,1344064,40646
2026-06-15,1952178,1952178,1872912,79266
2026-06-16,2034566,2034566,1912141,122425
2026-06-17,2283094,2283094,2198919,84175
2026-06-18,2164128,2164128,2073919,90209
2026-06-19,1235618,1235618,1182599,53019
2026-06-20,881698,881698,852409,29289
2026-06-21,1018957,1018957,991521,27436
2026-06-22,1995258,1995258,1954146,41112
2026-06-23,1933154,1933154,1873643,59511
