date,HYPE,BTC
2026-03-31,100.0,100.0
2026-04-01,99.09,99.77
2026-04-02,97.67,97.98
2026-04-03,95.54,98.09
2026-04-04,96.63,98.56
2026-04-05,98.27,101.09
2026-04-06,99.51,100.84
2026-04-07,98.94,105.39
2026-04-08,104.61,104.09
2026-04-09,103.99,105.15
2026-04-10,108.33,106.86
2026-04-11,112.82,106.99
2026-04-12,115.45,103.61
2026-04-13,111.38,109.0
2026-04-14,121.36,108.58
2026-04-15,118.79,109.57
2026-04-16,120.76,110.09
2026-04-17,119.63,112.86
2026-04-18,121.42,110.84
2026-04-19,118.53,108.05
2026-04-20,111.5,111.07
2026-04-21,110.04,111.79
2026-04-22,108.06,114.5
2026-04-23,111.86,114.63
2026-04-24,112.05,113.42
2026-04-25,111.34,113.68
2026-04-26,112.23,115.2
2026-04-27,115.27,113.3
2026-04-28,113.09,111.8
2026-04-29,108.45,110.97
2026-04-30,108.15,111.8
2026-05-01,108.15,114.57
2026-05-02,111.44,115.25
2026-05-03,112.15,115.08
2026-05-04,111.96,116.94
2026-05-05,113.45,118.49
2026-05-06,118.9,119.28
2026-05-07,116.54,117.21
2026-05-08,115.85,117.45
2026-05-09,117.7,118.13
2026-05-10,116.07,120.4
2026-05-11,116.63,119.72
2026-05-12,113.4,117.9
2026-05-13,108.87,116.18
2026-05-14,105.33,118.76
2026-05-15,121.64,115.85
2026-05-16,119.95,114.45
2026-05-17,113.83,113.46
2026-05-18,124.91,112.81
2026-05-19,131.22,112.55
2026-05-20,129.07,113.61
2026-05-21,150.17,113.69
2026-05-22,156.48,110.63
2026-05-23,147.88,112.41
2026-05-24,160.42,112.85
2026-05-25,168.21,113.24
2026-05-26,164.46,111.21
2026-05-27,163.34,109.05
2026-05-28,157.49,107.83
2026-05-29,169.45,107.6
2026-05-30,175.36,108.22
2026-05-31,186.53,107.93
2026-06-01,197.83,104.64
2026-06-02,201.71,97.78
2026-06-03,191.07,93.95
2026-06-04,202.55,93.57
2026-06-05,175.34,89.43
2026-06-06,163.31,89.18
2026-06-07,152.72,92.77
2026-06-08,167.01,92.4
2026-06-09,171.14,90.4
2026-06-10,156.93,90.09
2026-06-11,145.4,93.23
2026-06-12,160.95,93.14
2026-06-13,159.92,94.41
2026-06-14,164.77,96.3
2026-06-15,173.39,97.14
2026-06-16,180.27,96.18
2026-06-17,199.35,94.47
2026-06-18,195.61,92.22
2026-06-19,184.34,93.07
2026-06-20,188.59,94.19
2026-06-21,191.04,92.71
2026-06-22,182.26,93.8
2026-06-23,179.25,91.89
2026-06-24,169.93,89.45
2026-06-25,171.96,87.57
2026-06-26,172.97,88.03
2026-06-27,172.34,87.91
2026-06-28,168.4,87.26
2026-06-29,164.93,88.25
2026-06-30,179.22,85.87
