date,HYPE,BTC
2026-03-31,100.0,100.0
2026-04-01,98.43,99.77
2026-04-02,96.2,97.98
2026-04-03,97.3,98.09
2026-04-04,99.44,98.56
2026-04-05,100.68,101.09
2026-04-06,99.19,100.84
2026-04-07,105.59,105.39
2026-04-08,106.07,104.09
2026-04-09,107.88,105.15
2026-04-10,113.7,106.86
2026-04-11,115.58,106.99
2026-04-12,111.64,103.61
2026-04-13,121.22,109.0
2026-04-14,119.02,108.58
2026-04-15,122.08,109.57
2026-04-16,119.78,110.09
2026-04-17,122.06,112.86
2026-04-18,119.71,110.84
2026-04-19,111.17,108.05
2026-04-20,111.3,111.07
2026-04-21,108.69,111.79
2026-04-22,112.55,114.5
2026-04-23,112.89,114.63
2026-04-24,112.51,113.42
2026-04-25,113.42,113.68
2026-04-26,116.06,115.2
2026-04-27,113.87,113.3
2026-04-28,109.8,111.8
2026-04-29,109.19,110.97
2026-04-30,108.53,111.8
2026-05-01,112.45,114.57
2026-05-02,112.75,115.25
2026-05-03,113.51,115.08
2026-05-04,114.2,116.94
2026-05-05,119.49,118.49
2026-05-06,117.81,119.28
2026-05-07,116.21,117.21
2026-05-08,118.27,117.45
2026-05-09,117.23,118.13
2026-05-10,117.56,120.4
2026-05-11,114.82,119.72
2026-05-12,109.97,117.9
2026-05-13,106.0,116.18
2026-05-14,120.68,118.76
2026-05-15,120.73,115.85
2026-05-16,114.29,114.45
2026-05-17,124.96,113.46
2026-05-18,130.46,112.81
2026-05-19,131.25,112.55
2026-05-20,149.81,113.61
2026-05-21,159.92,113.69
2026-05-22,149.16,110.63
2026-05-23,160.46,112.41
2026-05-24,171.47,112.85
2026-05-25,167.0,113.24
2026-05-26,162.63,111.21
2026-05-27,157.66,109.05
2026-05-28,168.11,107.83
2026-05-29,176.08,107.6
2026-05-30,186.62,108.22
2026-05-31,196.89,107.93
2026-06-01,201.09,104.64
2026-06-02,190.63,97.78
2026-06-03,203.62,93.95
2026-06-04,175.98,93.57
2026-06-05,163.4,89.43
2026-06-06,154.46,89.18
2026-06-07,163.26,92.77
2026-06-08,174.38,92.4
2026-06-09,157.9,90.4
2026-06-10,145.58,90.09
2026-06-11,161.12,93.23
2026-06-12,161.96,93.14
2026-06-13,165.92,94.41
2026-06-14,174.74,96.3
2026-06-15,182.85,97.14
2026-06-16,201.02,96.18
2026-06-17,194.33,94.47
2026-06-18,186.62,92.22
2026-06-19,192.01,93.07
2026-06-20,193.27,94.19
2026-06-21,182.79,92.71
2026-06-22,181.02,93.8
2026-06-23,169.8,91.89
2026-06-24,174.66,89.45
2026-06-25,175.05,87.57
2026-06-26,175.8,88.03
2026-06-27,168.47,87.91
2026-06-28,167.79,87.26
2026-06-29,182.76,88.25
2026-06-30,177.58,85.87
