day,dau
2025-06-26,29000
2025-06-27,31825
2025-06-28,33823
2025-06-29,35665
2025-06-30,37379
2025-07-01,39010
2025-07-02,40618
2025-07-03,42260
2025-07-04,43983
2025-07-05,45813
2025-07-06,47750
2025-07-07,47068
2025-07-08,46420
2025-07-09,45747
2025-07-10,44988
2025-07-11,44094
2025-07-12,43036
2025-07-13,41812
2025-07-14,40448
2025-07-15,38995
2025-07-16,37519
2025-07-17,37190
2025-07-18,36971
2025-07-19,36907
2025-07-20,37016
2025-07-21,37290
2025-07-22,37692
2025-07-23,38169
2025-07-24,38658
2025-07-25,39101
2025-07-26,39454
2025-07-27,39696
2025-07-28,39832
2025-07-29,39894
2025-07-30,39931
2025-07-31,40001
2025-08-01,40161
2025-08-02,40452
2025-08-03,40894
2025-08-04,41478
2025-08-05,42170
2025-08-06,42413
2025-08-07,42640
2025-08-08,42781
2025-08-09,42781
2025-08-10,42605
2025-08-11,42245
2025-08-12,41722
2025-08-13,41082
2025-08-14,40386
2025-08-15,39698
2025-08-16,39077
2025-08-17,38563
2025-08-18,38172
2025-08-19,37890
2025-08-20,37683
2025-08-21,37499
2025-08-22,37279
2025-08-23,36972
2025-08-24,36543
2025-08-25,35980
2025-08-26,36401
2025-08-27,36746
2025-08-28,37075
2025-08-29,37456
2025-08-30,37951
2025-08-31,38609
2025-09-01,39453
2025-09-02,40478
2025-09-03,41651
2025-09-04,42919
2025-09-05,44214
2025-09-06,45470
2025-09-07,46631
2025-09-08,47663
2025-09-09,48557
2025-09-10,49334
2025-09-11,50033
2025-09-12,50710
2025-09-13,51422
2025-09-14,52219
2025-09-15,51528
2025-09-16,50955
2025-09-17,50476
2025-09-18,50046
2025-09-19,49603
2025-09-20,49084
2025-09-21,48431
2025-09-22,47608
2025-09-23,46603
2025-09-24,45432
2025-09-25,44139
2025-09-26,42785
2025-09-27,41441
2025-09-28,40172
2025-09-29,39030
2025-09-30,38373
2025-10-01,37868
2025-10-02,37488
2025-10-03,37186
2025-10-04,36902
2025-10-05,36578
2025-10-06,36171
2025-10-07,35654
2025-10-08,35032
2025-10-09,34331
2025-10-10,33600
2025-10-11,32900
2025-10-12,32290
2025-10-13,31820
2025-10-14,31516
2025-10-15,31695
2025-10-16,32014
2025-10-17,32420
2025-10-18,32846
2025-10-19,33223
2025-10-20,33488
2025-10-21,33597
2025-10-22,33535
2025-10-23,33311
2025-10-24,32963
2025-10-25,32545
2025-10-26,32119
2025-10-27,31743
2025-10-28,31459
2025-10-29,31286
2025-10-30,31217
2025-10-31,31218
2025-11-01,31239
2025-11-02,31220
2025-11-03,31108
