date,polygon,avalanche,ethereum,kaia,total
2025-09-01,0.0,0.0,0.0,0.0,0.0
2025-09-02,0.05,0.02,0.02,0.0,0.09
2025-09-03,0.11,0.04,0.04,0.0,0.18
2025-09-04,0.16,0.05,0.05,0.0,0.27
2025-09-05,0.21,0.07,0.07,0.0,0.36
2025-09-06,0.27,0.09,0.09,0.0,0.45
2025-09-07,0.32,0.11,0.11,0.0,0.54
2025-09-08,0.38,0.12,0.12,0.0,0.62
2025-09-09,0.43,0.14,0.14,0.0,0.71
2025-09-10,0.48,0.16,0.16,0.0,0.8
2025-09-11,0.54,0.18,0.18,0.0,0.89
2025-09-12,0.59,0.2,0.2,0.0,0.98
2025-09-13,0.64,0.21,0.21,0.0,1.07
2025-09-14,0.7,0.23,0.23,0.0,1.16
2025-09-15,0.75,0.25,0.25,0.0,1.25
2025-09-16,0.8,0.27,0.27,0.0,1.34
2025-09-17,0.86,0.29,0.29,0.0,1.43
2025-09-18,0.91,0.3,0.3,0.0,1.52
2025-09-19,0.96,0.32,0.32,0.0,1.61
2025-09-20,1.02,0.34,0.34,0.0,1.7
2025-09-21,1.07,0.36,0.36,0.0,1.79
2025-09-22,1.12,0.38,0.38,0.0,1.88
2025-09-23,1.18,0.39,0.39,0.0,1.96
2025-09-24,1.23,0.41,0.41,0.0,2.05
2025-09-25,1.29,0.43,0.43,0.0,2.14
2025-09-26,1.34,0.45,0.45,0.0,2.23
2025-09-27,1.39,0.46,0.46,0.0,2.32
2025-09-28,1.45,0.48,0.48,0.0,2.41
2025-09-29,1.5,0.5,0.5,0.0,2.5
2025-09-30,1.55,0.52,0.52,0.0,2.59
2025-10-01,1.61,0.54,0.54,0.0,2.68
2025-10-02,1.66,0.55,0.55,0.0,2.77
2025-10-03,1.71,0.57,0.57,0.0,2.86
2025-10-04,1.77,0.59,0.59,0.0,2.95
2025-10-05,1.82,0.61,0.61,0.0,3.04
2025-10-06,1.88,0.62,0.62,0.0,3.12
2025-10-07,1.93,0.64,0.64,0.0,3.21
2025-10-08,1.98,0.66,0.66,0.0,3.3
2025-10-09,2.04,0.68,0.68,0.0,3.39
2025-10-10,2.09,0.7,0.7,0.0,3.48
2025-10-11,2.14,0.71,0.71,0.0,3.57
2025-10-12,2.2,0.73,0.73,0.0,3.66
2025-10-13,2.25,0.75,0.75,0.0,3.75
2025-10-14,2.3,0.77,0.77,0.0,3.84
2025-10-15,2.36,0.79,0.79,0.0,3.93
2025-10-16,2.41,0.8,0.8,0.0,4.02
2025-10-17,2.46,0.82,0.82,0.0,4.11
2025-10-18,2.52,0.84,0.84,0.0,4.2
2025-10-19,2.57,0.86,0.86,0.0,4.29
2025-10-20,2.62,0.88,0.88,0.0,4.38
