date,blockchain,daily_mint,daily_redeem,cumulative_mint,cumulative_redeem,cumulative_net_supply
2025-08-18 00:00:00.000 UTC,polygon,3000,-3000,3000,-3000,0
2025-08-18 00:00:00.000 UTC,avalanche,3000,-3000,3000,-3000,0
2025-08-19 00:00:00.000 UTC,ethereum,1000000,-1000000,1000000,-1000000,0
2025-09-29 00:00:00.000 UTC,avalanche,3000,-3000,6000,-6000,0
2025-09-29 00:00:00.000 UTC,ethereum,1000000,-99999.99999999999,2000000,-1100000,900000
2025-09-29 00:00:00.000 UTC,polygon,3000,-3000,6000,-6000,0
2025-10-08 00:00:00.000 UTC,ethereum,,0,2000000,-1100000,900000
2025-10-21 00:00:00.000 UTC,ethereum,,-900000,2000000,-2000000,0
2025-10-27 00:00:00.000 UTC,avalanche,10026996,-1020000,10032996,-1026000,9006996
2025-10-27 00:00:00.000 UTC,ethereum,8000000,-1900000,10000000,-3900000,6100000
2025-10-27 00:00:00.000 UTC,polygon,11578451,-1149678,11584451,-1155678,10428773
2025-10-28 00:00:00.000 UTC,ethereum,5000000,,15000000,-3900000,11100000
2025-10-28 00:00:00.000 UTC,polygon,8622055,-261045.99999999997,20206506,-1416724,18789782
2025-10-28 00:00:00.000 UTC,avalanche,5667100,-999004.55387,15700096,-2025004.55387,13675091.44613
2025-10-29 00:00:00.000 UTC,polygon,5638000,-148899.99999999997,25844506,-1565624,24278882
2025-10-29 00:00:00.000 UTC,avalanche,4262944,-150000,19963040,-2175004.55387,17788035.44613
2025-10-29 00:00:00.000 UTC,ethereum,4000000,-14354,19000000,-3914354,15085646
2025-10-30 00:00:00.000 UTC,avalanche,3498537,-14741,23461577,-2189745.55387,21271831.44613
2025-10-30 00:00:00.000 UTC,ethereum,6000000,,25000000,-3914354,21085646
2025-10-30 00:00:00.000 UTC,polygon,11594271,-184732,37438777,-1750356,35688421
2025-10-31 00:00:00.000 UTC,ethereum,2000000,-3000,27000000,-3917354,23082646
2025-10-31 00:00:00.000 UTC,polygon,5283920,-2564244,42722697,-4314600,38408097
2025-10-31 00:00:00.000 UTC,avalanche,1629000,-109999.99999999999,25090577,-2299745.55387,22790831.44613
2025-11-01 00:00:00.000 UTC,polygon,5343000,-3345547,48065697,-7660147,40405550
2025-11-01 00:00:00.000 UTC,avalanche,2075000,-549500,27165577,-2849245.55387,24316331.44613
2025-11-01 00:00:00.000 UTC,ethereum,1000000,,28000000,-3917354,24082646
2025-11-02 00:00:00.000 UTC,avalanche,3690000,-912999.9999999999,30855577,-3762245.55387,27093331.44613
2025-11-02 00:00:00.000 UTC,ethereum,1000000,,29000000,-3917354,25082646
2025-11-02 00:00:00.000 UTC,polygon,3457570,-386145.00000000006,51523267,-8046292,43476975
2025-11-03 00:00:00.000 UTC,ethereum,4000000,-1233912,33000000,-5151266,27848734
2025-11-03 00:00:00.000 UTC,polygon,7539042,-2097000,59062309,-10143292,48919017
2025-11-03 00:00:00.000 UTC,avalanche,1869000,-18800,32724577,-3781045.55387,28943531.44613
2025-11-04 00:00:00.000 UTC,polygon,8552490,-3117349,67614799,-13260641,54354158
