product,contract_month,months_to_expiry,open_interest,norm_open_interest,far_oi_share_6m_plus
Corn,SEP 26,1.0,394941.0,0.48910000000000003,0.2933
Corn,DEC 26,4.0,807505.0,1.0,0.2933
Corn,MAR 27,7.0,217332.0,0.2691,0.2933
Corn,MAY 27,9.0,88139.0,0.1091,0.2933
Corn,JUL 27,11.0,82934.0,0.1027,0.2933
Corn,SEP 27,13.0,39393.0,0.0488,0.2933
Corn,DEC 27,16.0,65127.0,0.08070000000000001,0.2933
Corn,MAR 28,19.0,3137.0,0.0039000000000000003,0.2933
Corn,MAY 28,21.0,360.0,0.0004,0.2933
Corn,JUL 28,23.0,575.0,0.0007,0.2933
Corn,SEP 28,25.0,263.0,0.00030000000000000003,0.2933
Corn,DEC 28,28.0,1600.0,0.002,0.2933
Corn,JUL 29,35.0,8.0,0.0,0.2933
Corn,DEC 29,40.0,64.0,0.0001,0.2933
Live Cattle,AUG 26,0.0,11575.0,0.0989,0.28550000000000003
Live Cattle,OCT 26,2.0,116985.0,1.0,0.28550000000000003
Live Cattle,DEC 26,4.0,68621.0,0.5866,0.28550000000000003
Live Cattle,FEB 27,6.0,38526.0,0.32930000000000004,0.28550000000000003
Live Cattle,APR 27,8.0,25889.0,0.22130000000000002,0.28550000000000003
Live Cattle,JUN 27,10.0,8874.0,0.07590000000000001,0.28550000000000003
Live Cattle,AUG 27,12.0,4206.0,0.036000000000000004,0.28550000000000003
Live Cattle,OCT 27,14.0,952.0,0.0081,0.28550000000000003
Live Cattle,DEC 27,16.0,298.0,0.0025,0.28550000000000003
Live Cattle,FEB 28,18.0,35.0,0.00030000000000000003,0.28550000000000003
Soybean,AUG 26,0.0,49.0,0.0001,0.2883
Soybean,SEP 26,1.0,56938.0,0.1155,0.2883
Soybean,NOV 26,3.0,493050.0,1.0,0.2883
Soybean,JAN 27,5.0,149422.0,0.30310000000000004,0.2883
Soybean,MAR 27,7.0,124834.0,0.25320000000000004,0.2883
Soybean,MAY 27,9.0,77820.0,0.1578,0.2883
Soybean,JUL 27,11.0,45269.0,0.0918,0.2883
Soybean,AUG 27,12.0,2481.0,0.005,0.2883
Soybean,SEP 27,13.0,1759.0,0.0036000000000000003,0.2883
Soybean,NOV 27,15.0,28019.0,0.0568,0.2883
Soybean,JAN 28,17.0,1415.0,0.0029000000000000002,0.2883
Soybean,MAR 28,19.0,537.0,0.0011,0.2883
Soybean,MAY 28,21.0,381.0,0.0008,0.2883
Soybean,JUL 28,23.0,605.0,0.0012000000000000001,0.2883
Soybean,AUG 28,24.0,1.0,0.0,0.2883
Soybean,SEP 28,25.0,4.0,0.0,0.2883
Soybean,NOV 28,27.0,199.0,0.0004,0.2883
Soybean,NOV 29,39.0,7.0,0.0,0.2883
Wheat SRW,SEP 26,1.0,146654.0,0.7913,0.278
Wheat SRW,DEC 26,4.0,185324.0,1.0,0.278
Wheat SRW,MAR 27,7.0,74302.0,0.40090000000000003,0.278
Wheat SRW,MAY 27,9.0,18728.0,0.10110000000000001,0.278
Wheat SRW,JUL 27,11.0,24296.0,0.1311,0.278
Wheat SRW,SEP 27,13.0,3463.0,0.0187,0.278
Wheat SRW,DEC 27,16.0,5784.0,0.031200000000000002,0.278
Wheat SRW,MAR 28,19.0,667.0,0.0036000000000000003,0.278
Wheat SRW,MAY 28,21.0,134.0,0.0007,0.278
Wheat SRW,JUL 28,23.0,306.0,0.0017000000000000001,0.278
Wheat SRW,SEP 28,25.0,8.0,0.0,0.278
Wheat SRW,DEC 28,28.0,166.0,0.0009000000000000001,0.278
Wheat SRW,JUL 29,35.0,1.0,0.0,0.278
