date,premium_pct
2017-01-07,9.31
2017-01-08,10.382
2017-01-09,10.08
2017-01-10,9.16
2017-01-11,9.991
2017-01-12,6.635
2017-01-13,3.692
2017-01-14,3.635
2017-01-15,2.519
2017-01-16,1.998
2017-01-17,1.391
2017-01-18,0.332
2017-01-19,0.792
2017-01-20,1.221
2017-01-21,0.97
2017-01-22,1.104
2017-01-23,1.325
2017-01-24,2.354
2017-01-25,2.341
2017-01-26,2.537
2017-01-27,2.554
2017-01-28,2.715
2017-01-29,2.861
2017-01-30,2.735
2017-01-31,1.846
2017-02-01,1.965
2017-02-02,2.09
2017-02-03,2.718
2017-02-04,3.076
2017-02-05,3.663
2017-02-06,4.257
2017-02-07,4.882
2017-02-08,4.868
2017-02-09,5.584
2017-02-10,4.918
2017-02-11,4.615
2017-02-12,4.132
2017-02-13,3.831
2017-02-14,3.56
2017-02-15,3.379
2017-02-16,2.55
2017-02-17,2.646
2017-02-18,2.714
2017-02-19,2.643
2017-02-20,2.081
2017-02-21,1.772
2017-02-22,1.574
2017-02-23,1.165
2017-02-24,1.501
2017-02-25,1.916
2017-02-26,1.879
2017-02-27,2.322
2017-02-28,2.809
2017-03-01,2.778
2017-03-02,3.154
2017-03-03,3.054
2017-03-04,3.051
2017-03-05,3.168
2017-03-06,3.256
2017-03-07,3.459
2017-03-08,4.451
2017-03-09,4.523
2017-03-10,5.5
2017-03-11,5.27
2017-03-12,4.974
2017-03-13,5.116
2017-03-14,5.1
2017-03-15,4.547
2017-03-16,6.189
2017-03-17,7.996
2017-03-18,11.64
2017-03-19,13.469
2017-03-20,14.717
2017-03-21,15.173
2017-03-22,16.22
2017-03-23,15.606
2017-03-24,14.09
2017-03-25,10.062
2017-03-26,9.207
2017-03-27,7.815
2017-03-28,7.672
2017-03-29,6.755
2017-03-30,6.077
2017-03-31,4.805
2017-04-01,5.328
2017-04-02,5.063
2017-04-03,5.226
2017-04-04,5.012
2017-04-05,4.8
2017-04-06,4.188
2017-04-07,4.11
2017-04-08,3.835
2017-04-09,3.049
2017-04-10,2.614
2017-04-11,2.011
2017-04-12,1.89
2017-04-13,2.248
2017-04-14,2.383
2017-04-15,2.502
2017-04-16,3.019
2017-04-17,3.45
2017-04-18,3.659
2017-04-19,3.597
2017-04-20,3.465
2017-04-21,3.273
2017-04-22,3.19
2017-04-23,2.957
2017-04-24,2.602
2017-04-25,2.513
2017-04-26,2.199
2017-04-27,1.563
2017-04-28,0.936
2017-04-29,0.276
2017-04-30,-0.361
2017-05-01,-0.253
2017-05-02,0.021
2017-05-03,0.07
2017-05-04,0.879
2017-05-05,3.305
2017-05-06,4.752
2017-05-07,6.402
2017-05-08,7.676
2017-05-09,9.656
2017-05-10,11.267
2017-05-11,12.824
2017-05-12,13.621
2017-05-13,13.996
2017-05-14,14.506
2017-05-15,14.901
2017-05-16,14.388
2017-05-17,14.438
2017-05-18,13.353
2017-05-19,11.291
2017-05-20,10.975
2017-05-21,11.298
2017-05-22,13.345
2017-05-23,14.773
2017-05-24,17.449
2017-05-25,26.52
2017-05-26,31.029
2017-05-27,33.61
2017-05-28,35.47
2017-05-29,34.274
2017-05-30,34.892
2017-05-31,33.084
2017-06-01,25.091
2017-06-02,21.19
2017-06-03,18.552
2017-06-04,15.684
2017-06-05,13.207
2017-06-06,9.677
2017-06-07,8.535
2017-06-08,6.914
2017-06-09,5.878
2017-06-10,4.751
2017-06-11,3.317
2017-06-12,4.216
2017-06-13,4.44
2017-06-14,5.112
2017-06-15,5.764
2017-06-16,6.398
2017-06-17,7.139
2017-06-18,8.973
2017-06-19,8.862
2017-06-20,8.953
2017-06-21,8.663
2017-06-22,9.149
2017-06-23,9.824
2017-06-24,11.391
2017-06-25,12.473
2017-06-26,14.092
2017-06-27,14.137
