month,upbit,bithumb,coinone,korbit,gopax
2025-01,53.5,42.5,1.8,0.8,1.3
2025-02,42.6,52.9,2.7,0.9,0.7
2025-03,30.3,53.5,11.5,2.4,2.2
2025-04,31.6,53.2,12.2,3.0,0.1
2025-05,34.1,51.2,11.4,3.2,0.1
2025-06,35.2,47.1,13.5,4.0,0.2
2025-07,39.4,39.7,18.4,2.5,0.1
2025-08,42.4,38.2,17.1,2.2,0.1
2025-09,43.4,45.7,9.2,1.6,0.1
2025-10,44.7,44.2,9.4,1.6,0.1
2025-11,39.6,47.7,10.7,1.9,0.1
2025-12,29.7,35.9,30.5,3.8,0.1
2026-01,26.9,27.3,37.3,8.4,0.1
2026-02,16.7,28.6,29.5,25.1,0.0
2026-03,21.0,22.1,39.0,17.8,0.1
2026-04,21.5,24.4,34.1,20.0,0.1
2026-05,31.2,37.3,28.3,3.1,0.1
2026-06,30.1,31.1,34.8,3.9,0.1
