date,index
2025-01-06,2380.0
2025-01-13,2420.0
2025-01-20,2450.0
2025-01-27,2440.0
2025-02-03,2480.0
2025-02-10,2520.0
2025-02-17,2500.0
2025-02-24,2540.0
2025-03-03,2560.0
2025-03-10,2550.0
2025-03-17,2580.0
2025-03-24,2560.0
2025-03-31,2570.0
2025-04-07,2540.0
2025-04-14,2560.0
2025-04-21,2600.0
2025-04-28,2620.0
2025-05-05,2650.0
2025-05-12,2680.0
2025-05-19,2700.0
2025-05-26,2720.0
2025-06-02,2760.0
2025-06-09,2800.0
2025-06-16,2820.0
2025-06-23,2850.0
2025-06-30,2880.0
2025-07-07,2950.0
2025-07-14,3010.0
2025-07-21,2950.0
2025-07-28,2980.0
2025-08-04,3050.0
2025-08-11,3100.0
2025-08-18,3080.0
2025-08-25,3120.0
2025-09-01,3180.0
2025-09-08,3220.0
2025-09-15,3250.0
2025-09-22,3280.0
2025-09-29,3320.0
2025-10-06,3400.0
2025-10-13,3500.0
2025-10-20,3550.0
2025-10-27,3620.0
2025-11-03,3760.0
2025-11-10,3950.0
2025-11-17,4100.0
2025-11-24,4260.0
2025-12-01,4460.0
2025-12-08,4660.0
2025-12-15,4820.0
2025-12-22,4960.0
2025-12-29,5060.0
2026-01-05,5210.0
2026-01-12,5410.0
2026-01-19,5560.0
2026-01-26,5720.0
2026-02-02,5900.0
2026-02-09,6060.0
2026-02-16,5820.0
2026-02-23,5520.0
2026-03-02,5410.0
2026-03-09,5560.0
2026-03-16,5700.0
2026-03-23,5760.0
2026-03-30,5860.0
2026-04-06,6010.0
2026-04-13,6210.0
2026-04-20,6420.0
2026-04-27,6620.0
2026-05-04,6900.0
2026-05-11,7120.0
2026-05-18,7360.0
2026-05-25,7620.0
2026-06-01,8120.0
2026-06-03,8520.0
2026-06-04,8700.0
2026-06-05,8160.59
