date,lido_core_m,others_m,entry_queue_m,total_bc_entry_m,lido_share_pct,lido_share_be_pct
2020-12,0.003,0.667,0.0,0.67,0.5,0.5
2021-01,0.096,2.304,0.0,2.4,4.0,4.0
2021-02,0.231,3.069,0.0,3.3,7.0,7.0
2021-03,0.39,3.51,0.0,3.9,10.0,10.0
2021-04,0.516,3.784,0.0,4.3,12.0,12.0
2021-05,0.686,4.214,0.0,4.9,14.0,14.0
2021-06,0.852,4.648,0.0,5.5,15.5,15.5
2021-07,1.04,5.26,0.0,6.3,16.5,16.5
2021-08,1.208,5.693,0.0,6.9,17.5,17.5
2021-09,1.368,6.232,0.0,7.6,18.0,18.0
2021-10,1.504,6.496,0.0,8.0,18.8,18.8
2021-11,1.613,6.787,0.0,8.4,19.2,19.2
2021-12,1.696,7.003,0.0,8.7,19.5,19.5
2022-01,2.024,7.176,0.0,9.2,22.0,22.0
2022-02,2.45,7.35,0.002,9.802,25.0,24.996
2022-03,2.94,7.56,0.003,10.503,28.0,27.991
2022-04,3.39,7.91,0.005,11.305,30.0,29.987
2022-05,3.812,8.288,0.007,12.107,31.5,31.483
2022-06,4.128,8.772,0.008,12.908,32.0,31.979
2022-07,4.158,9.042,0.01,13.21,31.5,31.476
2022-08,4.154,9.246,0.012,13.412,31.0,30.973
2022-09,4.22,9.48,0.013,13.713,30.8,30.77
2022-10,4.526,10.074,0.015,14.615,31.0,30.968
2022-11,4.789,10.511,0.017,15.317,31.3,31.266
2022-12,5.04,10.86,0.018,15.918,31.7,31.664
2023-01,5.232,11.168,0.02,16.42,31.9,31.861
2023-02,5.408,11.492,0.026,16.926,32.0,31.951
2023-03,5.6,11.9,0.032,17.532,32.0,31.942
2023-04,5.76,12.24,0.038,18.038,32.0,31.933
2023-05,6.252,13.348,0.044,19.644,31.9,31.829
2023-06,6.794,14.706,0.05,21.55,31.6,31.527
2023-07,7.238,15.962,0.055,23.255,31.2,31.126
2023-08,7.675,17.325,0.06,25.06,30.7,30.626
2023-09,8.003,18.497,0.065,26.565,30.2,30.126
2023-10,8.225,19.375,0.07,27.67,29.8,29.725
2023-11,8.32,19.98,0.075,28.375,29.4,29.322
2023-12,8.439,20.461,0.08,28.98,29.2,29.119
2024-01,8.643,20.957,0.086,29.686,29.2,29.115
2024-02,8.846,21.554,0.093,30.493,29.1,29.011
2024-03,9.137,22.263,0.099,31.499,29.1,29.009
2024-04,9.251,22.649,0.105,32.005,29.0,28.905
2024-05,9.338,22.862,0.112,32.312,29.0,28.9
2024-06,9.393,23.007,0.118,32.518,28.99,28.885
2024-07,9.537,23.463,0.097,33.097,28.9,28.815
2024-08,9.677,23.923,0.075,33.675,28.8,28.736
2024-09,9.758,24.242,0.053,34.053,28.7,28.655
2024-10,9.804,24.596,0.032,34.432,28.5,28.474
2024-11,9.876,24.924,0.01,34.81,28.38,28.372
2024-12,9.673,24.627,0.05,34.35,28.2,28.159
2025-01,9.452,24.548,0.171,34.171,27.8,27.661
2025-02,9.289,24.611,0.291,34.191,27.4,27.167
2025-03,9.126,24.674,0.4,34.2,27.0,26.684
2025-04,8.93,24.77,0.602,34.302,26.5,26.035
2025-05,8.84,25.16,0.798,34.798,26.0,25.404
2025-06,8.798,25.702,1.0,35.5,25.5,24.782
2025-07,8.75,26.25,1.261,36.261,25.0,24.131
2025-08,8.722,26.878,1.53,37.13,24.5,23.49
2025-09,8.664,27.436,1.8,37.9,24.0,22.86
2025-10,8.685,28.115,2.064,38.864,23.6,22.347
2025-11,8.677,28.723,2.336,39.736,23.2,21.836
2025-12,8.641,29.259,2.6,40.5,22.8,21.336
2026-01,8.579,29.721,2.738,41.038,22.4,20.906
2026-02,8.492,30.108,2.876,41.476,22.0,20.475
2026-03,8.364,30.536,3.0,41.9,21.5,19.961
2026-04,8.346,30.654,2.933,41.933,21.4,19.903
2026-05,8.3,30.85,2.867,42.017,21.2,19.753
2026-06,8.284,30.976,2.8,42.06,21.1,19.695
