date,USDT0,USDe,USDY,USDC,AUSD
2024-08-01,156292548.0,0.0,15884707.0,46693985.0,0.0
2024-08-02,158055008.0,0.0,15884707.0,46773144.0,0.0
2024-08-03,158129580.0,0.0,15884707.0,47445413.0,0.0
2024-08-04,158312636.0,0.0,15884707.0,47419879.0,0.0
2024-08-05,159369885.0,0.0,15884707.0,47951527.0,0.0
2024-08-06,164066636.0,0.0,15874484.0,47125112.0,0.0
2024-08-07,167698940.0,0.0,15876751.0,47177399.0,0.0
2024-08-08,169392352.0,0.0,15879018.0,47407486.0,0.0
2024-08-09,168472820.0,0.0,15881286.0,47168089.0,0.0
2024-08-10,171402843.0,0.0,15883554.0,47224523.0,0.0
2024-08-11,171135352.0,0.0,15885822.0,47120656.0,0.0
2024-08-12,171595614.0,0.0,15764025.0,47256689.0,0.0
2024-08-13,171452721.0,0.0,15748940.0,47209490.0,0.0
2024-08-14,171549561.0,0.0,15703684.0,47209743.0,0.0
2024-08-15,174925418.0,0.0,15894898.0,47359111.0,0.0
2024-08-16,182042389.0,0.0,15999691.0,47352885.0,0.0
2024-08-17,182057880.0,0.0,16001975.0,47370035.0,0.0
2024-08-18,182059059.0,0.0,16013216.0,47372210.0,0.0
2024-08-19,182070824.0,0.0,16015503.0,47871042.0,0.0
2024-08-20,182070874.0,0.0,16017790.0,47873428.0,0.0
2024-08-21,182049865.0,0.0,16020077.0,48233217.0,0.0
2024-08-22,182015562.0,0.0,16022365.0,49256523.0,0.0
2024-08-23,186300507.0,0.0,16033584.0,49196661.0,0.0
2024-08-24,190360077.0,0.0,16043248.0,49913859.0,0.0
2024-08-25,190667137.0,0.0,16085669.0,50028627.0,0.0
2024-08-26,190448092.0,0.0,16087966.0,49974063.0,0.0
2024-08-27,190414559.0,0.0,16090263.0,49922307.0,0.0
2024-08-28,190704951.0,0.0,16101486.0,51582328.0,0.0
2024-08-29,193485010.0,0.0,16112565.0,51738962.0,0.0
2024-08-30,193491971.0,0.0,16123668.0,51781182.0,0.0
2024-08-31,195205399.0,56113358.0,16161328.0,51801481.0,0.0
2024-09-01,194899348.0,55653596.0,16163636.0,51709132.0,0.0
2024-09-02,195400912.0,54714852.0,16165944.0,51851354.0,0.0
2024-09-03,195541588.0,53765616.0,16193744.0,51802076.0,0.0
2024-09-04,199165894.0,48603577.0,16239170.0,52194816.0,0.0
2024-09-05,200570966.0,45035669.0,16276228.0,52213168.0,0.0
2024-09-06,200555091.0,45769180.0,16327787.0,52198873.0,0.0
2024-09-07,199039151.0,46745339.0,16339133.0,52588536.0,0.0
2024-09-08,198945240.0,53017033.0,16368039.0,52565271.0,0.0
2024-09-09,201238627.0,53367165.0,16398047.0,52578559.0,0.0
2024-09-10,203143022.0,53124393.0,16444916.0,52650973.0,0.0
2024-09-11,202938895.0,56419807.0,16447264.0,52610161.0,0.0
2024-09-12,202898007.0,64581444.0,16458788.0,52599283.0,0.0
2024-09-13,202912000.0,64943707.0,16461138.0,52576230.0,0.0
2024-09-14,202925482.0,64060175.0,11172494.0,52682267.0,0.0
2024-09-15,202926923.0,68686288.0,27338597.0,52690626.0,0.0
2024-09-16,203124381.0,68600363.0,27360604.0,52832445.0,0.0
2024-09-17,207203781.0,68412350.0,27364511.0,52802057.0,0.0
2024-09-18,211848680.0,68529724.0,27368419.0,52833212.0,0.0
2024-09-19,213359283.0,68614746.0,27392353.0,52834973.0,0.0
2024-09-20,213242115.0,68903576.0,27405215.0,52671594.0,0.0
2024-09-21,213389528.0,68232329.0,27441019.0,52714974.0,0.0
2024-09-22,213603559.0,68454910.0,27444937.0,52774885.0,0.0
2024-09-23,213411070.0,66967114.0,27448856.0,52804262.0,0.0
2024-09-24,213357453.0,67257498.0,27452776.0,52803517.0,0.0
2024-09-25,213339737.0,66437742.0,27456696.0,52794648.0,0.0
2024-09-26,213410589.0,65743726.0,27460617.0,52805419.0,0.0
2024-09-27,213402888.0,66353535.0,27492216.0,52801434.0,0.0
2024-09-28,213351642.0,66408687.0,27514671.0,52784507.0,0.0
2024-09-29,214734491.0,63899358.0,27537202.0,52805161.0,0.0
2024-09-30,214448764.0,63876614.0,27589781.0,52929361.0,0.0
2024-10-01,215985449.0,61211266.0,27604170.0,54216480.0,0.0
2024-10-02,219345478.0,54059753.0,27625918.0,54249204.0,0.0
2024-10-03,219844653.0,53160876.0,27667035.0,55171412.0,0.0
2024-10-04,220030233.0,69896126.0,27688947.0,55156668.0,0.0
2024-10-05,219983701.0,70606389.0,27741030.0,55146660.0,0.0
2024-10-06,220716332.0,71253533.0,27753937.0,55270554.0,0.0
2024-10-07,219317893.0,71001773.0,27776047.0,54998376.0,0.0
2024-10-08,219983697.0,90973340.0,27815321.0,55134575.0,0.0
2024-10-09,220255609.0,90598003.0,27819075.0,55129123.0,0.0
2024-10-10,220232272.0,90485370.0,27822831.0,55130179.0,5003.0
2024-10-11,221568907.0,88913915.0,27826587.0,55308378.0,4990.0
2024-10-12,221634952.0,89596942.0,27830343.0,55332744.0,4996.0
2024-10-13,222830634.0,88035938.0,22521690.0,55335982.0,4992.0
2024-10-14,223276295.0,86973165.0,22524730.0,55446926.0,4995.0
2024-10-15,222811581.0,86472855.0,22527771.0,55332025.0,4999.0
2024-10-16,223292533.0,85564398.0,22530866.0,55735287.0,4994.0
2024-10-17,223209484.0,85579717.0,22533908.0,55784251.0,4990.0
2024-10-18,223398297.0,84158708.0,22536949.0,55811588.0,5000.0
2024-10-19,228102953.0,79243030.0,22539992.0,55801163.0,4997.0
2024-10-20,229953711.0,78239149.0,22543034.0,55753446.0,4996.0
2024-10-21,229635263.0,78416358.0,22546077.0,55727095.0,4999.0
2024-10-22,230009413.0,74854743.0,22549121.0,55763495.0,4995.0
2024-10-23,229967778.0,75522646.0,22597620.0,55757282.0,5008.0
2024-10-24,229979781.0,74959844.0,22592629.0,43763704.0,4999.0
2024-10-25,229100987.0,81666024.0,22660884.0,31657973.0,4990245.0
2024-10-26,230355056.0,82522934.0,22663943.0,32586778.0,5001191.0
2024-10-27,230444107.0,84735476.0,22667003.0,32598437.0,4997252.0
2024-10-28,230968693.0,84471737.0,22670063.0,32632670.0,5002122.0
2024-10-29,230292197.0,84772352.0,22673123.0,32564217.0,4994590.0
2024-10-30,230691923.0,84054707.0,22676184.0,32584194.0,5002432.0
2024-10-31,230584199.0,83727221.0,22679245.0,32584462.0,5005000.0
2024-11-01,230479889.0,82856247.0,22682217.0,32575059.0,5005000.0
2024-11-02,230633353.0,83429311.0,22685190.0,32577369.0,5002813.0
2024-11-03,230227190.0,82953149.0,22688163.0,32559633.0,4994530.0
2024-11-04,230581731.0,83290244.0,22691137.0,32617567.0,5001486.0
2024-11-05,230908825.0,83084488.0,22694111.0,32753323.0,5010005.0
2024-11-06,230908825.0,83546355.0,22697086.0,32678988.0,5010005.0
