date,btc_bought,btc_balance,price
2024-04-23,97.85,97.8,66414.16
2024-05-09,19.87,117.7,63073.57
2024-06-10,23.35,141.1,69497.73
2024-07-01,20.19,161.3,62830.13
2024-07-08,42.47,203.7,56699.43
2024-07-16,21.88,225.6,65088.99
2024-07-22,20.38,246.0,67558.22
2024-08-13,57.1,303.1,60603.19
2024-08-20,57.27,360.4,59017.59
2024-09-10,38.46,398.8,57645.59
2024-10-01,107.91,506.7,60790.0
2024-10-03,23.97,530.7,60744.99
2024-10-07,108.79,639.5,62200.28
2024-10-11,109.0,748.5,62518.75
2024-10-15,106.98,855.5,67056.6
2024-10-16,5.91,861.4,67608.44
2024-10-28,156.78,1018.2,69924.5
2024-11-19,124.12,1142.3,92435.89
2024-12-23,619.7,1762.0,94764.56
2025-02-17,269.43,2031.4,95781.8
2025-02-20,68.59,2100.0,98347.2
2025-02-25,135.0,2235.0,88583.74
2025-03-03,156.0,2391.0,86161.1
2025-03-05,497.0,2888.0,90603.73
2025-03-12,162.0,3050.0,83659.43
2025-03-18,150.0,3200.0,82698.76
2025-03-24,150.0,3350.0,87523.62
2025-03-31,696.0,4046.0,82534.32
2025-04-02,160.0,4206.0,82490.08
2025-04-14,319.0,4525.0,84590.36
2025-04-21,330.0,4855.0,87522.07
2025-04-24,145.0,5000.0,94021.96
2025-05-07,555.0,5555.0,97058.32
2025-05-12,1241.0,6796.0,102800.21
2025-05-19,1004.0,7800.0,105616.18
2025-06-02,1087.99,8888.0,105904.94
2025-06-16,1112.0,10000.0,106853.38
2025-06-23,1111.0,11111.0,105419.39
2025-06-26,1234.0,12345.0,107029.64
2025-06-30,1005.0,13350.0,107173.21
2025-07-07,2205.0,15555.0,108269.84
2025-07-14,797.0,16352.0,119863.71
2025-07-28,780.0,17132.0,118070.59
2025-08-04,463.0,17595.0,115051.85
2025-08-12,518.0,18113.0,120113.18
2025-08-18,775.0,18888.0,116286.76
2025-08-25,103.0,18991.0,110127.74
2025-09-01,1009.0,20000.0,109240.55
2025-09-08,136.0,20136.0,112072.57
2025-09-22,5419.0,25555.0,112736.59
2025-09-30,5268.0,30823.0,114067.71
2025-12-30,4279.0,35102.0,88397.5
2026-03-31,5075.0,40177.0,68221.85
