year,subtype,count,share
2015,generalist,17,56.67
2015,tradfi_am_mi,6,20
2015,corporate,7,23.33
2016,generalist,14,56
2016,tradfi_am_mi,3,12
2016,corporate,7,28
2016,sovereign,1,4
2017,generalist,23,65.71
2017,tradfi_am_mi,7,20
2017,corporate,4,11.43
2017,sovereign,1,2.86
2018,generalist,46,75.41
2018,tradfi_am_mi,8,13.11
2018,corporate,5,8.2
2018,sovereign,2,3.28
2019,generalist,14,50
2019,tradfi_am_mi,9,32.14
2019,corporate,5,17.86
2020,generalist,18,64.29
2020,tradfi_am_mi,3,10.71
2020,corporate,4,14.29
2020,sovereign,1,3.57
2020,tradfi_crypto_arm,2,7.14
2021,generalist,55,57.89
2021,tradfi_am_mi,28,29.47
2021,corporate,11,11.58
2021,sovereign,1,1.05
2022,generalist,15,55.56
2022,tradfi_am_mi,7,25.93
2022,corporate,4,14.81
2022,tradfi_crypto_arm,1,3.7
2023,generalist,4,26.67
2023,tradfi_am_mi,5,33.33
2023,corporate,5,33.33
2023,tradfi_crypto_arm,1,6.67
2024,generalist,8,66.67
2024,tradfi_am_mi,1,8.33
2024,corporate,2,16.67
2024,tradfi_crypto_arm,1,8.33
2025,generalist,8,53.33
2025,tradfi_am_mi,5,33.33
2025,corporate,1,6.67
2025,sovereign,1,6.67
2026,generalist,3,17.65
2026,tradfi_am_mi,8,47.06
2026,corporate,5,29.41
2026,sovereign,1,5.88
