group,label,pct,x,pos
Speculative,Kalshi Volume,4055,0.35,right
Speculative,fomo Revenue,1338,0.55,right
Speculative,RWA Perp Volume,626,0.42,right
Speculative,Kalshi OI,624,0.08,right
Speculative,pump.fun Graduation,313,0.36,right
Speculative,Polymarket Volume,238,0.72,right
Speculative,Polymarket OI,152,0.08,right
Speculative,Perp DEXs OI,34,0.10,right
Speculative,pump.fun Revenue,25,0.45,right
Onchain Native,BTC Price,-44,0.04,above
Onchain Native,ETH Price,-55,0.04,below
Onchain Native,NFT Volume,-79,0.22,below
Onchain Native,Restaking TVL,-70,0.22,above
Onchain Native,Crypto ETF AUM,-47,0.42,above
Onchain Native,LST TVL,-56,0.42,below
Onchain Native,DEX Spot Volume,-66,0.62,above
Onchain Native,CEX Spot Volume,-75,0.62,below
Onchain Native,DeFi TVL,-48,0.84,above
Onchain Native,Crypto Deal Count,-83,0.84,below
TradFi-linked,Stocks (RWA),563,0.50,above
TradFi-linked,Commodities (RWA),181,0.68,above
TradFi-linked,Stablecoin Card Payments,147,0.22,above
TradFi-linked,Private Credit (RWA),142,0.46,below
TradFi-linked,U.S. T-Bills (RWA),122,0.82,below
TradFi-linked,Total RWA Value,91,0.16,below
TradFi-linked,Stablecoin MC,9,0.30,below
TradFi-linked,Vault TVL,-11,0.66,below
