group,label,pct,x,pos
Speculative,Kalshi Volume,3964,0.16,right
Speculative,fomo Revenue,1575,0.50,right
Speculative,Kalshi OI,588,0.10,right
Speculative,Polymarket Volume,366,0.46,right
Speculative,Polymarket OI,153,0.14,right
Speculative,Perp DEXs OI,36,0.50,right
Speculative,pump.fun Revenue,9,0.12,above
Onchain Native,BTC Price,-36,0.10,above
Onchain Native,DeFi TVL,-43,0.40,below
Onchain Native,LST TVL,-44,0.70,above
Onchain Native,ETH Price,-46,0.94,below
Onchain Native,DEX Spot Volume,-61,0.22,below
Onchain Native,Restaking TVL,-64,0.68,below
TradFi-linked,Stocks (RWA),906,0.30,above
TradFi-linked,U.S. T-Bills (RWA),143,0.20,above
TradFi-linked,Commodities (RWA),139,0.62,below
TradFi-linked,Total RWA Value,49,0.20,below
TradFi-linked,Private Credit (RWA),32,0.45,above
TradFi-linked,Stablecoin MC,12,0.74,below
