Date,Others,SPDR S&P 500 ETF (Ondo Tokenized),iShares Core S&P 500 ETF (Ondo Tokenized),Circle Internet Group (Ondo Tokenized),Ondo Short-Term US Government Bond Fund,Ondo U.S. Dollar Yield
2024-01-01,0.0,0.0,0.0,0.0,0.126851,0.0656
2024-01-02,0.0,0.0,0.0,0.0,0.122524,0.065446
2024-01-03,0.0,0.0,0.0,0.0,0.121635,0.065452
2024-01-04,0.0,0.0,0.0,0.0,0.121525,0.065458
2024-01-05,0.0,0.0,0.0,0.0,0.121324,0.065471
2024-01-06,0.0,0.0,0.0,0.0,0.121324,0.065478
2024-01-07,0.0,0.0,0.0,0.0,0.121324,0.06549
2024-01-08,0.0,0.0,0.0,0.0,0.115891,0.065498
2024-01-09,0.0,0.0,0.0,0.0,0.115911,0.065503
2024-01-10,0.0,0.0,0.0,0.0,0.114517,0.065288
2024-01-11,0.0,0.0,0.0,0.0,0.114538,0.065295
2024-01-12,0.0,0.0,0.0,0.0,0.11461,0.065308
2024-01-13,0.0,0.0,0.0,0.0,0.11461,0.065314
2024-01-14,0.0,0.0,0.0,0.0,0.11461,0.06532
2024-01-15,0.0,0.0,0.0,0.0,0.11461,0.065333
2024-01-16,0.0,0.0,0.0,0.0,0.114451,0.065353
2024-01-17,0.0,0.0,0.0,0.0,0.114041,0.065368
2024-01-18,0.0,0.0,0.0,0.0,0.114062,0.065374
2024-01-19,0.0,0.0,0.0,0.0,0.117015,0.066257
2024-01-20,0.0,0.0,0.0,0.0,0.117015,0.06627
2024-01-21,0.0,0.0,0.0,0.0,0.117015,0.066196
2024-01-22,0.0,0.0,0.0,0.0,0.117044,0.066209
2024-01-23,0.0,0.0,0.0,0.0,0.117747,0.071217
2024-01-24,0.0,0.0,0.0,0.0,0.115752,0.071224
2024-01-25,0.0,0.0,0.0,0.0,0.114122,0.071464
2024-01-26,0.0,0.0,0.0,0.0,0.114434,0.071471
2024-01-27,0.0,0.0,0.0,0.0,0.114434,0.071485
2024-01-28,0.0,0.0,0.0,0.0,0.114434,0.071492
2024-01-29,0.0,0.0,0.0,0.0,0.114443,0.101688
2024-01-30,0.0,0.0,0.0,0.0,0.11427,0.071532
2024-01-31,0.0,0.0,0.0,0.0,0.113072,0.071539
2024-02-01,0.0,0.0,0.0,0.0,0.113102,0.071554
2024-02-02,0.0,0.0,0.0,0.0,0.111598,0.071561
2024-02-03,0.0,0.0,0.0,0.0,0.111598,0.071568
2024-02-04,0.0,0.0,0.0,0.0,0.111598,0.071582
2024-02-05,0.0,0.0,0.0,0.0,0.111515,0.071607
2024-02-06,0.0,0.0,0.0,0.0,0.111524,0.071621
2024-02-07,0.0,0.0,0.0,0.0,0.110653,0.071618
2024-02-08,0.0,0.0,0.0,0.0,0.110674,0.071625
2024-02-09,0.0,0.0,0.0,0.0,0.110723,0.071639
2024-02-10,0.0,0.0,0.0,0.0,0.110723,0.071646
2024-02-11,0.0,0.0,0.0,0.0,0.110723,0.07166
2024-02-12,0.0,0.0,0.0,0.0,0.110733,0.07167
2024-02-13,0.0,0.0,0.0,0.0,0.110743,0.071675
2024-02-14,0.0,0.0,0.0,0.0,0.119916,0.071689
2024-02-15,0.0,0.0,0.0,0.0,0.119959,0.071696
2024-02-16,0.0,0.0,0.0,0.0,0.116508,0.07171
2024-02-17,0.0,0.0,0.0,0.0,0.116306,0.071717
2024-02-18,0.0,0.0,0.0,0.0,0.116306,0.071724
2024-02-19,0.0,0.0,0.0,0.0,0.116253,0.071737
2024-02-20,0.0,0.0,0.0,0.0,0.115192,0.071749
2024-02-21,0.0,0.0,0.0,0.0,0.114942,0.071758
2024-02-22,0.0,0.0,0.0,0.0,0.112923,0.071765
2024-02-23,0.0,0.0,0.0,0.0,0.112737,0.071772
2024-02-24,0.0,0.0,0.0,0.0,0.119841,0.071786
2024-02-25,0.0,0.0,0.0,0.0,0.119841,0.071793
2024-02-26,0.0,0.0,0.0,0.0,0.119598,0.071822
2024-02-27,0.0,0.0,0.0,0.0,0.113007,0.071814
2024-02-28,0.0,0.0,0.0,0.0,0.111449,0.071821
2024-02-29,0.0,0.0,0.0,0.0,0.111204,0.071835
2024-03-01,0.0,0.0,0.0,0.0,0.111081,0.071842
2024-03-02,0.0,0.0,0.0,0.0,0.111081,0.071856
2024-03-03,0.0,0.0,0.0,0.0,0.111081,0.071863
2024-03-04,0.0,0.0,0.0,0.0,0.109069,0.077792
2024-03-05,0.0,0.0,0.0,0.0,0.109692,0.076895
2024-03-06,0.0,0.0,0.0,0.0,0.104061,0.081905
2024-03-07,0.0,0.0,0.0,0.0,0.104083,0.076917
2024-03-08,0.0,0.0,0.0,0.0,0.103911,0.081925
2024-03-09,0.0,0.0,0.0,0.0,0.103911,0.081934
2024-03-10,0.0,0.0,0.0,0.0,0.103911,0.081949
2024-03-11,0.0,0.0,0.0,0.0,0.10392,0.082103
2024-03-12,0.0,0.0,0.0,0.0,0.102079,0.102125
2024-03-13,0.0,0.0,0.0,0.0,0.101789,0.101994
2024-03-14,0.0,0.0,0.0,0.0,0.101672,0.102004
2024-03-15,0.0,0.0,0.0,0.0,0.101718,0.101924
2024-03-16,0.0,0.0,0.0,0.0,0.101718,0.101934
2024-03-17,0.0,0.0,0.0,0.0,0.101718,0.101953
2024-03-18,0.0,0.0,0.0,0.0,0.101596,0.103972
2024-03-19,0.0,0.0,0.0,0.0,0.101675,0.104124
2024-03-20,0.0,0.0,0.0,0.0,0.1014,0.104144
2024-03-21,0.0,0.0,0.0,0.0,0.099372,0.104154
2024-03-22,0.0,0.0,0.0,0.0,0.099406,0.104174
2024-03-23,0.0,0.0,0.0,0.0,0.099406,0.104184
2024-03-24,0.0,0.0,0.0,0.0,0.094891,0.104195
2024-03-25,0.0,0.0,0.0,0.0,0.094692,0.104215
2024-03-26,0.0,0.0,0.0,0.0,0.094679,0.10425
2024-03-27,0.0,0.0,0.0,0.0,0.094678,0.127273
2024-03-28,0.0,0.0,0.0,0.0,0.094584,0.127286
2024-03-29,0.0,0.0,0.0,0.0,0.094584,0.12731
2024-03-30,0.0,0.0,0.0,0.0,0.094584,0.127323
2024-03-31,0.0,0.0,0.0,0.0,0.094584,0.127335
2024-04-01,0.0,0.0,0.0,0.0,0.094633,0.12736
2024-04-02,0.0,0.0,0.0,0.0,0.094533,0.127372
2024-04-03,0.0,0.0,0.0,0.0,0.094395,0.127397
2024-04-04,0.0,0.0,0.0,0.0,0.095361,0.127409
2024-04-05,0.0,0.0,0.0,0.0,0.094969,0.166223
2024-04-06,0.0,0.0,0.0,0.0,0.094969,0.16624
2024-04-07,0.0,0.0,0.0,0.0,0.094969,0.166256
2024-04-08,0.0,0.0,0.0,0.0,0.094875,0.166288
2024-04-09,0.0,0.0,0.0,0.0,0.094987,0.187852
2024-04-10,0.0,0.0,0.0,0.0,0.094998,0.201891
2024-04-11,0.0,0.0,0.0,0.0,0.096702,0.201911
2024-04-12,0.0,0.0,0.0,0.0,0.096814,0.20795
2024-04-13,0.0,0.0,0.0,0.0,0.096814,0.207971
2024-04-14,0.0,0.0,0.0,0.0,0.096814,0.207991
2024-04-15,0.0,0.0,0.0,0.0,0.095901,0.208031
2024-04-16,0.0,0.0,0.0,0.0,0.096014,0.208051
2024-04-17,0.0,0.0,0.0,0.0,0.096026,0.208091
2024-04-18,0.0,0.0,0.0,0.0,0.096039,0.208111
2024-04-19,0.0,0.0,0.0,0.0,0.095986,0.208151
2024-04-20,0.0,0.0,0.0,0.0,0.095762,0.208171
2024-04-21,0.0,0.0,0.0,0.0,0.095812,0.208211
2024-04-22,0.0,0.0,0.0,0.0,0.095761,0.208238
2024-04-23,0.0,0.0,0.0,0.0,0.095787,0.208252
2024-04-24,0.0,0.0,0.0,0.0,0.095849,0.208292
2024-04-25,0.0,0.0,0.0,0.0,0.095509,0.208314
2024-04-26,0.0,0.0,0.0,0.0,0.141417,0.208354
2024-04-27,0.0,0.0,0.0,0.0,0.141453,0.208374
2024-04-28,0.0,0.0,0.0,0.0,0.141453,0.208414
2024-04-29,0.0,0.0,0.0,0.0,0.141505,0.210598
2024-04-30,0.0,0.0,0.0,0.0,0.141523,0.218822
2024-05-01,0.0,0.0,0.0,0.0,0.140463,0.218844
2024-05-02,0.0,0.0,0.0,0.0,0.140483,0.236533
2024-05-03,0.0,0.0,0.0,0.0,0.140502,0.236578
2024-05-04,0.0,0.0,0.0,0.0,0.140538,0.236601
2024-05-05,0.0,0.0,0.0,0.0,0.140538,0.236646
2024-05-06,0.0,0.0,0.0,0.0,0.140564,0.236695
2024-05-07,0.0,0.0,0.0,0.0,0.141263,0.236817
2024-05-08,0.0,0.0,0.0,0.0,0.141252,0.23684
2024-05-09,0.0,0.0,0.0,0.0,0.140701,0.236763
2024-05-10,0.0,0.0,0.0,0.0,0.140719,0.236808
2024-05-11,0.0,0.0,0.0,0.0,0.140758,0.236831
2024-05-12,0.0,0.0,0.0,0.0,0.140758,0.236876
2024-05-13,0.0,0.0,0.0,0.0,0.140803,0.236899
2024-05-14,0.0,0.0,0.0,0.0,0.185164,0.23705
2024-05-15,0.0,0.0,0.0,0.0,0.185839,0.237073
2024-05-16,0.0,0.0,0.0,0.0,0.184364,0.237118
2024-05-17,0.0,0.0,0.0,0.0,0.184388,0.24934
2024-05-18,0.0,0.0,0.0,0.0,0.184438,0.249347
2024-05-19,0.0,0.0,0.0,0.0,0.184438,0.249394
2024-05-20,0.0,0.0,0.0,0.0,0.184753,0.267903
2024-05-21,0.0,0.0,0.0,0.0,0.189452,0.249388
2024-05-22,0.0,0.0,0.0,0.0,0.19004,0.249512
2024-05-23,0.0,0.0,0.0,0.0,0.190125,0.24956
2024-05-24,0.0,0.0,0.0,0.0,0.21513,0.249587
2024-05-25,0.0,0.0,0.0,0.0,0.21513,0.249635
2024-05-26,0.0,0.0,0.0,0.0,0.21513,0.249659
2024-05-27,0.0,0.0,0.0,0.0,0.21519,0.249707
2024-05-28,0.0,0.0,0.0,0.0,0.215265,0.25577
2024-05-29,0.0,0.0,0.0,0.0,0.214924,0.250208
2024-05-30,0.0,0.0,0.0,0.0,0.217119,0.250256
2024-05-31,0.0,0.0,0.0,0.0,0.215687,0.250272
2024-06-01,0.0,0.0,0.0,0.0,0.215687,0.25032
2024-06-02,0.0,0.0,0.0,0.0,0.215687,0.250344
2024-06-03,0.0,0.0,0.0,0.0,0.221079,0.252153
