date,oi
2026-06-09,6.034291
2026-06-10,7.810387
2026-06-11,7.540393
2026-06-12,8.256341
2026-06-13,8.055876
2026-06-14,8.790542
2026-06-15,9.75316
2026-06-16,9.777638
2026-06-17,10.350957
2026-06-18,10.247557
2026-06-19,9.976171
2026-06-20,10.430743
2026-06-21,10.018619
2026-06-22,11.141429
2026-06-23,11.034913
2026-06-24,11.651341
2026-06-25,12.915006
2026-06-26,13.643089
2026-06-27,13.810137
2026-06-28,14.0706
2026-06-29,14.131841
2026-06-30,15.043289
2026-07-01,16.422719
2026-07-02,17.244383
2026-07-03,17.529467
2026-07-04,18.112691
2026-07-05,18.213826
2026-07-06,18.111186
2026-07-07,20.174299
2026-07-08,20.912625
2026-07-09,23.879585
2026-07-10,25.127206
2026-07-11,25.946446
2026-07-12,25.928378
2026-07-13,24.492543
2026-07-14,26.042229
2026-07-15,27.834616
2026-07-16,29.948706
2026-07-17,33.931567
2026-07-18,36.85237
2026-07-19,36.912139
2026-07-20,37.520832
2026-07-21,39.562074
2026-07-22,42.992522
2026-07-23,47.430306
2026-07-24,51.298612
2026-07-25,56.284407
2026-07-26,56.968229
2026-07-27,56.905796
2026-07-28,63.619014
2026-07-29,65.753811
2026-07-30,68.952474
2026-07-31,74.495133
2026-08-01,75.779241
2026-08-02,77.204062
2026-08-03,72.470086
2026-08-04,67.703743
2026-08-05,69.440823
2026-08-06,67.230758
2026-08-07,67.978544
2026-08-08,68.315259
2026-08-09,68.934785
2026-08-10,72.956126
2026-08-11,77.475973
2026-08-12,86.502395
2026-08-13,90.991246
2026-08-14,94.241974
2026-08-15,95.640999
2026-08-16,95.731085
2026-08-17,97.271038
2026-08-18,95.2664
2026-08-19,98.875534
2026-08-20,100.547416
2026-08-21,101.665016
2026-08-22,98.62864
2026-08-23,99.601369
2026-08-24,100.071535
2026-08-25,99.164488
2026-08-26,96.512559
2026-08-27,97.116424
