month,NFT Marketplace,Token Trading
2018-07-01,10.70057,0.0
2018-08-01,3010.893107085336,0.0
2018-09-01,25367.55788806492,0.0
2018-10-01,33512.5277986925,0.0
2018-11-01,53767.565207198415,0.0
2018-12-01,79334.31202323685,0.0
2019-01-01,258563.05457887272,0.0
2019-02-01,289704.51188261295,0.0
2019-03-01,499754.0896448054,0.0
2019-04-01,587552.7375681497,0.0
2019-05-01,600365.8846252954,0.0
2019-06-01,345522.7088646447,0.0
2019-07-01,389062.0391858701,0.0
2019-08-01,389133.27939297585,0.0
2019-09-01,480204.0701388184,0.0
2019-10-01,1718406.090219112,0.0
2019-11-01,731630.9578595747,0.0
2019-12-01,681542.481218628,0.0
2020-01-01,680766.9823818256,0.0
2020-02-01,860718.1365525146,0.0
2020-03-01,661470.8451804577,0.0
2020-04-01,765331.4369296929,0.0
2020-05-01,811123.2000460705,0.0
2020-06-01,561047.9344003098,0.0
2020-07-01,789455.7086568954,0.0
2020-08-01,748153.3917001197,0.0
2020-09-01,2461079.1553708664,0.0
2020-10-01,4176613.6251240377,0.0
2020-11-01,4138051.925141168,0.0
2020-12-01,3149963.4890242913,0.0
2021-01-01,7625262.130156018,0.0
2021-02-01,323538533.0048974,0.0
2021-03-01,136085706.1576487,0.0
2021-04-01,89163892.2602956,0.0
2021-05-01,134023872.54073828,0.0
2021-06-01,148616872.04121363,0.0
2021-07-01,343853967.7594639,0.0
2021-08-01,3438433177.20905,0.0
2021-09-01,3025763812.2067165,0.0
2021-10-01,2562574007.378812,0.0
2021-11-01,2212515614.735351,0.0
2021-12-01,2615076474.742922,0.0
2022-01-01,5021114085.534881,0.0
2022-02-01,3641051345.836902,0.0
2022-03-01,2528328143.6249137,0.0
2022-04-01,3522830615.508365,0.0
2022-05-01,2620611666.038197,0.0
2022-06-01,700967269.2316481,0.0
2022-07-01,532975125.0649615,0.0
2022-08-01,508225716.26135474,0.0
2022-09-01,355928945.95008904,0.0
2022-10-01,334645052.2559614,0.0
2022-11-01,260091029.93544447,0.0
2022-12-01,300402461.5231413,0.0
2023-01-01,462025364.3921363,0.0
2023-02-01,708059573.0039653,0.0
2023-03-01,401451472.210855,0.0
2023-04-01,305974095.290562,0.0
2023-05-01,194008728.4053811,0.0
2023-06-01,168748164.659233,0.0
2023-07-01,133057181.69830456,0.0
2023-08-01,113149702.5733949,0.0
2023-09-01,78638402.16968134,0.0
2023-10-01,173610837.12711543,0.0
2023-11-01,142415641.77293736,0.0
2023-12-01,177292651.08399943,0.0
2024-01-01,151741211.14292285,0.0
2024-02-01,160022330.46586826,0.0
2024-03-01,187438324.61413455,0.0
2024-04-01,143083243.30048257,0.0
2024-05-01,65878263.59897759,0.0
2024-06-01,50712863.42648018,0.0
2024-07-01,42008557.36991038,0.0
2024-08-01,42382933.02272974,0.0
2024-09-01,38179921.3993701,0.0
2024-10-01,49786575.76541992,0.0
2024-11-01,86754450.3618553,0.0
2024-12-01,326834020.8705696,0.0
2025-01-01,194479228.12969783,0.0
2025-02-01,240239376.0058419,0.0
2025-03-01,74822387.02011825,9413.559181492696
2025-04-01,62377541.98744183,5323996.668503235
2025-05-01,108602668.28141148,33959854.665467344
2025-06-01,104658199.7138291,100132850.03687656
2025-07-01,191574872.1826664,132276353.20720908
2025-08-01,243685326.38231948,123394815.09044926
2025-09-01,295503216.623708,556557769.6392307
2025-10-01,428240190.4027699,2916476535.4591007
2025-11-01,108201143.31422208,678627726.9209826
2025-12-01,105185895.90478112,576121118.7135835
2026-01-01,83328186.8294498,758922612.8097745
2026-02-01,42482392.99118658,369773060.4488017
2026-03-01,33400312.8535026,152469173.2166756
2026-04-01,34288254.13285956,45846257.72542871
2026-05-01,52335738.93880227,109284506.03843597
2026-06-01,32715057.360516418,24332518.609945305
2026-07-01,26339843.547141027,16539752.153547
2026-08-01,37097755.557467505,19876959.29108927
