date,xaut,paxg
2026-01-05,2.4691,1.3899
2026-01-06,2.7486,1.3356
2026-01-07,2.9535,1.2205
2026-01-08,2.9172,1.2951
2026-01-09,3.0845,1.3464
2026-01-10,3.1501,1.3247
2026-01-11,3.0998,1.3872
2026-01-12,3.0032,1.4864
2026-01-13,3.1299,1.3808
2026-01-14,3.1698,1.5105
2026-01-15,3.2562,1.4305
2026-01-16,4.2827,1.4733
2026-01-17,4.4895,1.5873
2026-01-18,4.463,1.6397
2026-01-19,4.496,1.4686
2026-01-20,4.4945,1.555
2026-01-21,4.5877,1.4166
2026-01-22,4.7751,1.5947
2026-01-23,4.6658,1.6492
2026-01-24,4.8698,1.6396
2026-01-25,5.2475,1.2292
2026-01-26,5.2227,1.2628
2026-01-27,5.2985,1.4702
2026-01-28,5.3753,1.3643
2026-01-29,5.3362,0.9802
2026-01-30,5.72,0.6657
2026-01-31,6.159,0.58
2026-02-01,4.5032,0.5489
2026-02-02,4.5481,0.5424
2026-02-03,4.5593,0.6186
2026-02-04,4.6985,0.6367
2026-02-05,4.7933,0.5626
2026-02-06,4.8606,0.7685
2026-02-07,4.629,0.8073
2026-02-08,4.7112,0.7875
2026-02-09,4.7363,0.8475
2026-02-10,4.6981,1.0546
2026-02-11,4.7335,1.0524
2026-02-12,4.967,0.7426
2026-02-13,4.8688,0.8229
2026-02-14,4.8804,0.7896
2026-02-15,4.9527,0.7553
2026-02-16,5.0237,0.6551
2026-02-17,5.0085,0.7945
2026-02-18,4.9608,0.8791
2026-02-19,4.8735,0.9383
2026-02-20,4.8779,0.9434
2026-02-21,4.8344,0.8547
2026-02-22,4.8952,0.7312
2026-02-23,4.9359,0.601
2026-02-24,4.86,0.6508
2026-02-25,4.8947,0.6766
2026-02-26,4.8827,0.7754
2026-02-27,4.8561,0.8126
2026-02-28,4.772,0.8736
2026-03-01,4.9658,0.5167
2026-03-02,4.942,0.5462
2026-03-03,4.9791,0.5822
2026-03-04,4.9697,0.6427
2026-03-05,5.0653,0.6435
2026-03-06,5.0017,0.7622
2026-03-07,4.9302,0.7767
2026-03-08,4.8723,0.8489
2026-03-09,4.9957,0.7262
2026-03-10,5.0205,0.6786
2026-03-11,4.9467,0.6725
2026-03-12,4.9298,0.707
2026-03-13,4.8333,0.8308
2026-03-14,4.7937,0.9306
2026-03-15,4.6966,0.9293
2026-03-16,4.6328,1.0027
2026-03-17,4.6023,0.9888
2026-03-18,4.5882,0.9218
2026-03-19,4.4771,0.967
2026-03-20,4.4268,1.0368
2026-03-21,4.322,1.0329
2026-03-22,4.3361,1.0094
2026-03-23,4.2825,1.0535
2026-03-24,4.3165,0.9688
2026-03-25,4.3416,0.9921
2026-03-26,4.4046,1.0023
2026-03-27,5.1479,1.0343
2026-03-28,4.1326,0.7343
2026-03-29,4.4309,0.9761
2026-03-30,4.3962,0.9787
2026-03-31,4.5788,0.986
2026-04-01,4.6159,0.9035
2026-04-02,5.0057,0.8697
2026-04-03,4.9765,0.8824
2026-04-04,4.9705,0.8729
2026-04-05,4.9403,0.9192
2026-04-06,4.9452,0.9509
