month,perp_volume_usd,spot_volume_usd
2021-02-01,206987,73482669152
2021-03-01,27813339,74793950806
2021-04-01,552943776,136180487422
2021-05-01,1410677317,279942208034
2021-06-01,754722756,117419814169
2021-07-01,652400422,93722717434
2021-08-01,14097296890,137480845283
2021-09-01,54400647198,149750381859
2021-10-01,107771857242,193871433874
2021-11-01,89945108728,290978835897
2021-12-01,58841928646,251770926007
2022-01-01,61187122422,216413245423
2022-02-01,64792404541,158752441928
2022-03-01,71368517861,154342403218
2022-04-01,62995160773,150389703012
2022-05-01,41956237684,165367640222
2022-06-01,28607664614,96085871670
2022-07-01,37380896811,76731332453
2022-08-01,42006072579,85228333595
2022-09-01,35699104748,70287914062
2022-10-01,23478306478,58092453039
2022-11-01,41817791351,102306274021
2022-12-01,23387216790,44740524053
2023-01-01,44941441086,63987766076
2023-02-01,47714495779,78286504539
2023-03-01,62817337067,111838984522
2023-04-01,47041373396,69945324894
2023-05-01,35162169135,60059235959
2023-06-01,70636000536,64107958004
2023-07-01,38721481910,55935043730
2023-08-01,33980879280,54824299084
2023-09-01,31088031416,43111221594
2023-10-01,51339571639,59072365647
2023-11-01,81197162607,95382643688
2023-12-01,112476825363,133667226011
2024-01-01,127171420916,129097954689
2024-02-01,202995851976,117704553132
2024-03-01,298297538493,246954283675
2024-04-01,284569995826,185766233377
2024-05-01,225811793524,170318610733
2024-06-01,184316645939,256408431872
2024-07-01,225017040214,177599383495
2024-08-01,191376214528,158891557867
2024-09-01,133299770153,119453872033
2024-10-01,139991461716,178823326766
2024-11-01,267471212409,367507781422
2024-12-01,346507426504,399171416373
2025-01-01,366412145125,538959884276
2025-02-01,312894283239,357901389482
2025-03-01,310506139647,237571015309
2025-04-01,355975222703,236636222563
2025-05-01,410358980008,377681530361
2025-06-01,418275059621,327970223389
2025-07-01,561340722024,415277742548
2025-08-01,760046272673,485768110821
2025-09-01,732247972607,469674829000
2025-10-01,1359587430174,556969147462
2025-11-01,1298855116669,393080741529
2025-12-01,983038048055,306509487718
2026-01-01,941889195520,336079052141
2026-02-01,737844606044,282274169624
2026-03-01,687429508406,222481343206
2026-04-01,548017477449,185500195217
2026-05-01,586502087552,178964797367
2026-06-01,678684030730,195602845370
2026-07-01,533142005462,168904641050
2026-08-01,553863651910,204453778127
