date,pump_price_pct,buyback_usd_pct
2026-04-29,-0.8,-3.1
2026-04-30,-2.1,-8.7
2026-05-01,-0.8,-12.5
2026-05-02,0.3,-31.2
2026-05-03,0.2,-29.6
2026-05-04,0.5,-23.0
2026-05-05,0.2,-23.4
2026-05-06,4.9,-17.7
2026-05-07,10.2,-11.5
2026-05-08,12.9,-6.3
2026-05-09,17.9,-21.7
2026-05-10,18.9,-24.7
2026-05-11,16.4,-2.4
2026-05-12,12.8,3.2
2026-05-13,8.7,-4.3
2026-05-14,4.5,-8.8
2026-05-15,3.5,-14.4
2026-05-16,-0.4,-21.3
2026-05-17,-3.3,-26.7
2026-05-18,-5.7,-20.7
2026-05-19,-6.1,-23.8
2026-05-20,-5.6,-24.3
2026-05-21,-5.6,-33.2
2026-05-22,-2.9,-30.7
2026-05-23,-5.3,-36.9
2026-05-24,-3.4,-34.9
2026-05-25,-1.9,-27.1
2026-05-26,0.0,-27.8
2026-05-27,-0.6,-28.7
2026-05-28,-4.6,-27.1
2026-05-29,-5.6,-28.6
2026-05-30,-3.6,-36.9
2026-05-31,-2.3,-35.4
2026-06-01,0.9,-20.3
2026-06-02,1.9,-25.3
2026-06-03,-0.5,-37.3
2026-06-04,-3.1,-39.7
2026-06-05,-12.4,-43.9
2026-06-06,-20.0,-54.8
2026-06-07,-18.7,-55.5
2026-06-08,-12.8,-42.4
2026-06-09,-13.7,-35.5
2026-06-10,-19.1,-35.9
2026-06-11,-21.1,-36.8
2026-06-12,-17.0,-36.7
2026-06-13,-15.6,-47.1
2026-06-14,-13.4,-45.5
2026-06-15,-13.4,-32.4
2026-06-16,-13.6,-27.0
2026-06-17,-15.3,-35.9
2026-06-18,-17.7,-37.7
2026-06-19,-22.2,-43.7
2026-06-20,-24.4,-50.4
2026-06-21,-18.2,-48.2
2026-06-22,-16.9,-35.8
2026-06-23,-18.7,-36.0
2026-06-24,-23.7,-40.6
2026-06-25,-30.7,-39.9
2026-06-26,-32.2,-39.7
2026-06-27,-25.4,-43.0
2026-06-28,-20.6,-25.5
2026-06-29,-20.6,-27.9
2026-06-30,-17.5,-14.6
2026-07-01,-21.1,-17.8
2026-07-02,-18.3,-18.0
2026-07-03,-11.7,-18.0
2026-07-04,-10.0,-20.1
2026-07-05,-10.9,-29.8
2026-07-06,-7.9,-17.7
2026-07-07,-8.8,-15.1
2026-07-08,-12.2,-32.3
2026-07-09,-16.6,-33.0
2026-07-10,-18.0,-45.1
2026-07-11,-20.3,-55.3
2026-07-12,-20.8,-56.2
2026-07-13,-17.4,-44.0
2026-07-14,-18.6,-36.3
2026-07-15,-9.2,-36.1
2026-07-16,-5.7,-36.6
2026-07-17,-6.8,-38.8
2026-07-18,-5.9,-36.0
2026-07-19,0.8,-36.1
2026-07-20,14.3,-28.4
2026-07-21,12.3,-26.2
2026-07-22,9.7,-15.9
2026-07-23,9.0,-15.5
2026-07-24,4.9,-12.9
2026-07-25,1.2,-19.2
2026-07-26,3.4,-17.9
2026-07-27,15.5,3.3
2026-07-28,12.7,1.8
2026-07-29,6.2,1.5
2026-07-30,8.2,1.5
2026-07-31,17.4,-2.3
2026-08-01,21.0,-18.2
2026-08-02,22.4,-16.5
2026-08-03,21.3,7.6
2026-08-04,28.3,14.0
2026-08-05,35.2,4.7
2026-08-06,32.5,-2.2
2026-08-07,28.2,-3.7
2026-08-08,28.3,3.3
2026-08-09,44.2,22.8
2026-08-10,57.0,22.0
