date,pumpfun,pons_v2,fomo,stonkfun
2026-08-15,1239127,259439,331275,59000
2026-08-16,1153050,139098,426681,59000
2026-08-17,1414079,160688,486850,50000
2026-08-18,1511833,236153,456919,50000
2026-08-19,1991448,196053,529776,50000
2026-08-20,1757201,154262,479513,50000
2026-08-21,1778783,260926,520638,50000
2026-08-22,1500982,253620,521453,59000
2026-08-23,1419721,221419,656750,50000
2026-08-24,1817180,349655,621975,50000
2026-08-25,1953165,983188,711184,50000
2026-08-26,2172629,1195775,780936,79000
2026-08-27,2649969,2089382,768838,69000
2026-08-28,2162156,1773176,855043,50000
2026-08-29,1938968,3460512,756294,59000
2026-08-30,1609576,4704070,1070088,50000
2026-08-31,1721135,4382354,927387,69000
2026-09-01,1739933,4221588,1376037,139000
2026-09-02,1463779,5702128,1334862,59000
2026-09-03,1309539,6085253,1361904,69000
2026-09-04,928134,8750574,2149846,79000
2026-09-05,679806,11055150,1668016,188000
2026-09-06,695147,8383839,2028583,1495000
2026-09-07,1225798,8293062,,1208000
